CED_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED115,1723,4091,7178,6037,6092,4058,549,38,4,29765,3490,1767,4111,4177,4388,5805,5242,3343,1693,34020,258,366,872,750,664,609,406,269,132,4335,5476,6219,12162,10965,11143,10476,6198,3653,1831,68118,474,3600,10256,8403,8543,5812,855,36,5,37975,1706,3211,3547,3424,3491,2518,609,54,0,18565,71,181,400,237,236,235,48,7,0,1424,95,307,502,377,405,248,42,19,0,1996,2345,7296,14706,12444,12670,8814,1564,114,10,59969,223,665,872,720,690,508,22,0,0,3698,747,586,488,495,525,438,40,0,0,3309,966,1251,1361,1214,1216,943,64,0,0,7013,3314,8553,16067,13656,13885,9760,1627,120,10,66980,7322,3308,5970,5969,6778,9236,9921,6083,2716,57305,555,773,1723,1465,1344,1231,810,497,219,8625,11193,12628,23763,21087,22004,20231,12353,6702,2947,132904
CED116,2110,2248,4570,5693,7066,6024,1115,103,23,28955,1598,638,1610,1625,2087,5644,9562,5579,2342,30683,223,231,435,447,589,752,868,749,563,4860,3932,3125,6614,7765,9742,12422,11547,6426,2925,64503,789,2401,5682,6572,8032,5978,859,86,9,30412,2484,1787,2914,3873,4539,4911,1591,189,21,22300,140,150,436,350,467,600,171,14,4,2335,139,121,188,159,233,198,65,37,16,1161,3542,4468,9217,10953,13277,11682,2683,323,54,56202,261,367,436,379,426,386,20,7,3,2284,344,185,220,207,234,303,55,6,0,1561,611,555,660,586,661,693,68,14,3,3841,4152,5017,9882,11537,13938,12375,2758,339,52,60042,3418,1205,2480,2689,3663,10066,18418,10716,3953,56605,480,507,931,975,1238,1501,1711,1318,886,9552,8053,6727,13293,15207,18836,23941,22881,12371,4897,126202
CED117,1099,3980,12713,10916,8394,4992,1141,87,11,43331,1310,888,1562,1768,1484,2364,3779,2603,1352,17110,158,428,1362,994,687,555,379,240,130,4935,2575,5305,15636,13679,10564,7911,5296,2925,1487,65376,238,3207,17808,15667,12059,6293,1144,68,17,56495,1375,3460,5105,4784,3589,2728,1170,132,11,22347,76,152,771,719,332,257,99,3,0,2406,43,157,397,260,165,123,38,13,3,1200,1732,6973,24083,21422,16149,9407,2449,214,26,82447,51,236,606,445,497,297,30,0,0,2168,319,384,352,242,230,214,62,6,0,1817,371,624,959,690,726,508,88,13,0,3984,2102,7594,25042,22117,16876,9911,2535,220,24,86430,2891,1728,2465,2496,2519,4089,6803,4684,2166,29843,332,809,2683,2031,1517,1135,760,467,203,9931,5324,10131,30183,26646,20915,15134,10097,5375,2391,126207
CED118,2470,3719,10111,10725,7927,4602,748,28,6,40337,2543,951,3066,2862,2233,3384,4331,2348,951,22661,178,195,593,550,405,369,296,188,107,2882,5186,4862,13769,14139,10570,8356,5372,2567,1058,65879,811,3672,14633,16843,12165,6759,1004,33,10,55928,2828,3061,4420,5088,3467,2518,772,54,6,22217,140,151,754,538,330,282,56,11,0,2268,103,197,448,412,277,141,27,12,3,1619,3879,7080,20258,22881,16244,9701,1865,111,18,82035,213,387,759,647,524,364,27,3,0,2935,758,425,400,370,242,233,46,0,0,2479,970,815,1158,1020,770,601,72,9,0,5411,4851,7895,21418,23897,17014,10296,1939,118,18,87442,5602,2005,4325,3957,3311,5355,7926,4297,1508,38295,375,394,1216,1136,858,737,538,329,185,5760,10825,10298,26955,28992,21184,16390,10398,4744,1711,131500
CED119,2490,3577,7219,8817,8604,5681,1078,67,8,37548,1857,516,1343,1624,1436,2867,4996,2824,1695,19166,124,116,277,326,266,260,220,160,103,1856,4472,4215,8847,10770,10300,8815,6288,3057,1805,58572,944,3966,10594,12075,12180,7544,1089,59,9,48459,3075,2774,2947,4947,4375,3578,1391,129,11,23211,153,163,731,470,330,458,109,10,0,2423,84,128,222,193,202,100,22,13,3,975,4250,7039,14495,17686,17086,11677,2607,205,23,75075,139,236,316,255,292,192,20,4,0,1454,512,216,149,168,173,171,41,3,3,1437,655,447,468,422,461,361,55,6,3,2890,4907,7484,14962,18111,17548,12041,2669,209,28,77963,4168,1019,1786,2051,2012,4614,9119,5212,2649,32615,249,289,606,662,612,516,418,278,152,3787,9318,8788,17359,20829,20171,17172,12202,5699,2827,114365
CED120,2751,3335,7010,7839,8354,5452,1165,125,27,36066,1856,651,1762,1781,1731,3452,5429,3008,1285,20956,228,199,466,451,512,507,467,404,426,3655,4841,4190,9234,10065,10604,9410,7059,3540,1735,60678,1498,4102,9754,10890,11504,7360,1387,155,32,46680,2962,2112,3344,4169,4261,3524,1425,205,39,22028,136,165,748,448,430,485,140,24,4,2580,136,187,257,274,253,170,76,39,9,1403,4728,6566,14103,15774,16451,11539,3028,430,81,72696,244,320,367,329,369,249,26,5,0,1917,501,152,201,197,201,165,35,3,0,1463,747,474,566,533,573,414,66,8,0,3379,5474,7037,14667,16304,17023,11953,3090,435,81,76074,3990,1191,2477,2524,2660,5523,10063,5585,2009,36026,459,409,898,929,1074,1012,971,714,618,7077,9927,8640,18040,19762,20761,18488,14126,6738,2705,119176
CED121,2620,3178,6668,7117,7362,4939,882,90,12,32886,1914,1015,2332,2100,2351,4618,6732,4095,2076,27229,203,216,508,467,529,564,596,444,400,3923,4738,4410,9512,9685,10238,10119,8216,4630,2487,64043,1138,3538,8752,9069,9675,6247,908,73,12,39415,2721,2170,3758,4240,4232,3543,1169,138,25,21985,170,228,677,432,419,474,107,13,7,2535,113,140,249,270,272,165,58,26,3,1298,4137,6076,13437,14016,14600,10425,2244,258,47,65233,464,627,672,557,566,371,25,0,0,3292,639,271,327,288,248,218,41,4,0,2037,1107,901,999,841,815,592,63,6,0,5329,5246,6978,14436,14858,15414,11014,2306,266,44,70558,4158,1755,3546,3332,3850,7843,12682,7508,3252,47933,415,464,1028,951,1103,1144,1181,781,583,7646,9821,9194,19012,19146,20372,20001,16168,8549,3882,126136
CED122,1801,4984,12797,10197,8272,4912,1181,117,17,44279,2972,3315,2587,2094,1851,2942,4838,3642,1899,26137,269,628,1305,909,642,586,508,380,350,5574,5045,8927,16691,13200,10768,8432,6525,4135,2269,75989,378,3736,18288,14728,11681,6339,1219,78,16,56460,2087,4234,5215,4695,3962,3042,1306,185,23,24748,148,237,777,678,324,280,115,20,7,2586,105,244,447,280,236,164,55,22,3,1564,2711,8459,24726,20382,16207,9822,2691,312,49,85361,91,344,674,463,421,277,7,4,5,2283,623,959,539,279,213,215,50,6,0,2887,716,1308,1211,738,628,495,56,10,5,5168,3428,9763,25944,21123,16839,10316,2747,322,52,90528,6308,7139,5003,3248,3113,4934,8553,6553,2968,47814,580,1355,2703,1862,1388,1167,973,689,502,11224,10316,18261,33643,26232,21337,16421,12274,7566,3521,149570
CED123,2889,4477,9578,8821,7765,5276,887,69,9,39779,2102,1098,3057,2508,2172,3602,5054,2701,1215,23515,264,314,744,582,559,500,447,296,166,3876,5249,5893,13383,11911,10501,9383,6385,3064,1394,67169,1485,5205,13969,13046,11378,7351,1147,39,9,53630,3040,2757,4150,4190,3470,2956,979,113,10,21660,143,219,857,471,346,399,92,10,3,2544,134,228,406,303,267,165,58,10,3,1567,4803,8417,19379,18009,15460,10869,2281,172,16,79401,331,577,672,544,454,327,23,3,3,2922,661,308,351,267,197,194,37,0,0,2018,984,884,1023,811,646,522,61,0,3,4941,5786,9300,20402,18818,16109,11391,2339,178,18,84344,4531,1871,4183,3594,3364,5680,9355,4821,1821,39233,526,634,1508,1223,1121,1021,823,508,259,7617,10850,11809,26094,23635,20599,18094,12518,5505,2105,131195
CED124,1949,1919,3891,5318,7182,5777,1265,154,21,27477,1857,712,1611,1701,2231,5386,9388,5551,2346,30781,221,173,334,420,568,682,820,613,489,4330,4015,2810,5834,7449,9979,11849,11480,6317,2860,62589,701,1928,4405,5957,8058,6026,1073,156,28,28331,2183,1393,2485,3440,4559,4530,1638,223,25,20475,176,157,404,319,465,594,161,31,4,2306,107,121,136,193,249,191,95,46,18,1162,3174,3603,7428,9905,13335,11341,2965,451,77,52277,318,398,461,438,571,498,25,7,4,2716,400,161,250,241,263,337,42,0,3,1705,723,567,714,681,831,835,71,8,3,4424,3898,4167,8140,10584,14164,12175,3033,457,84,56703,3865,1152,2277,2731,3868,9380,18371,10683,3952,56285,450,381,692,862,1187,1416,1626,1152,780,8559,8215,5700,11111,14176,19225,22976,23034,12290,4814,121542
