CED_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
CED208,67115,72227,139344,26578,15998,42579,9836,16754,26589,1428,1871,3305,3438,3289,6723,41283,37914,79197,22484,30714,53197,8.3,8.7,8.5,61.5,52.5,56.8,56.4,47.9,52,7043,6428,13466,1582,2549,4129,15243,17358,32597,6045,7260,13303,7526,3520,11043,314,487,797,702,1156,1857,8536,5158,13690,58260,62660,120920,15621,15743,31364,37526,41294,78818,34106,34918,69023
CED209,59465,63504,122969,26695,13126,39823,8427,18939,27365,1885,2335,4219,1876,1686,3563,38880,36083,74967,17167,23920,41087,4.8,4.7,4.8,65.4,56.8,61,62.2,54.2,58.1,2374,2357,4731,1153,2303,3460,7924,11180,19107,5430,7537,12976,15283,7010,22293,428,795,1227,856,1316,2175,16567,9119,25689,57532,59872,117407,10902,11370,22268,37649,39167,76818,27746,29377,57123
CED210,59364,64305,123675,24206,12896,37098,7080,16329,23417,1722,2053,3773,2669,2184,4854,35675,33464,69139,19836,26641,46483,7.5,6.5,7,60.1,52,55.9,55.6,48.6,52,1491,1666,3164,770,1644,2413,5563,8191,13762,4407,6490,10891,14886,8039,22929,492,887,1386,848,1316,2166,16229,10248,26477,55359,59045,114396,9710,10834,20544,37466,39824,77289,24799,27554,52351
CED211,57011,63002,120018,27344,15321,42670,7707,16487,24202,1377,1830,3206,2288,2038,4330,38722,35674,74402,15923,24473,40399,5.9,5.7,5.8,67.9,56.6,62,63.9,53.4,58.4,4249,4010,8259,1475,2536,4012,10953,13359,24307,5597,7054,12652,10383,4863,15255,329,548,879,788,1277,2066,11502,6686,18192,56311,60692,117002,9358,9841,19198,38670,42041,80712,24433,25952,50386
CED212,57044,62952,119996,26231,14014,40247,6923,16484,23410,1524,1964,3487,2193,2131,4327,36873,34593,71471,16605,24539,41148,5.9,6.2,6.1,64.6,55,59.6,60.8,51.6,56,1606,1710,3313,897,1802,2699,5901,8752,14653,5131,7548,12675,15468,7413,22885,417,872,1289,920,1506,2421,16799,9790,26593,55145,59009,114154,8966,9702,18675,37214,39554,76769,24228,26868,51095
CED213,61363,65436,126797,25639,12222,37855,7850,17512,25361,1895,2179,4072,1837,1695,3535,37220,33611,70831,20030,27363,47401,4.9,5,5,60.7,51.4,55.9,57.7,48.8,53.1,1207,1399,2608,847,1726,2573,5031,7680,12709,4977,7714,12685,18341,7706,26045,451,983,1425,988,1643,2630,19780,10326,30100,58134,60722,118863,10030,10440,20471,39125,40142,79271,26468,28740,55208
CED214,68087,69009,137098,30739,19083,49820,9507,15311,24816,1830,2177,4007,3628,3089,6717,45694,39665,85365,17839,24857,42695,7.9,7.8,7.9,67.1,57.5,62.3,61.8,53,57.4,4255,4537,8789,1382,2706,4085,12016,14071,26090,5595,6309,11896,10759,4699,15460,430,600,1030,867,1111,1978,12051,6414,18463,62053,63051,125099,12547,12235,24782,39808,41621,81431,31364,30479,61837
CED215,57849,60139,117989,21699,10781,32477,6226,14934,21166,1961,2064,4032,2670,1943,4610,32562,29723,62289,20440,25313,45758,8.2,6.5,7.4,56.3,49.4,52.8,51.7,46.2,48.9,840,970,1807,620,1404,2025,3537,6243,9777,3635,5695,9328,17146,7425,24566,497,1073,1573,869,1288,2158,18507,9788,28292,54008,55528,109536,8297,9055,17353,38255,38689,76944,21306,23252,44558
CED216,56596,63266,119860,27280,15627,42906,8059,17171,25229,1287,1767,3053,1892,1837,3731,38518,36399,74922,15097,23633,38731,4.9,5,5,68.1,57.5,62.5,64.7,54.6,59.4,5755,5417,11175,1682,2992,4674,15071,16658,31732,5351,7207,12564,6491,3143,9638,218,444,663,728,1300,2028,7438,4891,12327,54909,60189,115092,10061,10770,20823,37137,41112,78255,25897,27944,53845
CED217,72792,75785,148579,34960,18688,53653,8551,17392,25948,2303,2466,4767,3875,3810,7682,49687,42356,92042,18838,29019,47857,7.8,9,8.3,68.3,55.9,61.9,62.9,50.9,56.8,2040,2057,4099,609,1253,1868,7427,10396,17819,5605,7426,13031,15459,8191,23649,603,1039,1636,1147,1736,2886,17201,10970,28174,75498,77597,153095,11372,11982,23357,50165,51262,101430,31371,33060,64428
CED218,62669,69414,132082,31480,22147,53629,8824,15927,24752,1397,1908,3300,2364,2391,4760,44065,42376,86442,14320,22542,36869,5.4,5.6,5.5,70.3,61,65.4,66.5,57.6,61.8,7782,7475,15259,1889,3183,5072,19358,21767,41120,5175,6906,12084,5435,2886,8327,223,369,593,627,1132,1760,6292,4392,10679,52577,56955,109534,14130,15776,29906,31637,34924,66559,33469,36542,70012
CED219,76461,77600,154064,37714,19324,57036,9485,17617,27103,2263,2393,4662,3871,3822,7698,53337,43159,96496,18820,30214,49033,7.3,8.9,8,69.8,55.6,62.6,64.7,50.7,57.6,2594,2571,5161,636,1218,1847,7510,9628,17138,6798,8565,15357,16973,9065,26043,681,1082,1759,1117,1639,2756,18772,11789,30559,77455,77739,155193,13785,13828,27613,48403,48789,97187,37374,37458,74834
CED220,60542,63781,124324,26699,15731,42434,8497,15009,23505,1489,1731,3220,2795,2376,5168,39476,34854,74327,18056,25739,43791,7.1,6.8,7,65.2,54.6,59.8,60.6,50.9,55.6,3518,3535,7055,1007,1748,2754,9937,11838,21775,5415,6292,11709,9739,4287,14027,355,550,902,764,1114,1885,10857,5952,16813,58528,60998,119530,10213,10157,20368,40610,43041,83652,25493,25462,50950
CED221,56165,58829,114998,24037,12511,36550,6761,15422,22183,1943,2151,4099,1723,1549,3271,34463,31641,66101,17423,22788,40217,5,4.9,4.9,61.4,53.8,57.5,58.3,51.1,54.6,989,1295,2283,840,1697,2535,4049,7136,11184,4244,6570,10814,15978,7489,23467,510,1041,1556,883,1376,2258,17368,9910,27279,53305,54966,108274,8826,9402,18228,37151,37958,75115,22346,23862,46210
CED222,62239,66041,128284,30606,17432,48032,7612,16259,23869,1765,2069,3829,2631,2344,4983,42615,38100,80722,16116,24244,40355,6.2,6.2,6.2,68.5,57.7,62.9,64.2,54.1,59,2546,2780,5322,956,1782,2742,8173,10602,18775,5657,7324,12986,13177,6180,19356,407,746,1154,923,1415,2337,14503,8340,22846,60880,63785,124668,10274,10472,20741,39917,41893,81809,28187,29274,57454
CED223,55326,59838,115161,26849,14800,41648,7634,17103,24736,1340,1958,3297,2013,1856,3867,37831,35714,73543,14874,21265,36137,5.3,5.2,5.3,68.4,59.7,63.9,64.7,56.6,60.5,4426,4353,8782,1649,2989,4639,10922,13379,24298,5130,6365,11493,10612,4339,14951,290,521,814,764,1206,1969,11665,6066,17733,55339,58632,113969,7938,8371,16303,39904,42691,82595,21063,22061,43120
CED224,57065,64116,121182,26240,17031,43269,8812,16216,25033,1281,1780,3063,2277,2008,4283,38613,37037,75645,15494,23866,39354,5.9,5.4,5.7,67.7,57.8,62.4,63.7,54.6,58.9,7965,7019,14979,1901,3255,5158,17192,19333,36525,4404,6198,10602,4390,2332,6723,192,363,552,526,1016,1547,5107,3715,8825,52566,57818,110387,11295,12442,23738,34432,38151,72578,28170,30809,58977
CED225,60605,63100,123705,32111,16246,48361,7812,18830,26636,1702,2107,3805,2306,2217,4522,43932,39400,83325,13908,20873,34784,5.2,5.6,5.4,72.5,62.4,67.4,68.7,58.9,63.7,2358,2443,4800,986,1955,2942,7117,10171,17283,5913,8020,13933,16106,7074,23176,387,788,1174,870,1504,2370,17359,9366,26719,62603,63443,126044,9367,9847,19209,43189,43450,86641,25692,26971,52663
CED226,87089,88340,175430,45087,23633,68715,10707,20208,30914,2593,2824,5415,4521,4978,9502,62910,51639,114550,19329,31813,51146,7.2,9.6,8.3,72.2,58.5,65.3,67,52.8,59.9,6556,5685,12249,1219,1822,3048,12002,14982,26977,7870,9637,17503,16558,8968,25523,617,989,1610,1204,1690,2889,18375,11643,30021,86675,87428,174102,18334,18570,36904,50140,50615,100758,47349,48131,95477
CED227,55735,57973,113709,23292,11679,34972,5884,14033,19922,1862,1963,3823,2088,1545,3639,33134,29220,62354,17716,23848,41564,6.3,5.3,5.8,59.4,50.4,54.8,55.7,47.7,51.6,510,714,1219,470,1132,1597,2896,5773,8677,3018,5141,8159,13533,6638,20168,539,1038,1577,755,1162,1918,14824,8834,23658,53275,54058,107328,7881,8524,16404,38206,38303,76506,20045,21640,41681
CED228,67645,71030,138675,28803,17349,46148,9256,15624,24881,1943,2068,4013,3380,3074,6458,43376,38112,81490,19817,28308,48123,7.8,8.1,7.9,64.1,53.7,58.8,59.1,49.3,54.1,3433,3402,6839,1039,1938,2975,10740,12720,23460,5516,6330,11846,10662,4728,15385,401,630,1027,840,1198,2033,11899,6548,18444,62620,65485,128107,11667,11616,23285,42973,46057,89034,28468,28275,56744
CED229,78868,82548,161415,41675,20868,62544,9083,22519,31596,2470,3085,5556,3044,3217,6263,56267,49693,105958,17972,28037,46013,5.4,6.5,5.9,71.3,60.2,65.6,67.5,56.3,61.8,2557,2554,5110,970,2201,3169,7375,11321,18696,6763,9804,16570,21811,10044,31852,575,1244,1820,1205,1941,3143,23589,13226,36813,79928,81321,161255,15178,15745,30924,49263,49549,98813,39788,41964,81751
CED230,64206,69372,133583,28323,13384,41709,7449,17921,25373,2065,2424,4496,2485,2379,4862,40324,36113,76435,19360,28384,47748,6.2,6.6,6.4,62.8,52.1,57.2,58.9,48.6,53.6,1115,1407,2516,739,1625,2364,4322,7421,11746,4392,7307,11694,19364,9429,28796,518,1184,1705,934,1610,2549,20819,12231,33047,62610,65669,128286,10865,12078,22942,40367,41690,82053,29167,32330,61496
CED231,91339,97962,189301,38859,30773,69631,12790,18857,31641,2109,2816,4923,5026,5388,10413,58786,57834,116612,23160,30591,53754,8.5,9.3,8.9,64.4,59,61.6,58.9,53.5,56.1,10555,11712,22265,2286,3880,6167,26787,29591,56383,6587,7363,13951,6264,3754,10022,377,542,917,825,1073,1903,7467,5379,12838,59389,62996,122392,28239,31313,59553,27755,29474,57232,58080,63010,121092
CED232,68642,72820,141464,34923,26712,61631,8816,14888,23703,1575,2132,3708,2612,2471,5087,47926,46198,94119,13703,19520,33222,5.5,5.3,5.4,69.8,63.4,66.5,66,60.1,62.9,7704,8362,16065,1865,3446,5317,19808,21942,41747,5776,7161,12942,6634,3519,10156,304,415,719,776,1143,1920,7716,5072,12791,51018,53537,104550,17203,18319,35521,27111,28876,55983,39596,41656,81251
CED233,54966,59760,114724,24781,13403,38184,7685,15584,23270,1258,1641,2901,2106,1857,3964,35832,32487,68318,16946,24782,41728,5.9,5.7,5.8,65.2,54.4,59.5,61.4,51.3,56.1,4287,3725,8006,1245,1982,3225,11475,13091,24565,5155,6302,11461,8697,3690,12384,247,467,715,739,1304,2043,9683,5453,15142,54682,58060,112740,7650,8181,15833,40444,42862,83304,20163,21661,41821
CED234,58328,60215,118546,23939,12204,36138,6122,14464,20581,2056,2121,4179,1966,1637,3605,34079,30425,64505,19351,24775,44125,5.8,5.4,5.6,58.4,50.5,54.4,55.1,47.8,51.4,711,881,1595,579,1344,1929,3247,5926,9172,3286,5672,8958,14820,7025,21842,431,944,1378,767,1205,1972,16025,9171,25197,55859,56599,112454,8368,8966,17330,39610,39660,79272,21625,22982,44609
CED235,66449,68931,135376,30439,15728,46166,8565,16848,25417,1925,2208,4135,3168,2697,5868,44099,37489,81585,19206,28093,47296,7.2,7.2,7.2,66.4,54.4,60.3,61.6,50.5,55.9,2778,2663,5434,797,1468,2263,7828,10032,17856,5564,6969,12538,13290,6223,19511,472,770,1241,889,1401,2290,14649,8392,23038,66777,68207,134985,10166,10073,20237,45998,47126,93125,27101,27546,54645
CED236,54553,55895,110449,22162,10688,32843,6463,14592,21055,1902,2064,3970,1766,1411,3177,32289,28757,61047,18176,22903,41080,5.5,4.9,5.2,59.2,51.4,55.3,56,48.9,52.4,735,889,1621,574,1315,1885,3405,6298,9705,3133,5381,8515,13896,6675,20567,504,938,1437,750,1186,1936,15144,8798,23945,51722,52895,104616,7412,7937,15347,37672,38118,75784,18862,20267,39129
