CED_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
CED237,68886,73428,142318,31415,20961,52375,10253,17231,27485,1905,2251,4151,3367,2762,6130,46941,43202,90148,17590,25783,43376,7.2,6.4,6.8,68.1,58.8,63.3,63.3,55.1,59,5744,6426,12169,1766,3200,4963,14103,16780,30884,5579,6332,11909,9986,4384,14371,381,538,913,755,1076,1831,11124,5998,17116,60593,64034,124634,14609,14891,29504,38559,41876,80440,33617,34200,67815
CED294,3942,2883,6825,811,384,1194,317,326,641,115,81,193,367,251,613,1610,1038,2647,1119,1175,2291,22.8,24.2,23.2,40.8,36,38.8,31.5,27.4,29.7,133,106,238,30,60,91,344,449,792,190,219,404,540,242,777,25,36,60,45,52,101,602,327,932,810,544,1354,2095,1859,3954,534,315,849,2233,1988,4223
CED297,27,4,25,16,0,16,0,0,0,3,0,3,0,0,0,23,0,23,0,4,4,0,0,0,85.2,0,92,70.4,0,76,0,0,0,0,0,0,3,0,3,0,0,3,12,0,12,0,0,0,0,0,0,12,0,12,13,0,12,12,0,11,12,0,7,16,0,13
CED301,59392,61786,121175,26514,15462,41971,6406,13562,19968,1736,1917,3648,3247,3022,6271,37900,33968,71859,17245,23611,40862,8.6,8.9,8.7,63.8,55,59.3,58.4,50.1,54.1,867,1047,1919,480,973,1453,3477,6016,9501,3924,6004,9926,16514,9048,25566,762,1179,1943,975,1510,2481,18255,11740,29990,56371,57643,114012,12945,13708,26656,34811,34984,69795,30334,32521,62856
CED302,57932,62812,120740,28653,18091,46750,7593,15822,23417,1471,1994,3465,2591,2329,4919,40313,38229,78543,14638,21611,36245,6.4,6.1,6.3,69.6,60.9,65.1,65.1,57.2,61,3410,3306,6719,1067,1875,2942,9685,12593,22281,5152,6653,11802,12429,5636,18069,422,700,1129,801,1369,2172,13654,7711,21371,55410,58839,114252,11367,12255,23618,35511,37932,73446,28813,30656,59473
CED303,57691,61715,119405,27607,16330,43931,6942,15948,22890,1536,1813,3347,2477,2087,4563,38563,36166,74727,16379,22637,39014,6.4,5.8,6.1,66.8,58.6,62.6,62.5,55.2,58.8,1556,1550,3106,720,1306,2026,5442,7939,13385,5059,7280,12332,17387,8005,25390,509,968,1475,967,1660,2630,18859,10625,29490,55901,58192,114090,10562,11216,21779,36534,37845,74377,27716,29660,57378
CED304,70506,71166,141674,35630,25340,60968,10244,17114,27355,1719,2167,3881,3245,2773,6016,50830,47388,98217,13260,17908,31172,6.4,5.9,6.1,72.1,66.6,69.3,67.5,62.7,65.1,6767,6333,13101,1885,3104,4985,18586,20752,39336,5845,6541,12381,8813,4585,13399,449,575,1026,801,987,1791,10064,6143,16212,51496,51652,103151,20850,21437,42290,27326,28083,55407,43334,43518,86857
CED305,60813,58707,119527,28268,14996,43267,5576,13851,19425,2095,1953,4048,3160,2511,5666,39101,33308,72409,15103,20473,35575,8.1,7.5,7.8,64.3,56.7,60.6,59.1,52.5,55.8,959,912,1873,540,997,1537,3519,6563,10073,2798,4293,7092,18107,7435,25541,649,1105,1756,780,1149,1931,19538,9697,29228,55919,54516,110431,10782,11575,22357,35523,33638,69160,27678,29070,56745
CED306,63642,62205,125849,30379,16761,47136,6070,15146,21213,2104,2026,4132,3371,2843,6215,41930,36769,78701,15472,20694,36164,8,7.7,7.9,65.9,59.1,62.5,60.6,54.6,57.6,987,1062,2051,501,1022,1526,4046,7361,11414,3535,5168,8705,19640,7866,27502,568,1047,1612,852,1290,2145,21057,10209,31260,57175,56127,113303,11989,12881,24871,37033,35646,72684,28927,30353,59281
CED307,55837,58645,114482,29240,16744,45988,6842,16397,23239,1642,1931,3568,2478,2243,4716,40199,37309,77509,13078,18805,31883,6.2,6,6.1,72,63.6,67.7,67.6,59.8,63.6,1885,1803,3687,920,1659,2572,6386,9394,15782,5401,6851,12248,15370,7399,22769,532,838,1372,897,1372,2266,16796,9609,26404,57211,58609,115813,9584,10167,19752,38638,39366,78008,25180,26719,51902
CED308,65710,71565,137276,29582,18003,47586,8698,17615,26311,1685,1923,3613,3183,3107,6291,43151,40645,83800,17592,25643,43236,7.4,7.6,7.5,65.7,56.8,61,60.8,52.5,56.5,1996,2039,4034,617,1151,1766,6167,8956,15116,5304,8489,13792,17708,8710,26426,560,1026,1584,1200,2064,3261,19470,11798,31273,57564,60824,118389,15958,17452,33409,32208,33676,65885,38273,41781,80055
CED309,59304,65691,124998,24672,14234,38909,8243,18157,26404,1630,1729,3364,2696,2518,5211,37250,36639,73886,18161,25170,43329,7.2,6.9,7.1,62.8,55.8,59.1,58.3,51.9,54.9,1727,1901,3634,876,1697,2575,6280,9943,16226,5158,7914,13069,17053,8420,25469,520,917,1437,1061,1718,2782,18635,11052,29686,53459,58018,111476,13410,14708,28117,32067,34048,66115,32655,36374,69026
CED310,54989,60414,115405,21966,12226,34193,7316,15772,23086,1613,1703,3316,2454,2296,4746,33340,31995,65339,18192,24852,43048,7.4,7.2,7.3,60.6,53,56.6,56.2,49.2,52.5,1410,1470,2876,694,1325,2011,5264,8023,13293,4514,6814,11327,16064,7536,23603,508,932,1440,997,1674,2668,17562,10143,27704,49470,52763,102237,12288,13466,25754,29789,31690,61473,29830,32672,62509
CED311,62329,58861,121193,29878,14376,44253,5349,13814,19160,2283,1919,4200,3621,2781,6402,41125,32890,74019,15028,20840,35866,8.8,8.5,8.6,66,55.9,61.1,60.2,51.2,55.8,653,712,1364,403,848,1252,3049,6030,9079,2946,4476,7425,18892,7759,26653,695,1208,1903,936,1188,2123,20527,10155,30684,58579,55055,113633,11903,12392,24294,37419,34296,71717,29015,29207,58220
CED312,62207,66153,128360,30364,17566,47934,7169,15589,22759,1782,2031,3815,3297,3203,6500,42615,38388,81001,15700,23648,39350,7.7,8.3,8,68.5,58,63.1,63.2,53.2,58,1031,1208,2241,472,1018,1490,4126,6858,10982,4234,7115,11350,18161,9510,27665,669,1144,1816,1098,1689,2788,19934,12336,32273,59620,61784,121402,14015,14759,28771,36014,36842,72858,33593,35895,69490
CED313,64710,67698,132404,33374,23815,57194,9358,16917,26281,1505,2150,3656,2986,2513,5508,47228,45401,92632,12827,17865,30694,6.3,5.5,5.9,73,67.1,70,68.4,63.3,65.8,5685,5940,11618,1716,2900,4615,15580,18679,34255,5573,6651,12229,10143,4736,14880,416,579,996,720,1109,1830,11280,6429,17703,51933,53871,105805,17946,18523,36467,29102,30538,59636,38670,39872,78541
CED314,56786,61602,118387,26565,15236,41802,6382,14910,21292,1583,1851,3435,2616,2233,4846,37145,34229,71371,15518,23056,38571,7,6.5,6.8,65.4,55.6,60.3,60.8,51.9,56.2,1869,1792,3661,697,1344,2042,5491,8604,14098,3804,5709,9514,14487,7804,22295,673,1016,1684,849,1323,2173,16006,10144,26150,53068,56724,109792,12066,12947,25019,32753,34887,67642,29244,31660,60901
CED315,62777,64372,127151,28545,18588,47135,7020,14888,21909,1909,2179,4088,4209,3345,7552,41687,39004,80691,15599,20827,36426,10.1,8.6,9.4,66.4,60.6,63.5,59.7,55.4,57.5,1536,1733,3270,587,1318,1900,5112,9202,14313,4104,5800,9912,17649,8604,26252,682,1077,1761,781,1158,1936,19115,10837,29951,55877,56720,112592,14652,15486,30135,33142,33201,66348,33897,36049,69950
CED316,56106,61100,117208,17139,10730,27867,5961,12204,18166,1375,1433,2803,3442,2675,6112,27916,27036,54949,23851,29672,53528,12.3,9.9,11.1,49.8,44.2,46.9,43.6,39.9,41.7,756,801,1558,464,945,1405,3093,5860,8947,3171,5005,8179,15966,7660,23627,691,1092,1785,977,1424,2402,17636,10184,27820,50835,54039,104867,10900,11925,22825,32662,34077,66739,26899,29830,56722
CED317,62906,60737,123642,26325,15074,41402,5903,13277,19178,2211,1994,4205,3143,2348,5491,37585,32693,70279,19103,22424,41530,8.4,7.2,7.8,59.7,53.8,56.8,54.7,50,52.4,684,847,1531,367,885,1250,3087,5939,9026,2850,4840,7685,17657,7112,24772,626,1041,1668,810,1280,2092,19091,9438,28527,58729,56739,115472,10516,10918,21437,40650,38715,79370,24810,25419,50230
CED318,68215,70654,138861,28634,20222,48852,8528,16255,24783,2203,2199,4405,3941,3077,7014,43309,41755,85058,17592,21965,39552,9.1,7.4,8.2,63.5,59.1,61.3,57.7,54.7,56.2,1598,2053,3647,752,1574,2324,6066,9940,16007,5146,7286,12431,18062,8548,26610,950,1303,2258,1139,1563,2703,20150,11415,31564,61118,61898,123016,14755,15805,30558,38240,38112,76356,33847,36174,70021
CED319,61385,66429,127817,30699,20489,51188,7954,16000,23958,1607,2238,3847,2782,2262,5042,43044,40992,84032,15103,21713,36817,6.5,5.5,6,70.1,61.7,65.7,65.6,58.3,61.8,3034,3190,6219,1228,2001,3227,10022,13401,23427,5655,7084,12739,13423,6486,19911,554,733,1290,893,1326,2216,14869,8542,23413,56605,59886,116490,12595,13197,25792,35628,38285,73914,30947,32450,63398
CED320,62181,65479,127659,25712,14421,40140,6876,15175,22047,1791,1905,3694,3344,3086,6432,37724,34593,72316,20341,26465,46811,8.9,8.9,8.9,60.7,52.8,56.6,55.3,48.1,51.6,709,839,1541,468,970,1430,3165,5734,8900,4151,6726,10876,18559,9797,28353,729,1202,1930,1015,1662,2671,20297,12659,32957,57927,60028,117954,12744,13807,26554,35707,36446,72156,31712,34437,66149
CED321,59558,59698,119257,26539,14416,40951,5734,13326,19061,1962,1971,3934,2100,1726,3824,36339,31437,67774,17802,23286,41086,5.8,5.5,5.6,61,52.7,56.8,57.5,49.8,53.6,553,716,1271,343,847,1184,2970,6206,9176,3121,5067,8193,14316,7248,21569,661,1119,1778,934,1364,2300,15912,9728,25646,56254,55446,111699,10588,11172,21761,38153,36843,74995,24892,26229,51125
CED322,58668,65449,124120,25791,16043,41836,8541,17799,26336,1566,1934,3503,2557,2214,4773,38448,37995,76444,16156,22886,39044,6.7,5.8,6.2,65.5,58.1,61.6,61.2,54.7,57.7,1972,2241,4212,703,1392,2090,6781,9811,16591,5093,7939,13036,15716,7493,23210,392,810,1202,998,1762,2758,17105,10066,27172,53227,57360,110591,12466,13834,26296,32150,34417,66563,31196,34619,65815
CED323,66886,71009,137892,27028,17305,44333,10131,17419,27548,1633,1888,3524,3149,2977,6130,41945,39599,81537,18368,24916,43286,7.5,7.5,7.5,62.7,55.8,59.1,58,51.6,54.7,2396,2515,4908,742,1268,2010,8363,10894,19256,5693,8328,14019,15137,7372,22503,516,822,1334,1117,1755,2868,16765,9942,26707,53251,55698,108950,15416,16768,32177,30544,31982,62525,36326,38713,75040
CED324,64197,65987,130188,27567,17136,44703,10265,15865,26135,1553,1949,3501,3802,3064,6865,43184,38017,81206,17508,24425,41930,8.8,8.1,8.5,67.3,57.6,62.4,61.4,53,57.1,5956,5544,11498,1234,2117,3353,13219,15485,28706,5371,6106,11475,9681,4575,14257,482,615,1102,794,1090,1881,10964,6281,17246,56699,58149,114848,15057,14901,29958,34321,36365,70686,34602,34029,68630
CED325,62332,63881,126209,28686,17572,46261,7296,14529,21823,1622,2004,3630,3688,3296,6978,41296,37394,78695,17119,22301,39427,8.9,8.8,8.9,66.3,58.5,62.4,60.3,53.4,56.8,2722,2435,5152,760,1307,2068,7199,9550,16751,4798,6541,11337,12575,7081,19656,622,965,1581,946,1376,2316,14141,9418,23555,59094,61462,120557,12403,12690,25096,36493,37900,74391,30818,32355,63170
CED326,61656,68650,130302,28570,17458,46030,7120,15654,22779,1748,2143,3894,3181,3078,6260,40617,38343,78962,17270,26138,43412,7.8,8,7.9,65.9,55.9,60.6,60.7,51.4,55.8,1835,1835,3665,757,1346,2105,5962,9245,15203,5157,7549,12701,16304,8790,25099,660,1037,1693,1044,1612,2658,18007,11439,29442,57806,62327,120136,13689,15003,28693,33857,36322,70175,34295,37777,72068
CED327,67371,70300,137672,31187,18315,49502,8460,15339,23803,1967,2122,4091,4193,3949,8142,45810,39720,85529,17443,26468,43910,9.2,9.9,9.5,68,56.5,62.1,61.8,50.9,56.2,2561,2523,5080,590,1083,1665,6852,9206,16056,4882,6868,11750,15073,8498,23569,731,1186,1911,1011,1560,2575,16814,11241,28052,66767,68273,135042,13628,14153,27782,41480,42314,83790,34161,35619,69780
CED328,61275,65930,127205,28641,17814,46451,9064,17634,26692,1454,2007,3458,3136,2829,5961,42294,40277,82567,16011,22496,38512,7.4,7,7.2,69,61.1,64.9,63.9,56.8,60.2,7638,6479,14117,1713,2849,4563,15187,17976,33162,5258,6366,11627,8015,4175,12195,391,599,993,687,1064,1745,9097,5840,14937,55810,58731,114543,14506,15111,29620,34556,36582,71142,33709,35236,68947
CED329,58412,60671,119082,18676,10532,29208,6974,13801,20775,1538,1548,3091,3005,2322,5322,30189,28198,58389,23520,27911,51431,10,8.2,9.1,51.7,46.5,49,46.5,42.7,44.6,1003,1043,2037,537,1111,1652,3879,6264,10144,3790,6245,10039,16217,7539,23758,672,1107,1784,1071,1559,2639,17968,10211,28174,53432,54791,108225,10177,11080,21250,35424,35763,71195,25942,27946,53890
CED330,61049,62484,123530,28238,15435,43680,7033,15934,22963,1949,2049,4001,2493,2402,4887,39715,35817,75533,16907,22242,39147,6.3,6.7,6.5,65.1,57.3,61.1,61,53.5,57.2,1122,1250,2373,484,1110,1593,3868,6930,10795,4001,6648,10642,17778,8162,25943,547,1098,1653,1078,1581,2654,19406,10844,30249,59026,59350,118374,11185,11822,23005,39211,38654,77866,27643,29383,57020
CED394,6509,5179,11693,1106,640,1749,428,552,978,205,149,354,612,375,986,2360,1712,4074,2632,2514,5145,25.9,21.9,24.2,36.3,33.1,34.8,26.7,25.9,26.3,143,123,266,48,71,118,448,701,1147,327,452,779,1395,508,1898,48,67,113,95,112,202,1534,683,2221,1610,1127,2737,3598,3312,6907,1044,637,1684,4011,3681,7693
CED397,65,81,144,23,11,32,7,11,16,4,13,10,0,0,4,30,35,68,27,32,57,0,0,5.9,46.2,43.2,47.2,52.3,43.2,40.3,0,0,3,0,0,0,0,3,5,3,7,12,11,6,18,0,3,3,0,0,0,13,12,26,52,57,102,6,17,22,33,49,84,25,21,45
CED401,68900,70535,139437,27981,17902,45879,10106,16975,27083,1619,2089,3709,3782,2940,6725,43485,39908,83393,21177,26690,47865,8.7,7.4,8.1,63.1,56.6,59.8,57.6,52.4,55,6105,5761,11867,1589,2546,4129,14864,16995,31860,5434,6407,11843,8872,4812,13684,540,679,1224,901,1198,2098,10315,6687,17003,58592,60348,118941,14867,14959,29819,36060,38087,74146,35074,35129,70209
CED402,61597,61042,122642,26550,12366,38914,6783,16244,23026,2056,1969,4026,2275,1756,4032,37655,32338,69995,20015,24827,44844,6,5.4,5.8,61.1,53,57.1,57.5,50.1,53.8,561,675,1240,403,868,1270,2853,5371,8226,2978,5079,8053,14977,7931,22908,772,1399,2170,1153,1509,2663,16897,10845,27738,59097,58444,117541,8983,9290,18276,42499,41418,83920,22458,23351,45807
CED403,57741,63739,121475,24468,14445,38915,8634,17890,26524,1379,2101,3485,2608,1994,4598,37090,36431,73526,18183,24698,42883,7,5.5,6.3,64.2,57.2,60.5,59.7,54,56.7,3822,3618,7438,1311,2277,3590,10108,13586,23693,5558,6634,12197,11781,5499,17284,517,748,1261,990,1422,2410,13291,7668,20955,56246,60714,116965,8728,9533,18257,39812,42792,82609,23140,25776,48910
CED404,59670,57973,117645,22779,10871,33647,6118,13911,20023,1972,1915,3881,3004,1976,4984,33867,28667,62537,20995,24897,45891,8.9,6.9,8,56.8,49.4,53.2,51.7,46.1,48.9,472,580,1047,327,830,1156,2516,5186,7700,2543,4523,7066,15921,6845,22772,791,1167,1955,1012,1208,2220,17723,9218,26944,56602,54992,111596,8099,8423,16527,41365,39598,80956,20308,20935,41237
CED405,61836,67294,129134,25949,15785,41733,8988,17170,26156,1578,2087,3662,2952,2326,5270,39458,37361,76822,19242,26480,45718,7.5,6.2,6.9,63.8,55.5,59.5,59.1,52.1,55.4,3048,3173,6223,1008,1723,2728,9465,12042,21505,5588,6368,11955,12809,5929,18744,581,827,1406,1042,1467,2503,14432,8218,22651,56479,60579,117052,10790,11305,22093,38504,41565,80067,26768,28394,55160
CED406,57843,61928,119764,24609,13044,37650,7602,16983,24588,1665,2074,3732,3199,2491,5690,37064,34596,71668,17793,24123,41913,8.6,7.2,7.9,64.1,55.9,59.8,58.6,51.8,55.1,903,1129,2033,539,1041,1573,4012,6772,10783,4337,6339,10673,17502,9204,26706,829,1391,2215,1081,1690,2770,19411,12284,31688,57691,60142,117832,8575,9194,17769,40351,41471,81823,23039,25205,48246
CED407,60091,62655,122745,27048,14877,41926,7473,16658,24134,1517,1862,3382,3185,2369,5557,39231,35767,74996,18496,24393,42897,8.1,6.6,7.4,65.3,57.1,61.1,60,53.3,56.6,1924,1737,3664,689,1182,1870,5674,8173,13848,4952,6264,11215,16031,7924,23958,647,1088,1739,1007,1444,2449,17682,10459,28137,59323,61326,120651,8463,8770,17232,43071,44201,87271,22191,23356,45542
CED408,56307,59501,115807,22791,11657,34448,8070,17125,25196,1702,2062,3759,1908,1565,3476,34469,32411,66882,18641,23929,42572,5.5,4.8,5.2,61.2,54.5,57.8,57.8,51.8,54.7,1981,2025,4008,953,1706,2659,6303,9141,15445,4727,6737,11465,14481,6805,21292,597,1042,1640,1145,1695,2844,16231,9547,25773,55413,57634,113050,7833,8516,16347,39462,40331,79787,21621,23517,45138
CED409,65776,69140,134917,26843,15729,42577,8387,15984,24370,1749,2043,3794,4155,3207,7361,41142,36962,78105,21223,28725,49948,10.1,8.7,9.4,62.5,53.5,57.9,56.2,48.8,52.4,1473,1724,3195,553,1079,1630,5470,7912,13384,4096,5634,9729,14752,8028,22782,847,1227,2068,1027,1410,2439,16626,10665,27293,64071,66382,130456,10304,10684,20985,44846,46257,91106,26206,27673,53875
CED410,58767,65894,124662,24606,14566,39179,8693,16892,25583,1257,1803,3065,2693,2328,5022,37258,35596,72849,19129,27686,46817,7.2,6.5,6.9,63.4,54,58.4,58.8,50.5,54.4,4571,4246,8821,1226,2104,3330,11594,13887,25483,5040,6390,11430,9807,4874,14684,451,676,1124,850,1298,2148,11112,6844,17956,56734,61980,118713,9734,10464,20194,39097,42897,81999,25232,27480,52704
CED411,65416,67353,132763,26716,13115,39828,7415,16069,23488,1958,2043,4004,4196,3272,7470,40293,34496,74790,20888,28722,49613,10.4,9.5,10,61.6,51.2,56.3,55.2,46.4,50.7,671,730,1401,376,790,1162,3027,5207,8232,3626,5705,9330,16626,9814,26438,1107,1695,2798,1016,1615,2635,18755,13120,31875,64896,65260,130147,10844,11538,22380,43492,42896,86385,27924,29880,57806
CED494,1627,1016,2648,266,131,404,139,107,250,60,27,82,199,106,301,669,367,1038,587,454,1040,29.7,28.9,29,41.1,36.1,39.2,28.6,26.1,27.8,38,26,59,7,17,24,99,111,219,65,82,145,305,102,402,16,11,25,22,28,47,345,137,482,366,183,552,899,699,1592,251,122,372,958,720,1680
CED497,6,0,3,6,0,3,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,4,0,4,4,0,3
CED501,63286,64147,127434,30146,15216,45365,6241,15697,21939,2262,2077,4337,4227,3745,7968,42875,36735,79610,15187,22937,38124,9.9,10.2,10,67.7,57.3,62.5,61.1,51.4,56.2,1050,1072,2117,475,1052,1530,4086,6912,11000,4670,6268,10940,19172,9327,28495,751,1364,2108,1003,1734,2735,20925,12421,33341,58662,59658,118314,13364,14086,27443,33005,33262,66270,35016,36737,71759
CED502,65635,66334,131971,31733,16656,48392,7993,16428,24418,2089,2052,4142,4344,3676,8021,46159,38818,84973,15692,24032,39719,9.4,9.5,9.4,70.3,58.5,64.4,63.7,53,58.3,2474,2274,4749,618,1108,1730,7201,9598,16796,5095,6447,11539,15869,7560,23425,752,1183,1935,944,1637,2581,17566,10377,27945,63845,64425,128269,12278,12873,25148,38973,39286,78265,33011,33972,66983
CED503,57704,60192,117896,24131,11879,36009,5941,14487,20428,2162,1771,3934,3317,2858,6181,35558,30999,66555,17899,25393,43289,9.3,9.2,9.3,61.6,51.5,56.5,55.9,46.7,51.2,869,879,1745,432,1004,1434,3591,6041,9632,4039,5980,10022,17707,7897,25604,580,1103,1684,956,1768,2725,19236,10773,30007,53413,55037,108449,10984,11952,22934,32038,32157,64193,29682,32258,61944
CED504,57396,58814,116205,27799,14617,42413,7532,15947,23476,1892,1913,3808,3476,2836,6309,40701,35306,76010,13730,20835,34567,8.5,8,8.3,70.9,60,65.4,64.9,55.2,60,1320,1255,2579,543,1017,1565,5705,8025,13729,4474,5705,10175,14735,6644,21383,599,955,1549,858,1643,2502,16194,9238,25433,58778,59772,118549,8703,8946,17646,40238,40772,81010,23947,24737,48685
CED505,56458,61565,118026,25862,15511,41377,8640,16270,24913,1327,1721,3055,2435,2132,4561,38267,35641,73903,14314,21851,36164,6.4,6,6.2,67.8,57.9,62.6,63.5,54.4,58.8,6932,5639,12575,1563,2865,4435,16311,18705,35013,4565,6122,10689,6237,2704,8937,247,474,717,589,1189,1779,7066,4368,11433,50721,53904,104625,12288,13063,25348,30402,33216,63617,30841,32121,62969
CED506,79372,64802,144177,39574,19026,58600,6166,13130,19303,3671,2654,6322,3308,2384,5685,52716,37194,89906,15592,20335,35919,6.3,6.4,6.3,66.4,57.4,62.4,62.3,53.7,58.4,1036,1025,2062,552,1252,1803,4724,7570,12292,4204,5469,9671,22649,7232,29889,996,1556,2555,1221,1483,2698,24870,10272,35146,65257,56529,121780,18243,15924,34164,37488,32504,69991,40934,35250,76182
CED507,57249,60070,117326,25358,12098,37457,6874,17124,23992,2426,1999,4430,2711,2182,4894,37368,33403,70772,15413,22364,37778,7.3,6.5,6.9,65.3,55.6,60.3,60.5,52,56.2,923,971,1891,581,1261,1840,4638,7606,12242,3907,5895,9804,16791,8086,24874,648,1315,1963,982,1727,2712,18422,11128,29555,54499,56163,110665,10526,11491,22012,33960,34415,68372,27857,30312,58168
CED508,58802,62170,120976,28689,16470,45161,7350,16883,24237,1871,2100,3979,3294,2569,5864,41209,38030,79235,13276,19922,33197,8,6.8,7.4,70.1,61.2,65.5,64.5,57,60.7,2811,2963,5769,980,2016,2992,8505,12151,20648,4896,6254,11153,14152,5883,20039,473,889,1366,923,1480,2404,15552,8255,23803,54440,57003,111445,11053,11758,22805,34451,36191,70644,28305,29817,58119
CED509,58832,57700,116535,26554,13925,40481,6922,14685,21606,1968,1770,3739,3271,2550,5822,38716,32927,71640,16378,21234,37611,8.4,7.7,8.1,65.8,57.1,61.5,60.2,52.7,56.5,1673,1681,3351,733,1281,2014,5731,8102,13831,4560,6047,10603,15222,6401,21627,554,940,1493,882,1640,2525,16654,8989,25644,55364,55336,110696,9158,9331,18487,36847,36877,73727,25045,25343,50391
CED510,55682,57618,113296,28135,14409,42543,7716,18371,26093,1797,1854,3651,2989,2325,5310,40636,36955,77591,12631,18505,31139,7.4,6.3,6.8,73,64.1,68.5,67.6,60.1,63.8,2481,1930,4412,1013,1779,2797,8554,11142,19697,5588,6962,12546,14819,5671,20488,431,825,1260,793,1719,2518,16048,8218,24263,55928,57267,113191,8408,8610,17021,39339,40469,79804,23126,23672,46798
CED511,63866,61413,125274,29143,14067,43209,6354,15119,21476,2655,2265,4916,2444,1777,4219,40593,33225,73816,16674,22486,39161,6,5.3,5.7,63.6,54.1,58.9,59.7,51.2,55.6,875,873,1749,494,1171,1666,3803,6594,10396,3339,5435,8775,16566,7202,23769,726,1336,2067,1051,1609,2659,18342,10155,28492,58532,56953,115482,11035,11030,22062,38929,37367,76294,27091,27315,54407
CED512,68505,71606,140106,34163,18773,52937,7894,18613,26505,2634,2415,5045,3883,3619,7507,48571,43418,91992,14637,23026,37661,8,8.3,8.2,70.9,60.6,65.7,65.2,55.6,60.3,1347,1436,2780,607,1196,1797,5128,8652,13780,5392,8025,13414,20038,9519,29553,718,1430,2145,1077,1987,3067,21833,12932,34763,65092,66233,131325,15172,16173,31345,35214,35223,70437,40246,42621,82863
CED513,64363,65277,129646,30662,19593,50257,8735,15456,24194,1804,2032,3836,3457,2722,6178,44661,39801,84469,13967,19956,33918,7.7,6.8,7.3,69.4,61,65.2,64,56.8,60.4,4332,4276,8607,1424,2280,3700,13717,15571,29284,5685,6370,12053,11016,4841,15859,474,665,1140,809,1311,2123,12300,6820,19122,52324,53085,105410,14469,14377,28847,31913,32936,64851,32823,32548,65371
CED514,59757,62893,122647,27364,16210,43576,8466,15557,24025,1671,1908,3574,3339,2650,5992,40841,36325,77170,14934,22578,37517,8.2,7.3,7.8,68.3,57.8,62.9,62.8,53.5,58,2959,2788,5741,1034,1708,2740,10472,12594,23064,5662,6330,11992,11644,5175,16816,475,713,1189,826,1598,2424,12950,7480,20427,53723,56519,110244,11835,11804,23639,33509,36037,69544,29370,29846,59214
CED515,69252,68919,138167,30368,18518,48883,10057,15564,25618,2013,2012,4028,4324,3434,7760,46769,39520,86291,16366,23603,39977,9.2,8.7,9,67.5,57.3,62.5,61.3,52.4,56.8,4619,4167,8784,1214,1959,3167,12704,14792,27497,6058,6496,12559,11965,5280,17246,535,730,1267,890,1390,2273,13389,7400,20788,55734,56071,111801,16912,15987,32897,31682,33134,64817,38186,36257,74439
