CED_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
CED405,552,2631,731,552,92,5610,1059,497,3647,1509,1616,276,8603,59,28,288,187,319,44,922,99,50,341,326,1202,65,2081,88,20,315,212,490,176,1307,4830,2102,16331,8259,15056,1684,48259
CED406,335,1598,670,804,88,3929,390,375,2389,2159,3129,295,8722,11,11,92,103,248,15,488,31,32,186,257,1596,75,2179,25,8,135,153,642,215,1171,1527,1178,8118,7568,21361,1669,41418
CED407,405,2135,785,852,96,4971,556,407,2693,1777,2369,228,8035,14,8,99,85,214,28,452,44,36,227,276,1438,64,2093,36,22,162,160,564,181,1122,2824,1472,10675,8040,19325,1618,43954
CED408,557,2244,851,705,100,5301,668,425,2739,1636,1973,225,7667,47,15,179,127,234,32,639,51,45,244,222,1267,46,1872,54,32,235,174,514,154,1163,2961,1862,11097,7472,17129,1786,42299
CED409,354,1612,582,674,80,3819,551,358,2664,1750,2474,303,8106,26,16,139,96,229,26,530,48,28,203,278,1410,97,2056,53,11,187,187,605,283,1339,2511,1316,10445,7068,18548,2041,41925
CED410,604,2702,698,488,98,6203,1385,577,4319,1433,1379,263,9354,64,22,201,106,152,17,563,129,41,384,285,1098,76,2024,136,25,400,192,339,166,1252,6585,2435,18645,7397,11545,1615,48224
CED411,300,1445,732,906,98,3784,226,241,1612,1701,2660,236,6678,3,3,59,84,162,16,327,25,9,107,205,1406,73,1826,20,16,100,144,739,253,1268,1085,886,6257,6645,21184,1945,38011
CED494,3,13,3,3,0,35,5,0,20,8,16,3,47,0,0,5,0,3,0,13,0,0,4,3,10,0,12,0,0,4,3,16,12,34,30,11,116,62,181,46,444
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CED501,452,1717,627,1196,119,4452,268,297,1938,1469,2088,233,6288,3,14,102,103,294,23,541,44,21,157,296,1476,69,2054,50,18,211,310,1072,264,1918,1681,1243,8517,7918,23432,2046,44847
CED502,477,1858,671,985,133,4728,568,305,2624,1549,2020,302,7381,42,15,166,113,278,31,649,82,28,324,329,1573,78,2411,105,23,374,329,992,328,2146,3652,1424,12800,8302,19730,2177,48083
CED503,460,1647,614,938,117,4027,238,241,1405,1222,1650,226,4981,12,6,75,64,249,34,442,23,19,139,265,1326,39,1805,29,11,159,207,893,205,1511,1260,1092,6815,6415,19632,1743,36951
CED504,453,1764,593,990,134,4313,359,258,2142,1324,1801,288,6176,20,17,145,128,224,30,562,55,21,270,325,1558,76,2301,72,14,309,269,880,283,1826,2093,1308,10838,7495,18451,2069,42259
CED505,971,2989,582,401,120,6876,2019,658,5333,1025,596,272,9903,122,67,455,129,140,27,943,158,48,441,240,577,32,1504,318,79,870,277,343,161,2050,9512,3382,25978,6625,7698,1566,54756
CED506,620,2445,642,1234,189,5496,346,349,1916,1153,1375,280,5419,26,8,149,86,222,28,524,43,28,157,236,1607,122,2191,46,26,234,238,1190,361,2094,1806,1599,10589,7752,28089,2899,52729
CED507,603,2053,666,1044,127,4770,350,307,2038,1181,1787,225,5879,13,11,128,102,244,21,519,38,26,206,226,1295,62,1848,26,22,205,246,822,223,1546,1390,1458,9270,6628,21122,2030,41894
CED508,861,2737,732,877,161,6489,866,527,3406,1377,1430,272,7879,79,32,318,151,232,36,838,72,42,313,319,1315,67,2130,173,37,528,342,894,277,2249,4655,2483,16433,8182,17258,2037,51053
CED509,548,1775,641,895,131,4548,389,308,1989,1286,1505,242,5722,36,18,183,126,248,13,620,42,37,259,295,1572,65,2273,75,32,322,249,911,251,1846,2535,1612,10229,7267,18028,1891,41565
CED510,847,3046,879,1027,163,6826,567,379,2943,1519,1410,271,7088,41,30,245,131,222,29,688,69,28,301,345,1299,66,2105,115,33,397,361,850,182,1934,3510,2274,15586,8951,17598,1832,49742
CED511,614,2043,680,1086,154,4861,296,250,1571,1122,1628,244,5104,26,4,115,93,237,20,495,33,14,118,217,1577,74,2034,28,13,120,154,713,305,1331,1360,1340,8053,6186,20990,2470,40400
CED512,537,1902,808,1208,148,4989,403,303,2399,1915,2216,339,7572,19,12,142,121,298,32,620,57,19,244,451,1940,85,2796,58,25,314,350,1133,299,2182,2180,1514,10897,10054,25806,2636,53079
CED513,868,2578,579,596,127,5926,1063,484,3728,1178,1147,223,7821,111,58,495,192,255,46,1152,139,52,493,324,1107,78,2193,209,60,774,344,624,254,2260,7003,3082,23678,8818,13367,1940,57892
CED514,729,2378,585,670,134,5266,778,413,3302,1330,1388,276,7483,65,33,343,169,189,29,827,116,58,412,397,1141,68,2192,146,33,554,331,654,249,1970,4609,2228,18063,8561,14042,1961,49463
CED515,677,2351,596,621,129,5689,908,413,3626,1202,1207,248,7605,109,45,409,199,340,36,1140,135,58,475,368,1087,68,2193,219,50,696,363,708,306,2352,6671,2557,20985,8718,14380,2030,55341
CED516,769,2892,733,642,121,6520,909,475,3401,1171,956,255,7170,54,29,266,107,194,30,684,102,43,369,243,746,53,1560,182,56,605,280,552,188,1866,5757,2528,18686,7108,10662,1584,46331
CED594,8,28,5,5,0,57,12,5,30,9,22,0,86,0,0,10,3,4,0,20,0,0,4,0,29,0,29,3,3,17,4,42,16,86,69,20,301,133,590,58,1169
CED597,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,28,3,47,9,3,34,54,144,10,250
CED601,220,1797,385,617,94,3691,415,314,1834,953,1540,197,5254,18,13,100,69,190,22,408,30,14,106,124,829,38,1133,24,6,109,79,392,165,774,1607,929,6816,3811,11996,1193,26353
CED602,183,1248,366,602,56,2674,199,187,977,936,1584,180,4069,4,4,29,28,112,10,184,19,13,63,125,895,27,1135,6,5,55,80,416,152,707,743,656,4031,3478,13084,1270,23263
