CED_CODE_2016,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_more_15_19_yrs,F_3000_more_20_24_yrs,F_3000_more_25_34_yrs,F_3000_more_35_44_yrs,F_3000_more_45_54_yrs,F_3000_more_55_64_yrs,F_3000_more_65_74_yrs,F_3000_more_75_84_yrs,F_3000_more_85ov,F_3000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot
CED307,179,389,574,683,651,672,1211,637,293,5297,133,540,851,985,904,746,789,258,164,5376,92,655,1039,1085,1133,780,423,129,44,5375,31,494,1171,1143,1279,843,297,75,33,5349,13,319,1163,1231,1260,806,204,40,19,5055,9,115,803,864,848,497,96,21,4,3251,0,37,592,889,814,423,63,3,0,2828,0,6,255,480,472,232,33,5,7,1491,0,7,223,629,547,253,47,4,3,1717,3,0,46,227,216,63,37,14,4,608,303,238,463,475,511,418,427,296,281,3413,4768,4333,9165,11079,10885,8566,6251,2436,1158,58645,3999,677,863,1032,1072,1398,565,144,42,9795,2399,564,395,485,434,581,425,86,25,5392,1174,1017,867,830,773,1091,1202,412,109,7473,491,713,711,764,772,1069,2369,1256,352,8495,429,710,835,918,930,1063,1963,991,414,8249,367,1031,1194,1279,1209,1201,1501,498,219,8504,208,1270,1794,1628,1673,1330,963,283,81,9225,111,1099,2343,2128,2205,1622,745,173,52,10477
CED308,252,518,744,761,887,973,1602,1067,486,7284,218,807,1224,1230,1194,987,1020,462,200,7340,131,840,1357,1355,1371,947,566,216,69,6847,39,581,1381,1314,1341,945,387,124,55,6178,15,293,1189,1262,1253,852,296,81,42,5277,3,115,727,773,776,486,162,30,14,3074,3,38,470,640,645,389,103,26,22,2332,0,9,230,378,360,213,76,27,4,1289,0,3,225,422,427,276,101,21,5,1487,6,10,54,206,229,164,90,43,17,813,471,526,993,886,982,830,877,625,479,6675,5312,5698,11306,12020,12112,10353,8645,4214,1902,71565,4327,1220,1344,1298,1360,1607,834,242,71,12310,2281,579,454,474,372,506,377,132,51,5230,1157,1215,1170,1009,955,1385,1449,634,182,9163,582,822,1014,1020,1081,1471,3280,2022,594,11883,496,893,1110,1099,1280,1504,2736,1707,685,11499,456,1394,1795,1684,1671,1522,1791,832,296,11434,283,1574,2304,2099,2081,1612,1158,453,138,11696,113,1267,2868,2479,2538,1910,864,294,104,12441
CED309,207,440,677,784,928,1099,1833,1195,569,7733,167,611,981,1124,1268,1158,1078,567,292,7249,90,642,1105,1221,1296,1046,618,261,117,6399,26,400,1048,1087,1258,879,419,162,78,5352,8,207,833,992,1129,844,298,109,56,4464,3,66,456,634,783,498,144,49,20,2658,0,16,357,577,727,415,96,28,13,2223,0,14,152,319,368,219,60,24,10,1168,0,11,156,320,433,234,70,20,8,1253,8,7,57,182,209,87,68,20,16,652,352,314,605,617,766,722,768,689,730,5558,4474,4035,8589,10335,11753,10729,8728,4738,2317,65691,3258,494,907,1017,1081,1527,634,209,44,9169,2319,408,363,474,471,650,402,133,37,5257,1019,860,971,933,1047,1591,1456,772,194,8840,479,674,833,927,1099,1687,3314,2022,532,11573,420,750,1029,1141,1396,1716,3062,1904,855,12275,355,1058,1430,1530,1753,1845,2019,1072,436,11488,186,1230,1865,1871,2027,1900,1297,565,222,11161,78,875,2172,2135,2318,1882,1004,392,134,10989
CED310,200,391,593,708,779,1005,1790,1258,614,7341,156,533,929,1058,1106,1058,1160,554,293,6844,61,541,940,1054,1140,891,601,288,124,5643,33,323,828,960,1069,801,395,180,63,4647,10,170,746,818,1030,663,257,102,70,3862,0,66,452,546,616,414,153,34,10,2306,0,19,304,469,596,382,86,28,15,1889,0,12,152,240,332,185,62,30,7,1024,0,8,130,254,336,194,70,24,7,1031,0,4,39,138,149,109,65,32,20,565,313,320,547,546,638,670,722,643,651,5049,4295,3641,7582,8942,10021,9687,8877,4943,2426,60414,3038,475,742,864,984,1364,590,178,83,8321,2160,364,311,415,409,599,403,143,38,4856,1143,845,875,835,876,1477,1548,773,209,8576,552,590,796,861,1005,1617,3560,2446,711,12149,442,703,907,993,1137,1585,2976,2017,907,11665,359,967,1309,1430,1551,1689,2117,1070,438,10916,166,1093,1548,1647,1729,1529,1270,653,218,9860,79,820,1812,1834,2028,1659,970,374,117,9698
CED311,226,345,772,726,888,804,1079,690,288,5819,204,561,1042,1000,1073,731,541,214,80,5454,123,610,1044,995,1090,691,335,113,31,5035,60,440,853,837,996,642,225,58,35,4143,17,349,827,813,838,523,157,66,11,3600,4,142,617,523,536,316,71,19,4,2232,0,71,411,434,465,247,55,13,3,1696,0,27,195,259,252,141,29,12,3,915,0,30,261,313,320,161,35,16,3,1132,4,5,77,142,153,112,57,17,8,571,561,459,995,963,1115,929,757,434,178,6395,4373,4244,10462,10122,10879,9091,6032,2684,976,58861,3348,602,1723,1383,1567,1940,627,154,56,11397,1887,338,549,575,528,683,393,98,32,5086,826,805,1229,1206,1366,1777,1308,522,166,9205,452,461,922,999,1250,1692,2993,1476,384,10624,463,576,1061,986,1347,1477,2136,1241,441,9729,465,886,1369,1276,1462,1229,1157,501,130,8474,278,1081,1602,1441,1627,1272,742,288,65,8387,186,962,1667,1525,1718,1389,614,129,50,8243
CED312,241,504,849,854,772,927,1455,859,424,6885,217,782,1372,1253,1021,832,695,371,160,6699,108,852,1635,1378,1322,911,443,146,46,6836,61,648,1523,1272,1242,830,245,70,23,5909,16,322,1365,1284,1227,721,157,48,21,5159,9,107,739,781,717,404,63,17,3,2842,0,36,419,626,550,314,54,3,3,2014,4,10,186,355,292,165,24,0,0,1042,3,6,144,362,287,144,30,12,3,986,5,8,59,113,110,55,34,15,7,405,523,412,920,823,783,723,605,395,316,5500,5618,5506,12086,11800,10792,9147,6739,3126,1345,66153,4686,879,1329,1183,1221,1465,615,167,57,11602,2296,564,460,467,381,472,365,92,26,5117,1193,1161,1281,1098,933,1255,1238,472,132,8762,549,754,1068,980,1089,1549,3149,1654,410,11204,539,897,1198,1183,1163,1427,2448,1370,596,10814,508,1382,1886,1651,1453,1294,1314,643,228,10361,311,1753,2738,2174,2033,1511,922,325,93,11868,163,1458,3250,2684,2430,1741,655,149,47,12586
CED313,191,701,798,530,436,523,805,652,522,5152,145,807,1103,721,646,532,533,296,234,5005,73,836,1261,833,685,530,352,150,90,4820,49,830,1760,911,829,619,312,107,63,5480,10,682,2276,1224,1027,688,237,77,40,6261,3,319,1936,1090,873,532,134,30,9,4928,0,104,1484,1192,945,548,95,26,17,4410,0,25,845,813,693,359,74,17,10,2839,0,17,1017,1363,1026,504,82,34,11,4052,4,11,248,766,645,251,93,29,16,2064,333,585,1425,849,747,577,373,321,281,5487,4235,7562,17048,12526,10173,7447,4496,2540,1675,67698,3418,1593,1910,1317,941,859,428,152,87,10701,1939,747,437,384,325,370,212,93,38,4543,1039,1631,1224,736,609,787,550,327,121,7033,452,1194,1232,784,669,867,1212,921,404,7738,370,1270,1475,837,721,912,1330,1007,692,8607,269,1531,1930,1095,949,868,972,522,305,8433,133,1585,2365,1372,1045,900,633,317,147,8498,88,1598,3416,1710,1426,1133,639,214,98,10323
CED314,249,421,639,682,708,880,1465,1166,580,6795,234,630,1030,1005,983,899,899,467,290,6442,108,777,1189,1123,1070,822,509,268,105,5961,35,571,1106,955,1074,820,295,134,51,5046,26,366,1051,859,1035,787,252,87,52,4513,8,117,626,644,686,460,105,52,8,2711,0,72,441,568,621,452,94,18,4,2270,0,15,194,295,398,265,47,17,18,1244,0,13,200,299,397,249,52,16,3,1235,3,6,48,129,154,107,58,27,17,547,450,355,675,600,667,699,806,724,735,5712,4931,4727,9539,9210,9848,9215,7400,4456,2274,61602,3591,634,948,795,845,1155,484,226,84,8755,2303,385,410,390,384,561,355,151,47,4990,1142,991,1134,897,838,1156,1160,562,153,8045,519,636,933,813,947,1348,2940,1955,524,10610,508,737,969,1013,1095,1401,2407,1773,795,10692,525,1099,1476,1353,1371,1414,1663,837,404,10137,278,1501,2065,1729,1654,1487,1053,533,178,10477,136,1319,2347,1903,2081,1724,710,274,86,10577
CED315,228,600,839,703,706,732,1080,840,426,6154,216,829,1252,1069,914,761,685,303,147,6164,106,830,1410,1093,1095,750,340,154,48,5828,69,622,1492,1161,1128,759,250,91,34,5608,33,465,1410,1151,1137,745,182,41,22,5183,10,191,1030,865,796,497,86,13,4,3493,3,70,712,737,711,430,63,11,4,2747,4,12,328,424,395,250,33,10,3,1451,0,27,276,434,409,221,43,14,4,1431,4,9,55,150,143,91,37,15,5,508,515,604,974,784,881,762,643,405,248,5815,5532,6721,12385,10776,10403,8657,5698,2961,1237,64372,4193,1060,1099,944,1008,1294,453,144,50,10241,2612,764,436,379,387,448,293,82,37,5442,1391,1741,1453,1131,1055,1340,1060,435,127,9736,560,958,1113,944,960,1248,2281,1300,347,9713,478,986,1237,1022,1078,1248,1915,1319,589,9866,425,1355,1787,1415,1267,1248,1291,586,217,9589,256,1535,2298,1676,1675,1324,798,326,96,9996,186,1469,2812,2142,2111,1582,653,190,61,11208
CED316,213,402,648,719,896,1185,2201,1492,667,8429,170,540,1007,955,1063,1026,1191,609,285,6838,65,477,978,1000,1024,830,559,291,86,5308,25,264,715,819,924,730,322,125,49,3981,5,182,569,693,814,583,201,121,54,3226,5,61,341,402,456,339,80,29,8,1712,3,25,246,410,460,298,48,14,3,1508,0,10,115,206,240,153,33,15,4,774,0,12,107,165,207,138,45,21,4,688,4,6,34,79,89,50,41,27,8,337,378,312,545,546,736,923,1065,832,534,5869,3991,3294,7046,7877,9411,10748,10618,5841,2290,61100,2998,360,628,706,911,1562,579,259,82,8084,1887,285,285,312,418,800,481,161,55,4680,1021,911,1054,1068,1379,2373,2043,916,212,10976,419,543,928,1014,1466,2592,5928,3367,813,17069,406,683,1032,1110,1481,2088,3908,2509,961,14183,334,927,1442,1351,1582,1702,2297,1180,428,11240,151,923,1671,1570,1698,1521,1229,656,178,9591,74,658,1578,1582,1809,1582,882,315,97,8575
CED317,231,368,639,775,850,944,1399,980,556,6740,219,561,1039,1047,1155,1024,760,292,142,6251,119,584,1063,1055,1131,883,452,190,46,5526,53,423,866,898,1100,855,286,90,38,4610,28,273,767,785,947,662,200,81,27,3779,8,141,564,516,527,369,110,24,4,2266,3,53,363,452,525,311,63,25,8,1804,0,23,190,246,294,193,54,12,8,1019,3,27,247,254,284,201,44,19,3,1073,3,9,56,103,115,95,57,23,9,472,678,435,984,925,1116,1157,982,614,274,7165,4532,3985,9131,9336,10653,10155,7508,3843,1587,60737,3235,515,915,874,1036,1529,627,237,85,9051,1924,290,376,412,459,627,416,162,85,4760,874,762,1288,1188,1389,1841,1555,701,200,9796,442,524,948,991,1318,1947,3407,2066,542,12185,484,615,948,1089,1369,1675,2746,1748,808,11472,486,985,1424,1473,1695,1718,1593,665,222,10257,309,1213,1850,1721,1920,1667,1067,421,94,10256,130,1009,1945,1771,2191,1911,805,222,68,10050
CED318,240,472,873,861,864,929,1282,687,353,6555,245,688,1373,1371,1231,980,736,284,170,7080,125,766,1510,1403,1299,917,427,122,49,6630,46,560,1393,1415,1433,951,317,80,27,6221,17,299,1242,1283,1308,944,237,66,26,5427,8,151,805,842,852,501,126,21,10,3319,0,53,575,753,799,524,92,11,3,2813,0,24,277,428,495,269,60,15,4,1580,4,13,317,446,524,316,49,17,4,1688,7,9,84,177,180,118,40,18,9,640,760,726,1520,1335,1323,1171,827,459,313,8436,5216,5346,12755,13203,12894,10660,6533,2770,1278,70654,3971,859,1277,1114,1113,1335,589,187,75,10523,2187,406,437,516,472,559,335,86,32,5035,1126,1248,1711,1561,1488,1698,1269,481,113,10694,508,714,1219,1229,1295,1650,2422,1284,316,10631,475,802,1307,1304,1421,1676,2426,1185,507,11105,446,1165,2042,1946,1833,1655,1468,597,232,11385,259,1418,2615,2278,2143,1739,917,271,87,11730,120,1156,2921,2773,2674,1965,800,180,57,12650
CED319,155,458,606,570,577,683,1320,1162,734,6256,154,595,933,874,866,768,839,544,340,5901,77,704,1183,974,894,765,534,234,104,5474,36,735,1567,1123,1068,800,323,124,79,5850,10,502,1771,1227,1209,852,251,113,61,5995,3,184,1382,1071,983,582,130,36,23,4398,3,53,1030,1086,874,495,86,30,17,3667,0,22,513,651,542,281,40,21,6,2083,0,12,568,901,691,303,51,32,12,2565,0,6,99,316,227,116,34,36,21,845,261,388,773,604,570,518,468,557,682,4816,4209,5406,12721,11622,10492,8620,6329,4434,2606,66429,3379,891,1334,1158,959,1207,570,231,129,9869,2173,594,390,427,411,487,364,142,57,5035,1076,1089,951,787,827,996,965,625,205,7526,400,850,875,756,798,1115,2029,1671,609,9097,321,856,1014,867,947,1177,2201,1763,1015,10155,321,1189,1491,1229,1223,1214,1465,962,448,9527,171,1365,2211,1575,1433,1325,1025,494,184,9794,96,1388,3135,2036,1920,1532,768,291,133,11303
CED320,250,506,852,780,892,1002,1759,974,361,7371,218,779,1231,1236,1219,961,978,424,187,7237,112,722,1324,1244,1279,891,494,219,74,6360,54,553,1194,1182,1191,750,252,106,34,5309,15,302,911,997,1070,669,187,56,22,4231,3,83,534,623,671,354,63,14,14,2349,0,30,302,494,548,287,55,16,3,1734,0,3,119,248,290,147,31,10,5,855,3,4,99,225,240,122,33,16,3,744,3,8,34,70,90,55,44,20,4,326,399,382,732,681,693,778,822,557,576,5624,5231,4990,9943,10244,10873,10060,8605,3901,1637,65479,4016,660,950,1004,1115,1708,632,158,58,10304,2329,502,467,460,478,682,470,116,28,5528,1271,1111,1362,1042,1134,1780,1672,617,166,10152,580,799,1160,1040,1297,1999,4317,2174,464,13836,538,862,1223,1106,1366,1659,2984,1608,591,11940,488,1296,1712,1626,1666,1575,1890,833,277,11364,258,1441,2206,1916,1957,1587,1099,494,153,11115,123,1242,2579,2267,2315,1739,730,261,77,11319
CED321,200,342,663,748,869,1024,1619,1184,583,7230,255,563,988,1101,1101,960,787,380,224,6349,136,602,967,1036,1101,915,430,211,60,5466,57,377,785,858,1043,769,284,126,42,4344,23,312,781,704,833,632,230,107,32,3652,5,121,515,459,494,329,106,29,16,2072,0,45,307,390,447,291,69,26,8,1580,0,18,141,185,226,175,46,21,6,819,3,17,155,176,242,180,66,25,8,855,7,18,55,110,121,96,75,22,3,524,577,344,723,816,952,1072,1001,682,388,6557,4086,3780,8335,8844,10039,10126,8216,4360,1902,59698,2712,354,767,730,1039,1516,659,234,112,8126,1817,246,402,421,500,651,435,156,52,4672,844,707,1056,1097,1334,1811,1661,693,194,9398,414,479,918,1060,1381,2156,4073,2249,625,13354,462,575,979,1092,1434,1904,3071,1988,894,12400,550,932,1369,1507,1613,1712,1646,773,322,10425,310,1205,1722,1659,1868,1734,1016,494,113,10113,190,1020,1872,1802,2194,1851,786,260,78,10055
CED322,205,417,594,781,782,931,1580,1118,595,7010,179,634,995,1104,1171,1029,957,436,255,6761,75,657,1169,1163,1269,975,501,231,100,6139,36,518,1288,1233,1233,919,344,113,71,5753,16,252,1163,1095,1114,865,280,101,54,4949,0,90,792,755,678,452,116,26,19,2934,0,25,503,661,655,422,91,29,13,2391,0,10,231,362,386,227,68,14,10,1314,3,4,235,438,382,236,78,21,11,1403,3,7,69,188,190,125,45,31,15,671,364,368,795,760,710,782,719,733,827,6050,4635,4578,9925,11001,10808,9925,7716,4360,2507,65449,3559,922,1114,1068,979,1300,685,217,101,9960,2387,476,367,439,411,575,366,150,55,5228,1118,1028,903,845,836,1234,1247,678,202,8088,452,703,815,900,968,1336,2881,1909,612,10559,413,780,946,1080,1172,1473,2580,1762,841,11051,384,1132,1459,1469,1632,1601,1736,865,380,10657,179,1215,1946,1811,1905,1641,1080,539,208,10526,81,1043,2477,2308,2319,1812,855,263,139,11288
CED323,205,584,901,722,734,844,1674,1126,639,7426,163,854,1382,1057,1102,966,1029,490,257,7305,92,910,1465,1131,1227,917,592,252,128,6713,27,626,1654,1026,1179,871,398,164,75,6016,18,349,1375,986,1087,805,336,128,57,5133,0,129,836,631,657,513,160,51,25,2996,0,44,521,541,555,412,164,45,14,2299,3,22,269,317,332,251,92,33,14,1338,0,16,243,384,391,293,104,42,25,1496,3,11,102,251,248,157,117,67,12,968,448,736,1332,998,1089,1019,957,791,673,8052,4358,6574,12938,10450,10879,9959,8600,4779,2478,71009,3292,1451,1697,1143,1116,1327,793,323,105,11246,1936,592,403,399,343,449,389,155,49,4711,958,1319,1254,973,913,1274,1300,755,224,8975,437,993,1268,978,1098,1527,2839,1875,599,11625,378,1116,1517,1146,1203,1429,2853,1853,891,12386,336,1521,2286,1564,1666,1549,1854,920,405,12095,200,1633,2690,1973,1935,1630,1136,511,229,11928,84,1299,3364,2201,2206,1744,937,365,151,12345
CED324,161,556,852,600,630,618,1004,795,486,5717,116,623,1156,844,741,635,674,326,236,5357,44,541,1178,883,798,592,399,196,97,4728,26,547,1453,993,844,659,319,108,56,5009,9,392,1621,1097,919,672,232,79,36,5052,9,173,1051,875,706,455,142,38,17,3456,0,58,812,827,753,460,97,35,27,3062,0,18,397,521,457,265,55,20,8,1723,0,11,486,667,607,302,78,27,11,2181,4,7,116,324,311,154,70,29,14,1033,299,472,859,633,617,484,500,398,474,4733,4677,7252,14107,11111,9716,8098,5782,3269,1983,65987,4472,3270,3194,1597,1254,1559,746,282,91,16456,2049,1117,638,518,442,618,416,123,44,5969,1189,1941,1640,1087,894,1145,955,506,172,9530,456,1338,1574,892,929,1082,1807,1346,595,10020,294,1218,1634,1011,1027,1048,1636,1189,675,9735,265,1296,2234,1347,1166,1060,1198,622,323,9516,118,1217,2513,1623,1321,1048,812,392,170,9214,70,1121,3151,2051,1716,1270,714,256,87,10436
CED325,170,493,822,731,707,710,1030,698,282,5645,162,656,1151,1044,969,685,588,231,97,5583,85,694,1349,1226,1074,677,319,127,47,5602,33,543,1401,1249,1214,702,245,64,24,5473,11,314,1454,1190,1134,671,168,47,32,5026,5,114,915,878,780,387,82,9,3,3171,3,49,594,808,673,344,62,6,0,2547,0,17,291,462,382,198,29,6,0,1376,0,3,257,487,418,185,33,10,7,1399,4,17,71,134,153,75,27,11,4,498,492,516,1093,878,765,561,502,379,370,5557,5564,5609,12573,12019,10999,8126,5268,2588,1142,63881,5210,1223,1645,1397,1378,1464,555,199,69,13140,2350,817,503,476,477,462,310,90,17,5500,1283,1359,1386,1230,1181,1447,933,444,102,9375,465,852,1092,1015,1083,1287,2103,1189,319,9406,372,877,1222,1057,1086,1136,1672,1016,396,8820,346,1146,1703,1463,1362,1142,1075,458,157,8839,206,1422,2438,1940,1775,1228,681,247,80,10031,98,1215,2998,2524,2322,1505,610,144,44,11456
CED326,172,444,708,747,803,876,1780,1309,651,7487,190,666,1157,1133,1031,874,1038,560,315,6962,108,749,1320,1231,1147,885,592,250,133,6414,35,605,1435,1274,1281,874,327,129,80,6039,7,307,1321,1278,1257,848,250,100,43,5408,0,133,926,877,772,471,109,33,21,3331,0,37,570,801,692,397,68,21,12,2596,0,14,276,387,392,191,39,14,5,1325,0,3,236,525,400,184,49,18,4,1420,3,10,43,136,128,68,46,28,37,505,370,322,731,725,699,608,712,728,751,5647,4756,4821,11216,11868,10963,9486,8170,4820,2550,68650,3947,690,1212,1325,1163,1516,654,192,68,10776,2188,517,412,490,434,577,362,113,48,5143,1091,989,1046,978,901,1312,1284,646,168,8416,484,685,948,973,1034,1458,3218,2099,591,11490,412,791,1061,1066,1189,1381,2847,2003,939,11685,415,1162,1632,1505,1469,1357,1864,977,442,10838,260,1435,2188,1900,1817,1496,1191,518,212,11024,116,1315,2905,2404,2344,1731,798,281,133,12027
CED327,219,566,979,871,786,818,1304,715,383,6639,195,764,1456,1357,1081,873,608,211,114,6639,113,802,1770,1414,1278,874,368,107,26,6758,39,603,1782,1382,1328,818,242,57,16,6269,13,319,1585,1255,1241,739,154,25,14,5343,3,101,907,868,665,406,78,4,3,3039,10,46,550,654,519,338,37,9,3,2161,0,6,252,390,262,171,19,5,0,1110,0,4,199,357,306,142,23,5,0,1029,6,9,45,97,84,51,19,9,3,319,519,486,1032,875,765,685,524,286,184,5366,6055,6247,14635,12882,11304,9527,6099,2448,1109,70300,5770,1717,2365,1656,1506,1888,770,182,53,15899,2381,840,654,542,447,581,366,72,21,5894,1348,1468,1898,1461,1234,1493,1248,489,114,10750,525,888,1357,1227,1184,1606,2752,1319,406,11268,442,1017,1565,1291,1227,1308,2192,1097,556,10680,428,1411,2222,1884,1549,1371,1196,402,152,10604,271,1707,3316,2461,2061,1576,791,229,56,12456,137,1434,3959,3055,2632,1862,619,120,29,13840
CED328,200,679,521,492,488,515,858,610,356,4727,130,772,879,757,687,582,788,371,216,5175,74,592,773,722,709,569,560,229,94,4314,36,590,991,848,850,710,474,216,75,4796,17,523,1278,1035,1010,777,397,130,68,5232,11,198,1042,909,909,567,256,72,33,3994,0,79,880,953,934,650,191,53,21,3766,0,27,439,678,691,423,123,48,20,2452,3,30,494,1033,1034,559,171,68,40,3427,3,14,114,546,619,374,138,65,30,1900,298,534,639,479,453,439,401,395,595,4236,6196,8430,10303,11079,10379,8214,6249,3183,1896,65930,5371,3265,1749,1445,1067,1031,565,214,85,14786,2980,1290,380,518,427,486,386,143,38,6646,1661,2331,929,751,611,707,839,391,166,8388,592,1567,783,640,599,712,1290,872,320,7373,391,1312,993,699,688,764,1359,928,471,7600,273,1455,1574,1016,900,881,1322,696,301,8428,179,1184,1420,1068,1015,898,1009,454,166,7390,106,1201,1914,1340,1281,1181,973,415,149,8551
CED329,187,363,631,778,1039,1266,2074,1258,553,8144,160,438,854,1077,1254,1170,1090,485,216,6734,60,428,835,1007,1182,940,588,232,73,5335,22,232,630,832,1068,791,380,142,58,4156,9,113,465,627,877,709,258,97,37,3204,3,33,229,402,487,397,134,29,12,1740,0,13,166,353,476,346,93,29,14,1487,0,8,65,160,259,187,49,19,6,757,0,4,58,166,232,169,80,24,12,750,3,5,32,91,123,95,88,38,17,495,384,256,482,662,833,995,1042,697,527,5864,3913,2873,6215,8292,10830,11675,10079,4749,2043,60671,3047,347,581,706,1070,1690,668,201,57,8367,1827,332,317,424,521,841,498,134,36,4924,972,800,1050,1112,1468,2366,1905,739,204,10613,441,483,892,1051,1636,2797,5004,2534,710,15547,400,659,947,1230,1727,2273,3737,2146,824,13934,338,781,1255,1479,1813,2026,2182,946,326,11146,162,874,1455,1652,1963,1782,1303,524,156,9868,74,564,1383,1690,2069,1782,977,320,103,8961
