CED_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED101,23,752,3114,2377,2193,1795,677,190,95,11218,13,330,2184,1840,1584,1112,357,94,41,7553,3,127,1614,1566,1545,1015,264,45,20,6203,0,46,1008,1347,1155,732,154,31,6,4475,3,39,1135,2139,1865,1053,253,49,22,6559,8,15,334,1031,1058,629,167,66,21,3326,604,604,1375,1052,1140,1043,872,775,602,8081,9428,10685,23016,20678,20792,18700,12691,8149,4255,128392
CED102,38,943,4621,2782,2127,1527,489,162,51,12731,15,347,2937,2098,1710,998,275,46,31,8445,3,142,2214,1901,1514,838,200,45,13,6873,4,60,1240,1490,1059,591,140,26,11,4618,3,39,1680,2535,1790,801,149,28,16,7040,4,30,443,1091,885,403,114,30,26,3017,661,986,2577,1749,1419,1203,1009,1105,1099,11808,9037,13658,34970,24681,21059,17188,12313,8387,3995,145283
CED103,38,957,3932,2299,2103,1682,816,264,126,12212,7,438,2904,1978,1630,1190,439,125,51,8757,8,163,2451,2085,1624,1152,367,110,49,8011,8,58,1543,1772,1425,911,260,50,24,6049,3,53,2062,3558,2636,1568,366,81,26,10348,8,21,555,2163,2007,1034,237,72,41,6136,535,718,1531,1181,1053,897,793,754,829,8293,9621,13511,28675,24430,21575,18521,12216,7775,4224,140551
CED104,19,856,1726,1678,1889,1700,990,340,126,9323,0,330,1404,1495,1690,1396,640,186,76,7224,5,129,1185,1612,1762,1363,537,149,41,6782,3,39,737,1346,1521,1173,363,75,33,5289,6,30,1040,3116,3133,2037,541,103,46,10053,5,7,348,2227,3001,1727,445,109,31,7895,541,400,638,874,961,803,764,745,952,6674,10565,8901,12722,19177,22123,18983,13779,7236,3645,117135
CED105,27,763,3237,2220,1888,1316,361,96,39,9943,18,349,1890,1352,1161,771,209,24,13,5792,0,129,1255,1072,832,545,128,16,7,3989,4,43,676,743,524,349,62,11,7,2417,3,28,707,939,650,422,85,11,8,2859,12,24,187,280,246,148,49,16,4,970,1026,1217,2515,1851,1709,1329,1054,801,707,12212,11308,14140,30490,22447,20595,17678,11348,6474,3267,137741
CED106,23,698,2185,1546,1653,1327,1038,521,272,9267,14,346,1807,1468,1328,1069,801,386,160,7390,6,159,1539,1527,1488,1161,641,319,177,7024,0,28,1035,1495,1304,933,491,220,103,5619,3,25,1620,3617,3079,1896,892,373,172,11683,5,19,629,4129,5696,2861,1021,403,222,14980,687,476,892,950,1093,792,795,831,1175,7702,11445,9077,16933,22375,23647,17601,13418,8767,5117,128377
CED107,38,649,2120,1868,2129,1802,794,265,71,9726,12,286,1446,1359,1484,1206,386,92,24,6299,4,139,1091,1300,1361,1079,271,74,24,5347,0,72,675,1077,1165,779,172,67,17,4022,0,71,1017,1578,1619,993,213,46,19,5553,17,30,281,621,696,493,218,71,29,2455,1501,1340,2372,2108,2261,2084,2120,1413,684,15885,10359,9334,18848,18964,21264,20600,17178,9101,3617,129260
CED108,38,908,3698,3023,2674,1736,355,67,22,12532,21,391,2144,2048,1709,1069,204,14,6,7600,4,121,1413,1547,1237,749,125,5,3,5205,3,46,794,1034,810,474,67,6,7,3231,3,21,661,1250,850,450,79,6,0,3318,14,22,145,260,230,145,57,16,3,895,1178,980,1796,1639,1491,1291,1213,685,312,10588,12553,12584,26077,23514,21123,17517,11451,5231,1980,132022
CED109,15,757,2489,1892,1987,1741,863,320,159,10218,12,370,2121,1553,1659,1275,528,164,67,7741,10,140,1777,1728,1624,1209,440,126,55,7114,3,48,1086,1377,1277,907,284,102,37,5122,3,42,1348,2463,2165,1420,394,124,67,8031,8,27,512,1792,1846,1181,405,144,50,5966,568,486,1265,1201,1136,1086,961,891,876,8460,7905,7668,17161,18899,19306,17006,13217,8441,4576,114180
CED110,28,411,1548,1800,2037,1771,942,309,165,8999,11,178,1026,1170,1254,1108,424,104,38,5317,9,60,653,884,1082,856,247,47,33,3878,0,23,369,735,881,652,141,50,19,2864,0,13,372,850,948,690,174,64,31,3150,10,15,136,374,457,375,194,69,29,1672,1104,735,1480,1336,1818,2089,2250,2005,1706,14522,9129,7220,14874,16687,20619,23905,21518,12372,5595,131922
CED111,23,710,2366,1971,1961,1651,727,252,92,9761,13,331,1930,1554,1546,1102,387,77,37,6970,10,142,1570,1582,1558,1059,238,62,21,6248,0,60,884,1374,1322,917,163,42,10,4781,9,39,1103,2240,2035,1185,242,57,17,6934,6,24,286,1020,1128,689,189,61,20,3426,728,820,1365,1138,1219,1271,1264,1112,655,9570,9886,12683,20262,19810,20198,18403,13888,8895,4206,128230
CED112,28,587,2215,2157,2254,1845,695,194,94,10079,11,213,1496,1605,1498,1117,300,70,35,6344,3,101,1090,1375,1334,903,239,57,19,5118,4,29,540,1000,1036,654,104,29,16,3401,4,15,556,1341,1339,771,143,50,3,4216,11,29,142,452,619,406,138,59,27,1894,852,630,1127,1161,1408,1460,1588,1491,1304,11015,9744,8927,17179,18712,20162,19082,15900,9592,4809,124112
CED113,51,656,2042,1860,2319,2046,956,259,82,10281,11,303,1590,1545,1741,1488,492,113,45,7333,8,131,1220,1553,1736,1209,358,82,19,6307,0,44,683,1128,1238,854,225,53,18,4239,3,34,812,1999,2330,1258,279,72,30,6812,9,26,192,725,1187,742,211,66,23,3186,1115,666,1517,1568,1932,2006,1762,1270,906,12747,8591,7100,15739,17886,21977,21968,16469,7961,3218,120903
CED114,56,694,2338,2133,2317,2159,817,269,107,10895,9,269,1458,1470,1626,1303,381,118,30,6666,9,71,972,1192,1332,1010,258,50,28,4921,3,32,481,860,945,673,158,37,14,3204,10,24,461,982,1110,775,194,59,30,3643,13,21,149,416,520,514,202,91,30,1963,1331,1000,1847,1753,2041,2419,2396,1982,1160,15932,10144,9016,18339,18478,21197,22380,18021,10596,4422,132590
CED115,32,842,2803,2056,1949,1450,368,72,18,9581,13,317,1763,1285,1208,803,185,22,5,5596,3,129,1123,958,864,559,120,12,3,3784,0,41,586,670,518,371,68,12,4,2263,0,25,579,740,613,419,84,9,0,2473,8,20,137,292,281,182,55,24,0,996,988,989,2085,1834,1753,1569,1105,848,492,11664,11193,12628,23763,21087,22004,20231,12353,6702,2947,132904
CED116,20,410,1480,1522,1806,2005,1075,346,124,8792,13,228,1046,1011,1186,1170,513,146,51,5356,3,70,689,927,1092,990,326,95,33,4230,0,22,414,704,864,737,175,58,30,3003,3,24,375,937,1063,897,252,74,25,3651,20,16,150,403,489,485,201,91,50,1893,985,712,1330,1376,1662,1922,2299,1812,1265,13371,8053,6727,13293,15207,18836,23941,22881,12371,4897,126202
CED117,23,871,3931,2184,1712,1277,619,127,44,10784,8,422,3312,2044,1516,1057,386,77,17,8842,3,157,2845,2261,1638,1033,321,60,6,8333,3,52,1862,1966,1433,832,244,41,10,6446,0,45,2894,4379,2987,1511,394,47,8,12267,6,21,1114,4143,3275,1356,362,54,15,10351,483,913,2972,2284,1730,1318,980,734,558,11973,5324,10131,30183,26646,20915,15134,10097,5375,2391,126207
CED118,37,862,3789,3342,2595,1719,514,73,21,12956,12,347,2780,2729,1968,1163,219,28,8,9246,3,111,2113,2623,1737,952,196,20,10,7763,3,37,1225,2115,1317,739,117,9,0,5570,0,29,1568,3380,2007,933,133,8,3,8058,8,19,352,1135,732,325,55,18,7,2656,709,722,1895,1768,1272,1019,785,482,345,8992,10825,10298,26955,28992,21184,16390,10398,4744,1711,131500
CED119,40,975,2533,2250,2282,1935,824,187,46,11052,17,441,2180,1960,1730,1283,472,62,21,8166,3,163,1888,2090,1841,1302,293,59,17,7658,3,59,1108,1694,1625,982,210,25,7,5708,3,28,1423,2856,2571,1558,292,37,8,8776,9,15,311,1457,1573,851,171,16,29,4428,497,425,859,892,893,785,688,618,695,6354,9318,8788,17359,20829,20171,17172,12202,5699,2827,114365
CED120,57,825,2580,2351,2382,1864,761,167,70,11048,14,355,1918,1729,1768,1280,360,53,14,7492,3,144,1493,1807,1574,1099,284,57,17,6479,3,56,893,1437,1319,845,168,27,14,4757,3,53,873,1851,1898,1156,225,55,10,6136,6,24,187,641,817,517,192,75,17,2473,983,655,1340,1429,1522,1392,1359,1141,926,10750,9927,8640,18040,19762,20761,18488,14126,6738,2705,119176
CED121,64,661,2165,1947,2050,1699,712,218,78,9588,16,283,1464,1355,1332,1119,324,68,24,5991,0,136,1142,1276,1281,926,210,41,19,5028,0,84,768,985,1024,671,131,30,10,3708,3,84,1208,1714,1719,1128,206,42,15,6108,6,23,331,625,755,551,181,42,24,2537,902,767,1752,1569,1601,1601,1671,1264,1105,12228,9821,9194,19012,19146,20372,20001,16168,8549,3882,126136
CED122,62,1220,4193,2431,1998,1540,705,210,97,12454,30,556,3499,2062,1637,1087,478,126,53,9531,20,239,2979,2224,1646,989,321,94,43,8554,15,91,2057,1943,1307,746,203,70,23,6453,8,102,2819,3630,2393,1190,308,103,41,10593,16,50,933,2916,2330,954,277,96,41,7613,895,1719,3466,2539,1961,1578,1387,1030,715,15294,10316,18261,33643,26232,21337,16421,12274,7566,3521,149570
CED123,81,1234,3820,3075,2559,2042,564,98,30,13505,15,440,2731,2328,1815,1260,324,51,14,8976,4,211,1845,2000,1678,1068,238,27,15,7093,6,73,1124,1446,1220,770,131,6,3,4778,3,54,1112,1853,1480,893,168,19,8,5585,13,36,227,586,562,353,100,23,11,1907,942,1041,2337,1947,1618,1378,1189,745,385,11586,10850,11809,26094,23635,20599,18094,12518,5505,2105,131195
CED124,20,287,1090,1304,1796,1749,953,349,117,7666,12,121,706,939,1145,963,459,116,43,4496,4,43,473,717,996,828,279,67,21,3431,0,22,288,582,758,657,140,33,16,2501,0,18,328,793,920,730,211,59,22,3085,7,24,120,352,447,400,206,83,39,1683,1082,501,860,1105,1531,1865,2241,1755,1199,12145,8215,5700,11111,14176,19225,22976,23034,12290,4814,121542
CED125,50,998,3532,2668,2430,1937,563,87,24,12301,18,395,2447,2044,1646,1289,273,27,4,8138,7,150,1643,1705,1401,1010,192,10,10,6136,0,66,912,1134,988,678,113,7,0,3901,4,30,920,1508,1214,798,113,12,4,4599,17,25,172,431,404,314,76,23,6,1463,962,884,1757,1466,1283,1243,1050,521,247,9427,11084,11615,24833,22262,19928,18450,11839,4663,1445,126110
CED126,23,659,2224,1923,2153,1867,1123,435,180,10594,5,247,1689,1789,1782,1348,694,213,101,7866,0,112,1306,1781,1756,1279,530,156,66,7002,0,30,759,1356,1388,869,313,115,48,4884,0,30,1019,2819,2624,1597,577,190,83,8941,13,20,412,2611,3044,1642,583,206,83,8606,569,462,947,1208,1229,1164,1216,1124,1242,9159,8871,7513,14813,20754,21976,17794,14760,8722,4599,119796
CED127,49,722,2071,1969,2265,1912,907,200,67,10160,12,315,1497,1661,1749,1383,518,97,18,7258,3,121,1197,1562,1753,1352,326,56,9,6389,4,53,675,1264,1501,1025,224,30,9,4780,0,31,703,1730,2012,1515,310,54,15,6379,3,28,138,641,876,638,164,60,26,2572,781,548,989,1105,1389,1296,1263,889,618,8890,9351,8018,15014,17789,20530,19585,14838,6747,2641,114511
CED128,48,901,3142,2405,2242,1705,444,91,28,11003,4,384,2121,1811,1501,1030,225,35,9,7117,3,142,1456,1491,1183,825,151,21,4,5281,4,47,791,941,758,522,94,14,0,3171,3,39,789,1268,1019,566,94,12,0,3795,4,16,190,408,321,194,40,27,10,1215,842,879,1829,1510,1448,1231,957,644,381,9727,10787,12107,24954,22459,21122,18494,12374,6462,2522,131291
CED129,33,880,2289,2273,2065,1682,881,200,67,10362,9,401,1930,1977,1798,1254,560,86,17,8036,8,138,1697,2151,1896,1298,438,62,13,7705,7,48,1088,1891,1621,1051,249,29,10,5995,0,37,1570,4039,3190,1744,365,50,13,11010,3,16,455,2292,2164,1083,235,43,17,6299,458,362,758,872,869,727,663,507,405,5621,10379,8954,16898,24184,21531,17049,12973,5830,2203,120008
CED130,34,503,1993,1823,2000,1846,805,278,102,9384,3,206,1161,1097,1225,1039,377,101,24,5248,8,93,782,992,1135,857,239,59,23,4195,0,40,451,743,844,638,167,35,40,2963,0,22,538,1063,1198,825,216,75,13,3961,22,20,152,360,507,420,174,92,26,1783,1365,930,1666,1666,1883,2175,2065,1538,827,14112,10006,8919,16951,17156,19694,20899,17303,9745,3784,124455
CED131,20,869,3107,2131,1995,1703,612,205,66,10712,6,362,2370,1692,1486,1213,341,80,34,7584,3,139,1893,1608,1494,1022,269,56,35,6515,0,64,1114,1311,1163,774,138,28,16,4613,0,63,1438,2160,1883,1134,209,59,28,6981,6,32,366,1071,1109,806,227,81,40,3747,557,733,1394,1079,1260,1224,1129,1056,1189,9624,8805,13563,23451,19916,19552,18016,12538,7197,3958,127000
CED132,18,893,3542,1791,1439,1315,1053,385,171,10607,10,496,3348,1731,1211,1095,735,264,109,8993,9,190,3174,2106,1452,1145,617,223,111,9024,4,88,2395,1954,1213,911,482,164,82,7286,7,75,4196,4951,2913,1852,834,273,90,15194,6,41,1809,5853,5453,2965,1165,349,148,17797,487,649,2373,1794,1347,1175,999,723,797,10345,7635,8855,29260,27089,21153,16834,12884,6673,3750,134124
CED133,23,359,1375,1688,2078,1999,833,295,118,8774,3,112,797,1104,1251,1086,358,88,25,4828,4,44,542,930,1061,899,208,58,24,3765,3,24,272,627,798,674,116,25,11,2550,0,19,279,745,810,651,179,47,21,2748,4,13,125,290,372,322,149,60,33,1365,1303,748,1386,1619,1942,2289,1985,1466,864,13593,9777,7277,14375,17437,21741,25385,19895,10599,4499,130979
CED134,47,681,2063,1709,2047,1736,702,232,76,9307,17,283,1478,1210,1263,1076,308,89,40,5771,9,154,1132,1078,1160,876,230,52,24,4720,8,87,703,898,876,719,181,31,14,3513,5,71,894,1106,1191,828,181,49,24,4355,19,33,254,503,579,481,177,97,30,2183,1406,1069,2135,1971,2400,2465,2288,1720,901,16352,8727,8586,18720,17344,20224,20434,15701,9117,3535,122377
CED135,31,873,4951,3062,2095,1467,452,131,50,13105,13,404,3564,2429,1552,965,288,63,23,9284,7,147,2906,2231,1304,775,190,30,22,7606,3,58,1849,1838,1002,623,133,23,9,5533,3,41,2121,2955,1492,813,167,30,10,7629,3,15,415,858,665,391,111,31,14,2507,799,1047,3360,2226,1544,1304,974,712,513,12480,9264,12775,41038,29341,20671,17198,10944,6357,2743,150329
CED136,39,701,2335,2092,2116,1649,706,178,84,9903,15,257,1570,1488,1542,1042,307,58,20,6296,4,137,1191,1367,1290,918,202,42,14,5167,0,51,687,978,982,650,124,32,14,3513,0,57,860,1467,1436,868,144,40,14,4879,8,25,199,549,561,396,152,55,23,1969,832,676,1367,1259,1427,1463,1674,1316,716,10722,9483,9056,18921,18972,19874,19513,17015,8638,3193,124668
CED137,47,1093,5029,2438,1989,1546,713,206,92,13143,20,480,3698,1909,1503,1072,486,113,43,9315,9,222,3127,2082,1537,1093,364,116,36,8596,0,78,1942,1766,1271,840,276,71,29,6279,3,69,2835,3597,2375,1511,407,100,36,10939,6,26,966,2651,2385,1236,418,120,61,7876,684,1556,4015,2441,1711,1298,1046,711,561,14020,8898,15934,40163,26475,21809,18076,11880,7162,3644,154050
CED138,22,284,1549,1950,2178,1964,949,303,143,9351,5,106,1019,1194,1335,1177,374,122,57,5391,0,32,606,1088,1147,936,326,94,46,4279,0,12,350,804,852,652,185,60,26,2944,0,20,379,919,1027,767,272,77,19,3479,10,21,172,520,620,502,231,91,47,2208,1052,620,1403,1654,2006,2381,2095,1723,1629,14571,8212,6301,14273,18028,20930,23705,19363,11113,5565,127476
CED139,50,720,2156,1923,2020,1875,776,307,96,9918,16,285,1465,1354,1414,1090,349,113,30,6115,3,138,1036,1145,1198,893,230,76,30,4743,0,44,582,902,907,691,183,47,21,3389,0,19,606,1084,1120,781,192,60,24,3874,18,31,161,408,563,467,230,96,30,2013,1259,899,1672,1683,1823,1971,1996,1562,856,13726,10014,9515,17599,17561,19692,20150,16545,9775,4237,125092
CED140,24,541,1959,1792,2040,1855,863,294,135,9494,8,193,1391,1415,1518,1167,450,116,51,6304,4,74,1127,1330,1488,1065,314,87,38,5537,0,20,638,1129,1157,803,207,53,29,4040,0,21,636,1661,1700,1058,281,79,26,5466,7,20,191,764,892,614,200,101,46,2837,728,531,990,1103,1259,1266,1343,1292,1125,9635,8376,7499,15008,17459,19553,19177,16549,9626,4747,117999
CED141,23,553,2190,1919,2172,1837,760,229,78,9762,7,203,1437,1366,1485,1144,330,79,26,6072,3,72,1091,1292,1417,1035,230,47,11,5212,0,36,653,1035,1083,749,146,33,15,3750,3,27,803,1553,1504,1015,175,36,18,5133,10,14,212,666,781,519,146,54,29,2426,593,449,827,887,1074,1103,1238,1129,742,8037,8882,8006,15533,17000,19421,19055,16678,9814,3838,118216
CED142,126,1799,7082,2425,1472,974,560,135,32,14602,42,919,6111,2309,1285,797,360,68,16,11911,32,458,5918,2551,1389,851,342,77,10,11628,20,225,3997,2198,1237,663,221,55,18,8636,25,197,6776,5299,2642,1431,411,98,24,16903,32,106,2827,4504,3056,1690,589,130,27,12954,1121,3855,8851,4110,2798,2129,1425,777,322,25384,8310,28283,66424,32353,20469,15144,9616,4433,1456,186472
CED143,23,711,2743,1701,1594,1331,963,388,191,9636,8,316,2426,1544,1406,1035,704,264,106,7798,5,128,2186,1833,1503,1062,604,235,96,7653,0,47,1496,1591,1228,850,420,144,68,5845,9,42,2774,3830,2691,1625,749,247,113,12081,7,19,1360,5418,5274,2572,1023,334,151,16166,569,561,1771,1741,1420,1118,1022,717,758,9692,7518,6981,21365,24241,21450,15582,12107,6545,3536,119324
CED144,22,745,3387,2448,2070,1327,409,115,31,10547,8,309,2054,1666,1354,790,201,46,14,6455,5,111,1366,1329,1100,636,143,23,11,4733,6,41,805,971,814,435,82,22,12,3186,0,32,911,1377,1140,601,109,27,9,4201,4,19,224,679,560,277,84,29,18,1892,944,991,2278,1755,1582,1276,994,752,489,11062,10896,13064,29494,24001,21946,17647,11626,7494,3434,139594
CED145,21,841,3496,1635,1246,1166,850,352,141,9740,4,418,3392,1553,1169,927,609,226,88,8391,6,201,3219,1803,1232,942,574,267,137,8392,4,77,2293,1551,974,757,455,200,93,6410,8,73,4219,3779,2232,1392,840,302,130,12982,6,46,2358,5690,4705,2659,1483,522,298,17768,578,942,3876,2579,1950,1477,1446,1204,1087,15131,5772,7972,30859,24204,18477,14023,11753,6598,3919,123563
CED146,53,945,3163,2642,2641,1629,341,64,24,11513,14,367,2057,2026,1677,989,181,18,3,7331,4,121,1529,1597,1375,729,130,15,0,5494,5,52,752,1038,959,521,84,4,0,3423,3,31,812,1374,1088,547,84,10,0,3952,13,18,185,433,436,227,68,22,15,1413,1201,916,1773,1738,1703,1346,1063,767,457,10967,13198,12370,23480,24179,23207,18094,10341,5151,1801,131818
CED147,25,615,2148,2020,2133,1649,739,290,71,9684,7,231,1449,1459,1474,1100,342,102,23,6188,7,115,1049,1314,1372,989,253,79,19,5196,0,36,662,1034,1084,754,153,50,21,3796,3,39,637,1502,1498,959,223,65,23,4943,18,29,160,518,602,478,252,78,29,2164,843,555,1057,1111,1328,1352,1462,1193,742,9639,10102,8474,16638,18323,20148,19278,16766,9841,3641,123212
CED194,3,61,179,89,80,80,34,6,0,533,0,23,95,63,45,31,16,4,0,277,5,9,77,47,37,30,6,3,0,219,0,7,61,25,27,15,4,0,0,136,0,0,64,75,34,15,3,5,0,210,0,0,19,49,20,5,12,0,0,111,110,265,641,427,392,338,220,74,24,2494,517,1358,2703,1900,1798,1722,1196,282,78,11545
CED197,0,0,0,3,4,3,0,0,0,10,0,0,3,0,3,3,0,0,0,14,0,0,3,4,0,7,0,0,0,17,0,0,0,3,3,0,0,0,0,3,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,3,4,0,10,17,25,11,4,78,12,9,32,34,50,74,108,42,10,374
CED201,28,666,2765,2059,2377,1874,603,139,55,10564,0,215,2078,1602,1615,1236,306,50,14,7119,0,84,1310,1567,1471,1008,226,35,15,5726,0,22,704,1134,1079,720,120,26,16,3826,3,26,755,1583,1542,984,146,32,16,5079,9,11,173,585,743,471,82,24,13,2097,475,478,942,911,973,949,869,695,561,6852,8953,9257,17992,18208,19554,17628,11857,6138,2603,112194
CED202,22,613,2354,2124,2274,1810,671,195,87,10145,12,201,1638,1573,1678,1132,312,93,32,6681,0,83,1066,1440,1398,960,211,54,19,5225,0,31,566,990,1019,690,120,38,15,3470,3,22,580,1163,1284,864,172,30,9,4129,10,21,167,574,688,463,166,56,25,2165,1026,810,1316,1386,1605,1607,1638,1172,720,11285,9818,10086,18191,19151,20892,19794,15729,7893,3412,124957
CED203,11,645,4083,2660,2077,1335,429,131,64,11439,4,229,3066,2117,1542,929,237,53,21,8190,9,73,2221,2124,1484,828,174,30,14,6949,0,27,1130,1556,1112,657,99,19,16,4621,0,29,1492,2583,1905,860,145,23,11,7042,11,31,430,1638,1316,498,146,26,26,4118,790,1020,2622,1975,1650,1299,1189,1167,914,12621,7604,12524,31381,25189,21025,15403,10818,8437,3953,136350
CED204,23,589,2123,1880,2138,1774,703,249,95,9574,9,244,1439,1469,1573,1184,365,79,29,6384,0,70,929,1302,1362,1035,257,59,23,5040,0,37,500,836,923,633,153,37,17,3133,3,23,517,1145,1271,798,190,71,22,4035,13,25,152,530,654,465,191,70,19,2121,1086,741,1582,1527,1713,1850,1781,1337,1018,12640,9240,9155,16921,18082,20184,20411,16144,8506,3757,122395
CED205,14,613,3022,2176,1992,1399,651,233,91,10185,0,230,1769,1508,1280,926,360,96,39,6220,3,91,1209,1263,1128,756,277,77,18,4823,0,25,618,881,768,555,166,46,17,3076,3,28,678,1502,1250,779,209,70,24,4545,3,23,193,656,796,533,171,63,24,2462,729,798,1758,1300,1263,1167,1128,1065,765,9969,9642,12019,24185,20751,19564,17092,14233,9220,3812,130519
CED206,29,725,2770,2210,2371,1602,405,86,29,10233,7,241,1700,1505,1616,1074,207,31,4,6372,3,101,1024,1114,1315,734,137,18,9,4452,7,43,580,743,826,495,81,5,7,2786,3,24,504,1039,1020,600,88,11,0,3288,7,17,164,383,470,274,57,31,6,1413,1134,934,1943,1573,1733,1444,1216,730,313,11007,12292,12877,23598,21246,23501,18597,12150,5806,1893,131960
CED207,17,682,2764,2226,2426,1918,716,135,62,10943,9,238,1898,1697,1633,1245,354,50,18,7141,0,82,1335,1393,1446,1044,230,39,21,5590,0,38,591,1043,1068,642,128,25,9,3549,5,18,688,1397,1350,788,178,25,11,4465,9,15,160,467,585,396,128,44,21,1819,823,572,1098,1168,1352,1232,1215,847,493,8802,9196,8569,18127,18660,20147,18057,13756,6326,2548,115387
CED208,35,718,3261,1981,1876,1374,650,301,144,10352,8,267,2228,1565,1479,998,358,154,88,7144,8,114,1548,1569,1549,952,287,111,54,6196,14,59,952,1344,1217,742,176,71,30,4600,12,35,1239,2381,2063,1156,293,104,58,7345,11,28,337,1513,1588,763,174,74,53,4549,697,1013,1602,1125,1118,968,934,1091,970,9518,11393,18523,26469,20452,20204,15963,11994,9552,4788,139344
CED209,20,583,2442,2196,2234,1889,891,273,115,10650,4,213,1813,1794,1572,1197,464,121,54,7226,3,93,1277,1670,1531,1085,304,84,32,6084,3,31,655,1203,1117,769,188,54,25,4050,0,15,695,1619,1478,1013,274,81,21,5208,9,22,232,768,928,601,267,97,35,2958,888,620,1068,1218,1327,1406,1479,1104,840,9952,9214,8919,17281,19771,19893,19665,16039,8209,3978,122969
CED210,17,608,2408,2011,2040,1666,623,190,106,9661,15,198,1730,1480,1435,1051,276,52,24,6260,10,88,1150,1207,1237,853,200,58,13,4811,3,37,601,869,897,608,127,24,16,3181,5,17,620,1184,1200,776,185,44,17,4049,15,31,187,590,667,438,165,69,27,2179,933,860,1773,1578,1702,1646,1656,1290,872,12314,9253,9727,19286,18372,19774,19062,15404,8824,3961,123675
CED211,18,590,2819,2221,1966,1590,763,293,126,10380,10,186,2113,1828,1648,1112,426,117,53,7495,0,76,1570,1793,1495,1005,304,95,47,6391,3,17,929,1423,1207,707,203,45,27,4574,4,23,1089,2526,1941,1058,241,76,25,6985,3,12,296,1127,1054,531,184,67,15,3285,503,422,1049,1076,998,830,915,970,939,7697,8412,8448,20153,21451,19401,15861,13342,8576,4369,120018
CED212,21,534,2484,2080,2306,1912,766,274,114,10484,4,198,1792,1641,1726,1230,423,104,59,7171,10,65,1130,1505,1479,1024,286,88,19,5612,0,31,605,1074,1108,744,173,46,21,3805,6,35,655,1464,1430,898,230,74,22,4808,4,14,181,719,949,514,244,83,31,2747,796,693,1353,1388,1522,1438,1478,1183,788,10646,8675,8419,17284,19126,20458,18222,15381,8734,3702,119996
CED213,41,531,1950,1955,2386,2009,926,323,131,10250,9,219,1319,1502,1594,1288,530,152,41,6658,3,77,871,1242,1443,1045,335,104,36,5166,0,36,505,922,1015,744,253,74,28,3574,0,20,443,1093,1213,927,319,117,30,4168,8,16,150,566,726,616,383,168,51,2685,932,585,1061,1348,1675,1814,2119,1639,1048,12231,8643,7498,14605,17685,20969,21612,20310,10923,4541,126797
CED214,18,675,3893,2560,2097,1477,406,135,53,11329,3,213,2816,2234,1665,960,211,45,17,8171,3,78,2078,2224,1556,913,160,30,19,7061,7,41,1285,1660,1213,669,116,11,8,5000,4,26,1759,3044,2017,931,147,30,10,7971,4,20,519,1778,1288,480,121,31,17,4258,718,961,2388,1930,1676,1372,1207,1109,765,12127,7953,11400,30389,26545,21606,16824,11333,7489,3558,137098
