CED_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED494,0,8,43,26,20,19,8,0,0,122,0,3,14,14,12,6,0,0,0,51,0,0,6,15,12,5,3,0,0,37,0,0,9,0,5,10,3,0,0,21,0,0,7,11,11,5,0,0,0,40,3,0,3,3,4,0,0,0,0,19,11,33,71,61,100,64,34,10,7,400,173,266,556,421,474,403,271,59,22,2648
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
CED501,62,1029,3013,2306,2333,1375,438,104,28,10690,28,556,2204,1916,1723,1022,213,38,16,7711,10,265,1939,1737,1604,893,137,27,8,6613,3,155,1292,1390,1356,713,102,7,4,5030,3,170,1886,2450,2326,1124,136,25,7,8115,7,53,613,1040,1102,493,83,26,18,3433,996,1293,2702,2088,1904,1363,1198,886,428,12862,10509,11385,25801,23156,21851,15721,11015,5955,2037,127434
CED502,42,909,3695,2776,2551,1816,488,103,28,12412,9,446,2524,2187,1848,1197,232,38,14,8480,3,188,1968,1934,1652,1005,202,18,3,6977,0,76,1176,1385,1141,707,123,11,3,4628,0,71,1495,2134,1830,957,153,10,7,6666,4,38,441,846,755,385,73,25,6,2581,808,935,2131,1828,1488,1153,940,692,453,10427,10904,11633,28094,24861,21317,16860,11129,5331,1842,131971
CED503,44,660,1807,1625,1822,1521,715,246,89,8534,20,363,1358,1262,1458,1031,373,63,19,5948,8,215,1148,1177,1408,973,235,64,8,5235,3,96,840,1061,1257,818,177,23,8,4287,0,145,1388,1875,2264,1316,256,43,22,7300,4,45,506,928,1241,703,194,75,19,3706,794,609,1448,1492,1629,1553,1566,1278,708,11088,8882,8051,16981,17601,19755,18346,16328,8972,2976,117896
CED504,37,751,2755,2397,2427,1699,513,103,41,10721,8,351,2054,1824,1749,1121,272,33,13,7418,7,147,1641,1668,1524,931,161,16,7,6102,3,64,1050,1229,1132,627,115,16,8,4247,4,55,1346,2025,1691,847,123,18,6,6110,3,28,386,744,670,310,78,18,12,2243,770,668,1302,1195,1300,986,777,586,354,7944,10291,9722,21368,21411,20253,15747,10569,4999,1850,116205
CED505,23,683,2422,1284,1229,1219,970,434,179,8437,3,411,2163,1147,1142,1004,574,272,110,6829,9,184,1964,1310,1324,1116,557,223,65,6760,3,80,1502,1088,1153,889,422,142,67,5349,3,101,2311,2630,2552,1897,737,309,90,10628,16,54,1090,3828,4628,2850,1031,332,129,13961,564,686,1984,1353,1331,1210,1094,939,750,9921,9050,9936,21453,18743,19069,16151,12270,7523,3824,118026
CED506,124,895,2480,2137,2221,1743,580,140,40,10358,36,560,2043,1737,1785,1206,339,75,17,7803,38,424,1955,1652,1791,1281,275,44,14,7474,14,305,1725,1629,1508,1072,203,37,14,6494,25,477,4043,3851,3381,1995,320,56,5,14161,14,205,2452,2837,2374,1300,290,59,18,9540,1655,1646,5181,4318,4021,2945,1547,868,438,22620,9290,10185,30981,27767,26557,21203,11573,4975,1639,144177
CED507,46,543,1934,2026,2075,1623,686,216,66,9217,18,283,1203,1489,1544,1127,355,89,30,6126,5,155,1043,1386,1439,1086,263,87,26,5489,7,89,748,1099,1209,828,147,42,17,4180,4,81,1105,1903,1973,1157,223,39,14,6493,9,35,416,877,987,634,217,54,15,3252,1059,599,1510,1682,1826,1686,1569,1087,645,11660,9156,6747,17195,19887,20602,19154,14687,7150,2742,117326
CED508,37,735,2758,2284,2114,1605,551,130,48,10254,12,406,2392,1922,1662,1125,330,60,18,7919,3,159,1999,1815,1625,1141,240,40,14,7040,0,93,1403,1562,1372,861,178,32,5,5513,0,110,2053,2820,2380,1367,282,39,13,9059,7,41,688,1665,1577,835,283,64,12,5170,687,701,2002,1659,1609,1294,1064,948,691,10661,8458,9126,23426,22638,20718,16661,11152,6250,2544,120976
