CED_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED111,..,1551,715,154,176,212,127,49,15,3002,..,217,597,539,813,1534,1629,1646,1082,8057,208,392,330,142,147,186,159,120,57,1738,12733,9748,9283,9541,9620,8822,6484,4314,1892,72437,..,345,6651,11513,11406,10305,7980,4314,1004,53520,..,1281,3441,2111,1660,1036,351,112,15,10015,..,164,707,1532,1964,1085,464,449,307,6674,25616,..,..,..,..,..,..,..,..,25616,..,7589,..,..,..,..,..,..,..,7589,..,4773,2695,930,749,387,71,3,0,9604,..,817,458,170,217,367,333,300,209,2882,..,688,497,137,114,92,23,14,3,1572,..,3477,2122,410,411,432,259,101,30,7238,..,474,1469,1496,2061,2926,2670,2325,1436,14862,427,766,710,370,355,364,272,187,87,3542,26047,20374,18753,18677,18936,16996,12427,7809,3095,143115
CED112,..,256,236,145,288,294,198,93,33,1544,..,120,327,354,720,1485,2010,1806,1088,7909,251,382,254,119,168,186,198,115,47,1713,13917,8748,8354,9235,9746,9305,7627,4628,1954,73511,..,371,6121,9970,10582,10357,8590,4381,1012,51397,..,1253,3306,2374,2046,1193,550,173,23,10921,..,352,1246,2085,2206,1237,543,401,288,8354,28182,..,..,..,..,..,..,..,..,28182,..,6911,..,..,..,..,..,..,..,6911,..,5985,2633,883,672,400,86,0,0,10658,..,681,390,198,350,534,543,429,258,3374,..,563,436,246,236,173,87,29,11,1785,..,530,596,405,596,627,408,186,59,3401,..,256,809,1100,1766,2659,3180,2553,1519,13842,502,713,581,343,390,370,323,177,75,3466,28685,17618,16119,17605,18843,17551,14296,8338,3237,142294
CED113,..,237,264,102,177,240,121,54,7,1203,..,232,534,509,975,1654,1695,1343,753,7701,191,320,202,127,194,333,268,130,44,1817,12014,6942,7176,8357,10119,9801,7074,3465,1336,66276,..,291,5457,9646,11690,11670,9088,3751,685,52286,..,1313,3127,2453,2504,1851,787,163,16,12217,..,201,768,1230,1564,778,354,273,205,5369,24537,..,..,..,..,..,..,..,..,24537,..,5743,..,..,..,..,..,..,..,5743,..,4081,1680,592,470,259,40,3,0,7117,..,489,254,107,230,291,283,207,163,2034,..,327,280,100,107,91,43,11,8,961,..,541,660,248,397,499,266,121,16,2746,..,505,1316,1416,2368,3427,3064,2056,1050,15196,406,632,520,339,394,585,502,229,72,3682,24943,14118,14060,16138,19714,19452,14429,6820,2214,131884
CED114,..,648,407,101,197,217,127,58,21,1771,..,326,655,512,916,1709,1882,1998,1041,9036,256,400,299,125,190,293,265,186,71,2081,14197,8115,8446,8629,9793,9860,7713,4700,1704,73154,..,388,6479,9968,11462,12368,9892,4712,961,56227,..,1720,3374,2090,1900,1359,572,152,20,11200,..,358,1063,1614,1656,766,363,329,228,6380,28412,..,..,..,..,..,..,..,..,28412,..,5620,..,..,..,..,..,..,..,5620,..,4671,1664,658,532,285,42,0,0,7854,..,672,280,121,203,339,308,239,123,2277,..,403,260,102,108,83,29,12,10,1006,..,1309,1017,324,418,450,310,118,36,3979,..,737,1622,1489,2397,3553,3390,2968,1449,17608,536,801,658,385,452,513,487,317,105,4254,28946,16683,16420,16750,19128,19712,15403,8843,2933,144823
CED115,..,176,228,144,172,185,115,47,10,1067,..,128,322,284,438,909,903,828,342,4158,252,263,339,196,149,179,148,89,52,1662,14369,11128,11339,10295,10554,9885,5778,3182,1207,77734,..,1094,8585,11367,12740,12042,7420,3122,641,57012,..,462,1289,1055,891,533,160,22,6,4416,..,215,1251,2226,2446,1802,832,585,345,9697,29167,..,..,..,..,..,..,..,..,29167,..,11216,..,..,..,..,..,..,..,11216,..,6480,6775,2089,1114,486,65,3,0,17012,..,1379,1182,690,883,1164,836,656,455,7238,..,628,789,504,520,373,127,33,12,2983,..,431,718,456,501,470,244,88,25,2930,..,256,886,884,1270,1792,1579,1211,486,8363,506,491,687,462,388,362,250,140,64,3345,29677,22652,22160,19726,20747,19020,11504,5859,2033,153388
CED116,..,204,193,94,229,317,224,98,26,1382,..,136,302,316,824,1809,2272,1995,1106,8755,220,325,216,132,251,392,327,196,67,2128,11125,6496,6077,7212,8982,11199,10255,5565,2022,68945,..,309,4301,7490,9459,13109,13250,6278,1214,55411,..,1176,2565,1989,2038,1683,928,247,53,10675,..,253,909,1581,1796,868,463,383,288,6552,22420,..,..,..,..,..,..,..,..,22420,..,5147,..,..,..,..,..,..,..,5147,..,4175,1766,795,589,368,78,0,0,7772,..,523,196,114,207,397,405,278,230,2357,..,422,260,142,125,127,72,27,16,1186,..,420,490,243,454,612,448,201,50,2922,..,312,800,985,1958,3595,3925,3039,1557,16169,486,662,538,397,512,738,644,327,103,4401,22903,13400,11823,13739,17132,21505,20211,10778,3513,135011
CED117,..,1765,2867,705,362,293,165,48,8,6222,..,320,1280,1583,1457,1689,1534,882,434,9178,135,255,382,203,147,152,123,89,40,1526,10620,7164,14039,12477,9681,7162,4756,2475,956,69333,..,303,7356,12465,9203,6255,4386,2146,510,42620,..,946,6416,4533,3017,1642,573,101,20,17242,..,57,277,946,1544,979,492,396,228,4933,21592,..,..,..,..,..,..,..,..,21592,..,4767,..,..,..,..,..,..,..,4767,..,2013,1970,781,681,269,42,0,0,5751,..,803,899,288,278,353,347,274,175,3422,..,812,1245,276,150,122,51,11,3,2669,..,3308,5811,1457,810,670,373,119,21,12568,..,545,2349,2944,2795,2871,2374,1294,609,15789,256,457,742,435,326,255,212,132,59,2876,21840,14016,27063,24129,18798,13414,8852,4472,1634,134223
CED118,..,241,294,140,146,167,94,30,3,1128,..,72,285,317,476,846,979,722,325,4026,145,199,212,107,86,106,112,68,25,1055,18124,9677,13155,13576,10120,7950,5054,2341,792,80799,..,530,13850,20840,14016,10478,6390,2223,396,68724,..,664,2334,1683,1272,593,184,23,6,6752,..,176,726,1551,1812,1086,528,366,180,6433,37033,..,..,..,..,..,..,..,..,37033,..,10158,..,..,..,..,..,..,..,10158,..,5771,4337,1163,557,268,53,0,0,12148,..,1083,1051,339,376,759,671,509,214,4996,..,579,774,282,202,118,48,26,3,2034,..,675,994,458,430,402,208,65,20,3249,..,186,784,889,1193,1608,1498,1020,450,7625,296,403,467,297,209,196,181,114,34,2203,37331,20230,25312,27498,20063,15504,9762,4343,1306,161354
CED119,..,91,184,77,92,118,79,23,11,672,..,76,250,297,449,802,1133,907,541,4457,170,166,208,115,74,103,115,74,29,1056,14248,8379,8494,10364,9977,8406,5895,2693,1070,69516,..,269,7566,14539,13829,12091,8224,3028,614,60170,..,542,2493,1834,1491,807,278,68,6,7522,..,97,431,1063,1694,936,431,237,163,5052,28812,..,..,..,..,..,..,..,..,28812,..,8906,..,..,..,..,..,..,..,8906,..,5956,3732,915,514,196,29,3,0,11342,..,586,406,149,196,368,387,301,205,2599,..,265,325,127,123,87,33,11,6,986,..,181,445,228,231,248,170,51,18,1564,..,164,571,818,1070,1426,1650,1243,725,7662,315,335,440,255,179,181,181,108,44,2043,29129,17292,16415,19925,19328,16344,11392,5052,1785,136656
CED120,..,136,151,93,143,145,128,46,10,855,..,94,267,286,580,1135,1362,1095,607,5436,191,324,239,97,135,195,165,69,28,1446,14526,8473,8691,9508,9991,8711,6462,3052,1124,70546,..,404,7814,12350,12680,11541,8483,3273,539,57082,..,1205,3104,2113,1968,1133,468,117,21,10134,..,234,818,1511,1687,808,380,272,206,5924,29659,..,..,..,..,..,..,..,..,29659,..,6971,..,..,..,..,..,..,..,6971,..,6398,2713,734,499,230,61,3,0,10632,..,531,306,170,256,430,520,337,184,2733,..,405,348,144,161,116,64,17,6,1257,..,304,386,205,312,315,263,106,22,1912,..,243,756,865,1423,2147,2290,1636,804,10176,424,664,489,302,333,321,307,120,39,3001,30087,17361,16729,18396,19325,17038,12836,5884,1821,139484
CED121,..,268,214,111,215,242,145,71,13,1280,..,158,377,348,690,1349,1719,1513,800,6962,337,404,289,147,162,248,193,104,50,1936,14283,8601,8906,9117,9597,9275,7329,3954,1462,72523,..,433,6975,10116,10968,11469,9286,4061,783,54088,..,1684,3729,2391,2072,1258,557,142,26,11862,..,450,1335,1926,1874,965,455,387,226,7607,28552,..,..,..,..,..,..,..,..,28552,..,6286,..,..,..,..,..,..,..,6286,..,5696,2205,896,664,301,54,0,0,9810,..,694,300,148,302,428,455,290,185,2805,..,488,341,190,200,104,43,22,4,1394,..,587,585,321,467,512,319,142,23,2944,..,374,1108,1211,1842,2738,2813,2146,1112,13345,629,797,683,376,410,421,364,172,81,3917,29182,17478,17250,17573,18792,18200,14341,7363,2442,142629
CED122,..,3545,2908,590,282,237,180,53,25,7830,..,486,971,1065,1057,1428,1700,1429,852,8983,157,317,384,172,120,135,121,84,66,1566,12273,11900,15082,12159,10049,7798,5978,3722,1706,80669,..,316,8152,13685,11237,8356,6190,3400,807,52148,..,1256,6434,3192,1899,962,364,85,10,14198,..,88,437,1167,1874,1180,582,466,335,6131,24805,..,..,..,..,..,..,..,..,24805,..,7001,..,..,..,..,..,..,..,7001,..,3398,3216,1093,758,387,51,3,0,8903,..,1421,1107,356,327,481,543,438,294,4961,..,1614,1463,285,155,114,50,25,11,3709,..,7264,6257,1297,637,535,372,119,36,16519,..,977,2045,2165,2248,2644,2706,2064,1130,15981,334,597,759,377,261,237,207,129,85,2988,25144,23928,29864,23616,19401,14899,11065,6731,2719,157353
CED123,..,275,371,136,203,207,111,47,20,1370,..,176,513,511,729,1183,1305,957,447,5827,262,344,288,162,136,151,113,79,31,1572,16540,10426,12414,11175,9826,8823,5898,2695,956,78747,..,620,10121,13238,11377,10641,7316,2509,376,56200,..,1714,4418,2495,1787,893,293,65,3,11667,..,415,1544,2154,2161,1279,629,353,207,8740,33270,..,..,..,..,..,..,..,..,33270,..,7877,..,..,..,..,..,..,..,7877,..,7239,3805,1198,655,267,50,3,0,13224,..,1021,688,311,423,683,623,388,224,4362,..,619,543,277,202,160,69,21,9,1903,..,615,875,399,479,480,249,103,27,3226,..,358,1327,1437,1804,2213,2102,1331,606,11168,575,642,676,412,312,300,211,123,46,3290,33849,21116,23996,21927,19201,16912,11548,4898,1496,154935
CED124,..,194,169,98,265,337,245,101,25,1434,..,118,225,289,800,1647,2196,2037,1128,8434,200,301,168,117,196,334,293,142,75,1831,11034,6267,5449,6945,9265,10824,10284,5644,1988,67703,..,244,3780,7260,9928,12775,13515,6345,1252,55093,..,940,2046,1841,2090,1672,1007,261,34,9894,..,307,967,1557,1681,863,472,412,263,6519,22274,..,..,..,..,..,..,..,..,22274,..,5261,..,..,..,..,..,..,..,5261,..,3958,1657,828,692,379,71,6,0,7584,..,524,186,94,242,425,413,328,217,2434,..,364,275,124,157,133,68,32,10,1164,..,346,366,238,558,682,498,226,50,2957,..,249,575,844,1885,3346,3924,3105,1582,15512,417,633,450,343,453,588,581,252,98,3816,22696,12821,10294,13128,17689,20865,20549,10959,3502,132508
CED125,..,188,210,90,145,176,112,28,4,953,..,128,345,339,531,1025,1213,736,294,4607,258,330,294,129,103,146,134,84,22,1496,16686,10565,12185,10738,9773,9043,5644,2323,724,77674,..,618,10441,13001,12006,11442,7054,2291,349,57192,..,1310,3297,2143,1571,958,296,66,8,9659,..,389,1508,2246,2106,1408,614,307,144,8719,33788,..,..,..,..,..,..,..,..,33788,..,8634,..,..,..,..,..,..,..,8634,..,7428,4655,1315,545,219,36,0,0,14202,..,1070,726,388,464,742,600,426,215,4631,..,565,516,249,181,131,63,18,5,1730,..,414,584,290,366,381,243,60,9,2350,..,273,937,1055,1351,1790,1861,1024,404,8697,522,648,670,388,269,273,212,114,34,3129,34311,21344,23344,21086,18860,17340,10985,4306,1169,152738
CED126,..,194,315,134,154,191,126,53,17,1187,..,104,263,381,568,1097,1565,1582,1151,6703,132,168,187,112,104,138,121,77,55,1084,13286,7375,7127,10213,10741,8525,7022,4087,1965,70341,..,201,5470,13727,14137,10960,9000,4453,1017,58969,..,536,2617,2215,1986,1167,498,104,15,9139,..,32,236,882,1606,1000,436,327,246,4759,27387,..,..,..,..,..,..,..,..,27387,..,8224,..,..,..,..,..,..,..,8224,..,4523,2750,833,565,251,63,3,0,8989,..,502,412,142,195,314,425,309,258,2561,..,525,574,245,228,196,73,27,15,1883,..,414,788,343,364,394,257,116,34,2713,..,253,608,880,1301,1897,2317,2092,1494,10836,262,326,390,236,261,241,219,122,70,2124,27656,15539,13834,19504,20642,16411,13285,7549,3150,137577
CED127,..,182,213,135,191,276,192,72,19,1281,..,65,272,382,750,1525,1864,1306,594,6756,182,297,217,109,145,187,166,81,52,1439,12538,7783,7170,8736,10019,9446,7017,3241,1146,67089,..,363,5765,10285,11839,11342,8191,3125,555,51465,..,912,2682,2322,2158,1379,622,119,13,10208,..,181,647,1366,1814,1030,476,298,192,6006,25406,..,..,..,..,..,..,..,..,25406,..,6993,..,..,..,..,..,..,..,6993,..,5503,2634,840,481,243,57,8,0,9759,..,513,264,146,193,351,429,300,195,2396,..,423,343,134,169,114,62,21,4,1264,..,385,523,340,472,561,411,135,31,2859,..,208,667,1006,1696,2736,2877,1798,786,11773,374,578,462,260,321,343,269,126,62,2796,25785,16063,13980,16702,19137,18100,13388,5925,1842,130929
CED128,..,125,192,119,131,150,75,35,14,843,..,91,315,335,467,849,1008,923,448,4435,204,234,261,128,139,138,144,95,59,1389,16128,10655,12032,10735,10277,8978,5951,3183,1175,79102,..,884,10519,13684,13044,11720,7655,3171,606,61290,..,554,1681,1330,1004,669,223,49,5,5522,..,217,1071,1771,2105,1411,757,553,272,8161,32613,..,..,..,..,..,..,..,..,32613,..,10129,..,..,..,..,..,..,..,10129,..,7396,6387,1869,970,400,78,5,0,17107,..,1214,1063,514,613,854,745,559,304,5867,..,497,700,346,282,193,97,23,8,2153,..,459,901,496,402,356,172,69,23,2884,..,206,794,973,1290,1669,1656,1286,611,8484,412,471,585,399,324,278,225,148,75,2921,33030,22020,23699,21379,20036,17563,11614,5875,1912,157129
CED129,..,308,261,107,86,101,73,27,6,962,..,68,190,256,324,653,1129,797,480,3900,93,152,161,79,73,94,99,74,20,835,15989,9105,8497,12298,10630,8525,6413,2779,1019,75271,..,188,7961,18637,16348,12621,9136,3355,574,68814,..,347,1383,1292,1074,616,245,56,10,5022,..,49,270,1023,1462,906,407,245,164,4521,32523,..,..,..,..,..,..,..,..,32523,..,10842,..,..,..,..,..,..,..,10842,..,5325,4290,1021,475,185,44,0,0,11342,..,671,489,187,213,524,542,454,250,3322,..,366,395,149,123,71,39,11,4,1158,..,587,629,228,196,191,156,50,12,2039,..,156,453,619,706,1035,1516,1085,650,6226,184,288,320,194,143,160,154,98,27,1580,32702,18814,16199,23353,20744,16311,12231,5349,1690,147388
CED130,..,614,340,143,199,254,156,60,9,1767,..,289,561,480,911,1682,2004,1899,1011,8829,318,473,266,151,185,298,292,151,66,2205,13485,7723,7831,8143,9249,9492,7639,4511,1637,69712,..,357,5597,8767,10293,11148,9327,4489,778,50746,..,1809,3176,2035,1869,1282,559,133,17,10874,..,441,1280,1690,1632,835,419,377,243,6919,26773,..,..,..,..,..,..,..,..,26773,..,5062,..,..,..,..,..,..,..,5062,..,3951,1476,678,599,323,56,3,0,7086,..,674,284,154,267,421,349,240,150,2544,..,484,380,152,148,91,44,12,7,1309,..,1279,895,341,422,518,349,125,23,3952,..,610,1356,1310,2151,3371,3531,2727,1313,16365,628,886,648,376,399,565,511,255,84,4366,27405,15548,15093,15498,17780,18547,15143,8363,2613,135999
CED131,..,2083,1273,271,239,268,130,57,15,4340,..,334,889,757,1077,1746,1790,1499,1079,9160,191,488,376,154,157,192,142,94,41,1835,12131,9832,10805,9636,9352,8507,5967,3577,1736,71548,..,349,6833,10366,9770,9208,6654,3159,794,47122,..,1655,4876,2512,1833,1166,426,99,6,12576,..,207,789,1720,1999,1102,456,414,297,6980,24727,..,..,..,..,..,..,..,..,24727,..,6252,..,..,..,..,..,..,..,6252,..,4059,2036,701,668,351,57,3,0,7884,..,919,558,183,227,354,341,242,135,2959,..,716,579,178,139,97,47,12,8,1768,..,4209,3212,697,613,604,302,121,30,9790,..,683,2045,1905,2495,3319,2952,2150,1431,16984,427,939,860,440,356,355,231,145,60,3809,25153,19990,21786,18703,18102,16554,11460,6342,2769,140846
CED132,..,780,1826,520,198,180,115,56,18,3699,..,284,1414,1573,1267,1637,1898,1443,912,10418,107,158,305,140,109,140,128,82,34,1208,12697,7338,14000,13070,10326,8254,6215,3234,1505,76633,..,245,9690,15814,12571,9353,7080,3053,771,58566,..,893,5987,2853,1720,1073,570,113,22,13230,..,21,175,960,1546,1028,369,263,210,4589,25629,..,..,..,..,..,..,..,..,25629,..,7437,..,..,..,..,..,..,..,7437,..,2223,2202,641,398,195,40,0,0,5705,..,867,801,249,183,353,307,221,144,3121,..,501,795,251,110,72,29,20,7,1782,..,1434,3633,1081,466,376,261,113,41,7408,..,559,2775,2985,2404,2695,2780,1899,1201,17301,237,295,587,295,237,236,188,103,51,2226,25867,14479,26641,25132,19643,15382,11636,5785,2438,147001
CED133,..,351,296,183,344,426,216,83,35,1936,..,157,304,424,1013,2083,2115,1868,1085,9055,302,406,250,151,240,356,285,129,61,2183,12750,7610,6760,8407,10345,11624,8827,4941,1944,73208,..,352,4578,7994,10248,12746,10885,5125,1094,53021,..,1228,2666,2546,2534,2101,970,217,38,12308,..,334,1222,2013,2093,1022,494,449,288,7914,25892,..,..,..,..,..,..,..,..,25892,..,5955,..,..,..,..,..,..,..,5955,..,4462,1823,884,752,395,73,3,0,8393,..,691,264,173,312,547,484,345,231,3054,..,571,354,205,232,198,85,27,11,1685,..,746,766,453,719,912,508,179,58,4335,..,350,758,1175,2398,4270,3790,2809,1455,17000,581,772,577,388,531,682,523,216,87,4354,26472,15457,13008,15841,19817,22880,17806,9368,3260,143915
CED134,..,330,291,110,208,215,147,64,17,1385,..,291,647,482,908,1468,1729,1680,831,8037,349,418,297,125,230,299,248,169,61,2190,14100,7429,8730,7927,9013,8812,6670,4089,1418,68197,..,419,5945,8344,9559,10459,7992,3830,725,47280,..,1869,3675,2187,2033,1269,525,131,23,11708,..,566,1565,1764,1635,894,472,434,215,7540,28014,..,..,..,..,..,..,..,..,28014,..,4310,..,..,..,..,..,..,..,4310,..,4250,1644,714,655,356,49,0,0,7663,..,950,389,189,347,508,408,266,126,3177,..,472,324,180,162,95,60,26,5,1319,..,693,686,271,438,457,300,131,37,3018,..,677,1612,1305,2420,3332,3340,2598,1145,16440,700,878,736,387,490,541,487,253,96,4567,28717,15083,16568,15342,17737,17915,13630,7668,2368,135027
CED135,..,512,1047,269,227,198,114,53,17,2438,..,198,784,820,869,1176,1178,956,557,6545,141,189,295,151,130,146,122,80,34,1292,16559,9568,18978,12733,9780,8233,5172,2994,1136,85155,..,1004,20531,18846,11924,9672,6013,2930,577,71496,..,636,2473,1322,949,532,212,60,7,6190,..,126,778,1436,1906,1261,542,445,250,6746,33730,..,..,..,..,..,..,..,..,33730,..,8848,..,..,..,..,..,..,..,8848,..,4497,4337,1271,737,279,66,3,0,11194,..,1623,1673,515,484,951,671,436,222,6569,..,1118,1863,471,300,179,54,28,4,4020,..,1794,3796,1095,631,452,259,113,29,8167,..,401,1880,1883,2011,2325,1955,1388,772,12609,310,394,688,383,297,264,202,122,43,2706,34042,20439,38023,27224,19239,15912,9976,5525,1897,172281
CED136,..,269,279,115,226,198,173,54,14,1327,..,176,416,371,731,1533,1821,1571,796,7418,286,423,247,138,173,227,185,122,45,1848,14284,8632,9113,9067,9533,9304,7843,4066,1422,73265,..,427,6940,9986,10633,11202,9924,4252,726,54091,..,1737,3895,2514,1917,1171,556,135,30,11965,..,407,1382,1989,2026,908,487,378,238,7824,28948,..,..,..,..,..,..,..,..,28948,..,6357,..,..,..,..,..,..,..,6357,..,5469,2189,917,628,319,63,0,0,9586,..,738,326,167,320,421,454,284,155,2867,..,488,312,181,172,94,52,23,5,1326,..,571,657,330,476,442,365,130,26,2992,..,379,1142,1207,1836,2851,2993,2209,1090,13713,600,803,602,388,383,406,330,194,61,3769,29546,17376,17458,17679,18402,17815,15222,7602,2315,143422
CED137,..,2044,2370,437,267,255,124,54,18,5569,..,312,1036,912,874,1120,1201,1136,756,7349,121,203,357,165,125,157,125,92,49,1401,12704,11443,17973,12145,10704,8802,5710,3458,1574,84506,..,669,14511,15618,13006,10715,7059,3488,843,65914,..,1144,4554,1956,1296,850,328,70,9,10218,..,45,355,1211,1887,1184,490,424,298,5896,25623,..,..,..,..,..,..,..,..,25623,..,8762,..,..,..,..,..,..,..,8762,..,3528,4006,1083,760,321,60,0,0,9763,..,1490,1416,401,353,679,498,470,348,5649,..,1855,2536,430,233,140,43,19,4,5267,..,4298,5879,1124,612,545,256,114,32,12856,..,670,2319,1853,1680,1938,1858,1567,989,12873,245,402,731,361,278,265,204,160,67,2708,25867,22866,36307,24035,20106,16638,10799,6307,2595,165527
CED138,..,411,592,283,412,572,273,131,37,2724,..,134,303,459,1032,2116,2347,2060,1267,9713,204,281,248,173,205,347,219,126,77,1875,11577,6478,6739,8764,10103,11117,8720,5249,2256,70998,..,187,4095,8410,9576,11147,10085,5191,1278,49974,..,836,2845,2769,2512,2005,1004,245,31,12261,..,171,780,1840,2148,1197,513,392,328,7362,23301,..,..,..,..,..,..,..,..,23301,..,5679,..,..,..,..,..,..,..,5679,..,3879,1820,775,610,415,83,4,0,7591,..,515,286,119,232,507,414,333,239,2644,..,517,494,272,283,208,106,22,12,1925,..,748,1265,695,882,1132,647,259,82,5709,..,249,671,1062,2170,3830,3920,3000,1778,16682,429,541,549,389,437,602,397,210,96,3653,23730,13322,12803,16332,18866,21045,17169,9662,3845,136782
CED139,..,711,371,111,151,179,142,49,11,1732,..,327,622,443,867,1576,1846,1872,1052,8604,267,406,262,125,147,244,221,167,68,1903,14054,8297,8179,8134,9196,9068,7246,4568,1736,70488,..,421,6149,9474,10736,11339,9107,4521,902,52648,..,1951,3342,1752,1679,1108,508,135,16,10486,..,421,1152,1620,1656,767,413,359,267,6660,28276,..,..,..,..,..,..,..,..,28276,..,5506,..,..,..,..,..,..,..,5506,..,4512,1530,700,569,316,46,3,0,7683,..,699,285,123,242,349,357,239,148,2441,..,466,250,107,110,72,32,16,11,1065,..,1274,961,320,332,395,290,108,20,3709,..,682,1437,1349,2131,3203,3268,2733,1393,16192,524,786,594,364,342,449,398,252,106,3811,28800,16723,15697,15795,17808,18001,14426,8364,2859,138475
CED140,..,285,336,126,248,298,195,83,27,1585,..,128,302,390,797,1611,2241,2020,1259,8753,185,291,230,128,137,223,205,128,74,1603,11701,7322,7179,8453,9609,9404,7982,4828,2186,68661,..,225,5120,9751,10563,10530,9049,4577,1163,50983,..,891,2891,2236,1954,1285,626,150,48,10070,..,162,745,1536,2027,1148,504,382,301,6808,23673,..,..,..,..,..,..,..,..,23673,..,6552,..,..,..,..,..,..,..,6552,..,4793,2493,753,618,346,72,3,0,9083,..,499,312,137,220,449,463,327,218,2622,..,423,365,165,185,129,72,35,19,1393,..,593,843,343,556,606,413,175,59,3596,..,246,817,1100,1848,2896,3583,2780,1726,14989,383,568,500,341,335,396,345,198,100,3175,24056,14953,14078,16359,18316,17795,15122,8628,3632,132937
