CED_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
CED111,185,254,345,471,1176,1655,1051,2336,81,7550,740,1635,1883,1947,3285,3801,1761,2569,136,17766,268,463,586,716,2159,2586,1183,1486,146,9597,368,1964,1456,1349,1258,797,543,481,120,8347,306,1113,1370,1322,2473,1455,544,512,73,9171,214,1825,1017,707,775,575,293,371,85,5867,124,270,225,264,924,623,504,637,59,3626,228,1368,847,733,804,732,262,410,102,5477,40,73,83,79,162,132,50,94,335,1035,2476,8972,7809,7594,13023,12363,6184,8895,1128,68439
CED112,196,231,297,448,1134,1618,901,2035,77,6945,500,835,1237,1272,2013,2320,956,1539,94,10772,252,492,617,900,2283,2870,1176,1663,161,10402,378,1279,1337,1614,1592,879,518,483,133,8206,331,958,1242,1328,2273,1457,551,525,107,8767,295,1994,1129,1022,1080,716,351,479,110,7169,153,294,303,382,1052,786,475,871,85,4392,256,1525,924,914,1288,1101,475,583,145,7207,49,70,59,68,191,177,52,110,310,1087,2404,7679,7145,7946,12893,11924,5456,8291,1213,64950
CED113,421,488,489,795,1460,2168,1446,3893,160,11320,642,858,1059,1473,2379,2505,1317,1780,124,12129,283,556,530,746,1966,2354,1233,1777,172,9615,351,1360,1045,1359,1312,810,501,716,138,7589,435,941,1015,1369,2861,1726,795,763,103,10014,221,1476,810,877,967,568,359,477,79,5836,187,200,213,249,707,707,500,1111,95,3973,263,1429,887,939,1213,1020,456,648,170,7025,78,86,69,80,236,219,89,151,353,1366,2887,7398,6115,7882,13101,12078,6691,11323,1398,68868
CED114,420,487,497,705,1291,2069,1361,5123,199,12152,480,744,1163,1379,1894,2046,1138,1662,103,10610,268,481,473,669,2236,2536,1272,1668,197,9784,337,1322,1223,1512,1320,683,369,479,139,7395,365,1021,1142,1426,2028,1214,525,473,75,8269,263,1827,920,935,945,634,403,515,111,6545,246,324,305,384,1037,1076,677,1200,136,5391,393,1725,1047,1288,1890,1926,696,921,279,10155,71,95,54,61,157,159,71,146,386,1207,2847,8025,6829,8354,12808,12333,6513,12188,1617,71500
CED115,97,187,202,267,988,1232,542,1167,85,4771,223,612,622,752,2370,2457,760,975,130,8908,159,593,643,685,2166,2311,899,1059,243,8757,172,1227,1091,1001,1052,692,310,478,169,6187,238,722,856,888,2727,1689,529,494,120,8261,123,1465,941,710,959,701,263,339,122,5626,146,491,425,540,2359,1398,618,853,186,7018,215,1320,1084,910,2528,1396,444,526,288,8706,50,127,115,93,310,221,55,112,651,1732,1424,6734,5983,5847,15452,12106,4418,5995,1996,59969
CED116,201,386,375,549,958,1280,805,2148,84,6787,528,1023,1343,1389,1679,1812,887,1443,100,10206,287,588,597,863,1994,2315,1197,1309,185,9335,375,1465,1279,1482,1199,671,481,479,126,7565,291,1009,1045,1110,1605,795,355,343,52,6598,247,1722,916,864,857,522,272,387,112,5892,101,274,229,267,605,497,370,600,57,3010,241,1652,872,786,830,634,328,395,129,5865,59,95,53,74,107,116,31,91,314,944,2335,8213,6709,7380,9840,8638,4723,7207,1161,56202
CED117,376,288,560,792,1821,3435,2186,4473,95,14022,1041,2001,2377,2774,5155,7659,3975,6348,236,31562,124,347,650,547,1232,1729,832,1239,103,6808,225,1351,1282,1131,1040,801,449,449,115,6848,303,811,1072,1078,2707,2326,1024,1047,82,10454,165,1006,879,740,918,921,485,630,78,5819,57,134,192,158,444,376,189,280,43,1872,83,694,814,439,626,490,248,267,78,3742,30,76,88,76,195,245,70,166,369,1320,2406,6714,7907,7723,14142,17989,9453,14903,1200,82447
CED118,212,200,299,455,1907,2624,1245,2491,85,9532,596,998,1417,1360,4703,5755,1713,2167,195,18904,210,425,579,679,2532,2745,1193,1573,188,10134,264,1205,1195,1246,1552,984,473,462,117,7513,406,982,1387,1529,4400,3078,952,872,145,13759,242,1862,1141,901,1270,1028,443,518,122,7525,138,299,394,503,1707,1435,713,1133,137,6470,153,1139,972,802,1505,1053,414,462,149,6654,49,95,76,76,314,276,73,133,470,1551,2268,7198,7464,7559,19899,18987,7214,9820,1619,82035
CED119,271,247,388,541,1462,2438,1583,3412,67,10399,687,1350,1895,1708,3075,4378,1909,2774,116,17877,246,448,461,637,2046,3126,1415,1868,122,10364,334,1547,1276,1204,1224,992,653,605,73,7906,417,1256,1880,1798,3029,2570,964,985,80,12972,219,1761,1059,770,914,1006,402,593,92,6821,88,218,190,254,718,714,390,698,53,3316,139,1105,540,464,631,653,267,345,89,4240,37,69,82,60,197,232,77,135,289,1181,2423,8005,7773,7434,13294,16095,7653,11415,975,75075
CED120,225,364,376,607,1194,1970,1222,3653,135,9738,539,865,1192,1281,2091,2454,1108,1875,96,11498,288,528,537,704,2374,3128,1582,2463,214,11806,397,1230,1242,1419,1652,1002,562,511,126,8134,407,1083,1387,1468,2614,1908,701,793,102,10455,234,1584,985,881,1025,794,370,602,97,6581,205,288,324,395,1189,1104,725,1807,135,6184,203,1428,850,780,1190,1125,509,761,144,6992,82,98,78,66,179,211,65,182,346,1304,2580,7458,6972,7601,13506,13694,6840,12638,1403,72696
CED121,165,238,294,416,885,1277,785,2184,81,6324,410,781,1084,1115,1704,1816,924,1473,93,9399,345,498,564,733,2526,2731,1705,2253,177,11521,319,1294,1279,1480,1183,747,439,506,143,7387,332,942,1172,1217,1918,1266,554,526,77,7998,276,1695,1066,916,904,572,284,376,85,6174,329,362,385,507,1413,1362,1400,1829,144,7729,303,1686,1064,1014,1233,1102,464,573,153,7603,53,69,61,66,160,131,58,145,347,1096,2535,7559,6964,7463,11913,11019,6615,9868,1298,65233
CED122,296,284,507,636,1718,3122,1758,3922,117,12364,862,1998,2000,2121,4479,7160,2944,4764,241,26570,212,423,657,570,1554,2399,1007,1624,146,8598,280,1640,1535,1306,1326,1139,621,593,178,8624,387,1099,1417,1348,3053,2679,975,1010,129,12088,257,1584,1199,868,1114,1108,445,682,108,7363,74,258,314,310,674,696,317,553,81,3287,173,903,989,519,788,792,312,436,107,5012,45,92,90,78,204,264,68,157,460,1463,2586,8282,8707,7759,14905,19363,8445,13749,1564,85361
CED123,226,171,261,367,1359,1926,1083,2571,100,8065,487,719,966,1038,2692,3080,1287,1734,94,12096,248,428,446,648,2584,3273,1638,2152,200,11620,354,1314,1201,1411,1668,1239,617,516,143,8475,468,1067,1459,1685,4214,2828,1021,1023,130,13895,267,1847,1105,924,1262,1024,416,618,101,7568,221,330,388,554,1950,1753,983,2108,188,8468,204,1337,940,838,1482,1366,562,805,148,7691,62,83,68,73,305,259,82,141,457,1531,2544,7286,6828,7545,17522,16743,7694,11680,1567,79401
CED124,201,342,377,490,867,1188,660,2332,97,6552,415,771,1070,1293,1470,1644,717,1171,99,8651,276,518,582,729,1781,1861,883,1326,147,8091,290,1139,1135,1455,956,519,277,353,109,6232,255,849,905,1160,1442,814,322,374,61,6182,231,1518,870,881,849,482,279,357,92,5565,185,267,310,301,659,599,443,929,73,3765,401,1561,969,840,848,774,321,519,161,6392,57,69,45,42,98,79,43,87,329,848,2306,7028,6253,7189,8966,7967,3942,7455,1162,52277
