CED_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
CED507,218,46,101,7,375,114,28,55,11,209,106,51,179,10,343,100,26,250,0,371,644,109,430,16,1194,404,134,733,20,1290,2162,299,704,29,3194,1328,492,615,44,2473,1442,882,626,45,2993,1439,1121,418,35,3025,871,1284,299,24,2483,1047,1336,216,27,2623,1827,2581,295,46,4756,1162,1858,93,17,3120,764,1162,41,4,1967,390,806,51,4,1250,739,1384,41,5,2175,1500,2930,534,18,4985,319,130,102,12,569,16580,16641,5793,362,39379
CED508,205,65,117,22,407,101,33,44,8,191,93,50,168,15,329,55,24,184,3,265,486,91,335,30,935,278,131,498,29,934,1436,254,521,51,2254,791,374,581,50,1791,1056,721,653,75,2503,988,916,465,54,2424,704,1027,366,39,2129,801,1156,337,40,2329,1783,2703,524,83,5096,1449,2213,187,44,3901,965,1633,74,34,2700,691,1351,93,14,2149,1244,2856,92,22,4222,1386,2572,605,33,4595,213,116,107,6,439,14721,18305,5937,633,39595
CED509,198,77,136,14,426,101,36,53,4,199,116,49,179,16,359,62,46,199,7,309,518,127,315,16,987,330,149,510,28,1015,1730,281,514,51,2572,1046,510,586,53,2198,1303,920,679,67,2972,1178,1049,486,70,2786,803,1227,363,44,2434,818,1291,318,38,2461,1808,2677,450,68,5008,1146,1993,225,40,3404,693,1270,79,24,2072,480,1000,87,13,1578,769,1958,67,13,2808,1252,2556,614,29,4450,242,144,118,9,522,14596,17360,5983,617,38556
CED510,164,66,93,19,338,104,20,39,12,175,98,28,89,11,233,49,27,120,3,193,380,65,213,13,671,262,95,320,20,702,1287,147,377,28,1840,1002,254,445,40,1741,1320,513,479,54,2369,1054,749,402,46,2255,775,928,330,32,2068,796,1037,297,26,2155,1772,2798,489,60,5126,1239,2602,226,27,4098,795,1962,82,17,2854,627,1783,100,11,2527,1196,4209,108,19,5540,1213,3023,458,30,4722,216,158,76,7,459,14356,20475,4750,480,40051
CED511,193,44,86,7,336,145,32,46,10,236,132,43,208,10,389,80,28,310,3,424,759,160,387,17,1326,407,192,634,17,1255,2161,362,675,45,3239,1200,572,555,59,2396,1514,979,557,60,3111,1408,1099,354,62,2916,884,1100,251,26,2263,1055,1154,209,28,2446,1939,2329,290,45,4599,1247,1744,108,27,3124,821,1103,46,16,1983,505,752,63,17,1339,906,1483,52,15,2455,1488,2526,493,34,4537,392,239,184,19,836,17252,15928,5511,506,39201
CED512,281,93,178,8,555,122,45,68,5,246,115,66,227,19,428,61,39,306,11,413,598,131,485,14,1226,394,220,837,18,1461,1782,346,718,39,2887,1107,590,762,35,2492,1308,1135,819,39,3309,1315,1590,583,60,3558,919,1680,454,41,3097,1127,1813,344,47,3329,2483,3966,497,73,7018,1585,2714,218,35,4543,893,1726,67,18,2704,572,1299,80,11,1951,791,2101,71,17,2982,1637,3845,687,38,6205,288,193,148,9,639,17373,23581,7538,534,49031
CED513,253,89,118,39,501,101,31,49,11,190,105,54,132,15,299,63,28,148,10,252,483,99,254,47,876,300,135,348,39,826,1361,237,425,56,2074,865,428,424,70,1783,1155,648,485,82,2366,1063,715,419,86,2284,865,753,297,89,2001,867,826,275,64,2032,2075,1961,400,105,4541,1602,1521,192,70,3380,1210,1224,86,35,2553,953,1143,114,22,2234,2118,3056,114,46,5340,1551,1744,448,37,3782,198,93,66,11,378,17188,14789,4796,918,37694
CED514,244,131,112,18,505,95,45,62,13,215,109,70,160,13,356,64,50,199,7,316,559,170,304,46,1071,307,259,516,34,1111,1633,411,512,66,2625,997,577,542,89,2210,1312,926,634,86,2958,1171,1021,489,85,2770,825,1004,367,72,2264,869,985,287,62,2204,1912,2161,456,113,4648,1301,1611,176,70,3154,886,1229,87,37,2239,631,1034,102,14,1782,1201,2775,86,26,4093,1216,2003,559,42,3822,235,147,121,7,513,15571,16622,5763,911,38862
CED515,313,134,161,74,680,119,31,60,32,235,110,77,189,58,427,89,46,207,18,358,471,181,281,56,989,335,220,426,78,1055,1384,321,480,93,2273,965,560,528,117,2174,1307,862,619,150,2937,1203,890,459,161,2711,867,980,341,105,2290,920,1023,283,93,2316,2096,2102,445,174,4823,1537,1483,180,73,3275,1043,1176,90,47,2357,739,1083,94,14,1927,1479,2553,103,39,4178,1489,1875,489,54,3903,196,114,88,14,419,16661,15705,5510,1451,39323
CED516,262,112,160,37,572,132,29,48,11,230,101,65,107,30,313,72,42,119,11,240,467,81,194,27,770,288,177,310,27,796,1229,239,349,48,1868,924,381,382,67,1757,1291,670,496,61,2526,1033,745,407,56,2241,670,848,370,49,1931,725,909,271,36,1944,1405,2213,441,71,4138,1026,1931,190,48,3196,751,1466,94,22,2333,526,1578,118,16,2236,1425,4306,124,21,5875,919,2644,453,27,4044,191,113,61,12,377,13446,18553,4699,668,37366
CED594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED601,98,28,48,10,183,57,22,31,7,121,81,30,152,12,275,48,21,251,11,333,535,120,340,37,1029,328,148,646,23,1141,1829,346,606,44,2830,954,508,529,54,2040,1160,820,511,65,2554,1015,942,351,37,2340,635,882,223,20,1758,634,872,161,17,1684,1124,1528,205,33,2895,599,1073,66,6,1744,284,589,18,3,901,157,315,29,0,501,341,591,29,5,964,701,1178,402,24,2302,203,81,100,9,401,10785,10089,4704,420,25991
CED602,95,24,39,3,169,72,21,33,6,130,77,22,136,8,246,39,6,254,0,293,666,99,395,20,1180,380,157,615,12,1164,2281,265,622,32,3202,1073,525,585,47,2235,1182,903,504,39,2623,1158,989,298,27,2471,643,847,208,11,1703,664,805,137,17,1623,1053,1449,147,16,2657,547,875,51,3,1481,265,498,15,3,776,117,267,11,0,400,227,399,19,3,644,731,1270,429,14,2445,252,91,138,10,494,11517,9507,4640,269,25937
CED603,122,34,57,6,222,57,9,19,4,94,70,30,127,10,228,36,22,184,3,238,325,88,317,24,753,244,159,517,28,945,1131,230,540,54,1955,797,362,532,49,1738,982,626,561,66,2232,1014,749,376,54,2205,663,642,327,37,1669,677,719,186,28,1614,1257,1438,289,47,3037,754,1115,100,15,1980,466,759,33,4,1265,288,538,47,3,876,588,1169,36,5,1799,740,1117,430,23,2314,140,58,76,5,287,10345,9875,4746,489,25454
CED604,114,27,36,0,177,72,14,25,3,116,78,17,113,9,213,28,13,183,0,229,463,61,285,18,825,323,126,542,11,1000,1612,227,512,28,2386,1081,446,562,45,2132,1374,723,565,42,2693,1180,936,409,27,2561,767,971,300,12,2054,830,908,217,29,1979,1436,1993,269,31,3730,841,1426,73,13,2343,450,902,30,7,1390,254,532,21,0,803,352,853,22,3,1228,734,1379,466,13,2600,195,71,74,18,360,12182,11613,4714,316,28830
CED605,119,28,39,4,185,131,19,31,3,177,103,32,149,11,293,58,19,254,3,334,772,139,389,20,1311,481,157,674,19,1330,2503,370,619,42,3527,1290,644,544,36,2514,1379,1023,513,45,2964,1236,1108,295,31,2669,724,969,187,16,1892,698,902,127,14,1743,1136,1402,143,10,2681,562,874,39,8,1477,239,442,13,3,697,130,242,38,0,413,240,322,11,0,577,909,1392,434,16,2754,321,120,116,6,565,13018,10199,4628,290,28125
CED694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,88,41,67,11,204,162,161,144,16,483,125,254,545,30,956,22,72,205,15,319,516,698,329,67,1605,188,341,317,34,890,409,470,335,53,1264,388,550,342,52,1338,390,529,375,43,1340,450,521,294,15,1283,305,491,223,16,1034,439,525,167,25,1156,1065,1224,232,39,2555,849,1009,92,24,1970,561,755,51,16,1381,318,579,47,5,947,641,1050,43,8,1739,725,1544,452,45,2775,323,484,335,33,1170,7969,11287,4596,549,24406
CED702,97,39,62,4,204,31,14,40,3,84,29,23,85,12,143,20,11,133,3,169,162,48,193,21,427,98,80,261,10,448,367,140,277,26,808,292,229,319,30,872,520,430,367,29,1343,541,574,321,35,1476,502,624,292,33,1455,628,763,252,27,1671,1608,1827,422,83,3942,1282,1485,194,51,3006,965,1228,82,21,2298,709,1206,88,9,2015,1378,2363,91,28,3859,995,1557,390,33,2977,127,132,123,8,396,10336,12769,4007,470,27579
CED794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED801,150,46,80,12,284,66,23,47,5,138,52,31,124,13,224,31,18,197,4,250,306,66,291,16,676,205,83,447,15,756,918,185,426,43,1573,876,294,483,42,1704,1298,563,600,54,2519,1408,759,592,57,2817,1031,849,601,38,2524,1144,979,547,46,2712,2704,2710,907,120,6437,2242,2596,433,65,5335,1641,2435,229,28,4328,1193,2154,253,17,3619,2790,6267,224,23,9304,1377,2680,697,31,4778,177,125,72,11,383,19604,22850,7243,649,50352
CED802,271,71,77,23,446,89,22,54,12,179,83,39,175,14,310,36,39,221,7,306,342,102,301,27,767,221,177,413,23,831,892,263,467,36,1654,863,428,464,55,1807,1323,811,656,78,2870,1445,1059,600,72,3172,1146,1152,606,78,2987,1157,1286,501,64,3009,2744,3309,911,131,7103,2265,3312,370,72,6010,1594,2928,150,37,4717,1176,2511,166,28,3889,1987,5350,167,33,7544,1311,2352,593,28,4294,148,120,89,11,361,19101,25339,6994,822,52256
CED894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
