CED_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
CED139,286,52,856,378,243,249,113,306,16,2502,6,8,3,7,3,6,3,20,0,72,79,75,60,64,59,22,51,55,15,481,253,119,215,164,124,176,151,269,137,1610,7060,9941,7252,5147,4636,2325,2032,3059,542,41990
CED140,260,74,854,414,263,268,77,197,17,2430,3,6,7,8,7,5,0,6,0,46,75,108,50,53,66,31,38,25,15,462,111,104,178,135,136,100,74,151,175,1159,5673,12548,7072,5114,5478,2656,1278,2227,663,42699
CED141,212,82,856,331,257,232,99,208,18,2302,0,3,0,4,8,5,4,8,0,35,53,65,62,51,60,21,45,31,12,400,69,74,161,119,104,97,100,143,128,1001,4650,11375,7896,4960,5351,2341,1841,2276,521,41213
CED142,569,159,1683,678,268,260,58,203,46,3921,20,17,32,60,7,25,10,48,9,226,324,579,99,156,189,115,35,66,50,1611,176,287,183,214,119,115,44,164,325,1631,15628,38514,7133,7501,9231,5580,972,3437,1474,89462
CED143,342,123,745,276,227,160,61,93,25,2045,5,3,4,10,7,6,4,7,0,51,198,285,42,69,132,90,21,13,32,890,141,173,94,75,115,78,31,53,154,913,13893,24679,5047,4160,6918,3684,728,1333,1017,61455
CED144,225,50,852,339,245,209,191,196,40,2350,4,9,27,29,12,8,13,37,9,150,75,120,73,90,106,57,74,79,34,701,93,116,190,137,146,131,151,200,271,1437,5020,12710,6314,5101,6175,3672,2853,3166,947,45961
CED145,357,105,788,318,200,132,25,68,16,1996,8,7,10,11,3,6,0,3,4,53,249,456,51,78,139,98,13,38,42,1167,172,211,67,92,109,89,22,64,170,989,13864,29512,3873,4089,6295,4004,524,1327,1080,64577
CED146,202,56,649,321,285,206,133,213,19,2086,3,9,14,10,9,12,17,17,7,88,72,77,96,72,93,40,86,61,28,625,107,106,219,116,187,140,195,199,250,1523,4429,10156,7090,4516,6694,2674,2943,2627,904,42033
CED147,259,66,1024,410,261,258,148,263,19,2703,4,4,0,4,0,3,4,13,4,40,52,61,53,38,65,15,53,45,21,405,92,100,243,135,126,134,131,223,166,1343,4730,9298,8663,5753,5236,2556,2389,2715,636,41985
CED194,14,3,42,33,7,13,5,23,0,135,0,3,0,3,0,0,0,4,0,8,0,7,3,4,8,0,3,7,0,36,6,10,17,11,7,8,9,17,26,101,200,562,348,285,168,119,144,278,58,2162
