CED_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
CED123,17,4,3,0,5573,5595,231,12,8,7,5653,5910,4988,238,212,4,7262,12710,7066,541,774,29,3310,11717,6129,582,1283,67,2046,10103,5744,478,1329,207,959,8709,4352,302,806,355,313,6127,1697,71,224,352,89,2437,350,16,33,288,27,710,30577,2242,4678,1304,25236,64029,14,0,4,0,5231,5249,473,35,3,6,5372,5893,6140,462,392,29,6371,13383,7119,728,1118,84,2862,11911,6120,700,1891,251,1535,10501,5717,520,1833,647,666,9383,3592,276,1158,1140,223,6385,1156,58,383,1385,88,3064,170,7,76,1094,45,1394,30499,2785,6859,4637,22398,67169,27,3,9,0,10806,10850,708,50,9,9,11025,11809,11126,698,599,30,13629,26094,14180,1270,1896,113,6177,23635,12244,1286,3175,318,3577,20599,11461,997,3159,847,1629,18094,7947,577,1966,1503,529,12518,2851,131,609,1733,178,5505,526,22,109,1379,76,2105,61067,5027,11535,5939,47628,131195
CED124,8,0,4,0,4182,4199,89,10,3,5,2790,2896,1715,122,80,7,3354,5277,3736,325,436,17,2224,6728,5170,539,1236,87,2213,9243,6940,602,1931,245,1409,11128,8192,500,1745,541,576,11555,4152,161,653,790,212,5973,1092,35,112,663,61,1956,31093,2297,6203,2350,17011,58951,0,4,0,0,4011,4015,176,25,6,3,2594,2810,2394,222,159,8,3048,5834,4222,490,688,56,1987,7449,5809,626,1733,238,1571,9979,7531,567,2142,718,887,11849,7413,343,1706,1632,381,11480,3088,100,552,2434,151,6317,529,18,122,2137,62,2860,31167,2391,7108,7229,14692,62589,9,3,3,0,8194,8215,264,36,8,13,5381,5700,4109,341,241,12,6399,11111,7964,808,1123,77,4206,14176,10976,1168,2967,321,3782,19225,14475,1167,4070,966,2300,22976,15607,841,3455,2171,960,23034,7236,261,1202,3224,362,12290,1619,51,229,2797,116,4814,62263,4687,13304,9579,31708,121542
CED125,17,3,3,4,5685,5710,223,21,4,4,5553,5807,4909,247,206,12,6546,11919,6862,520,651,30,2882,10954,6378,507,1083,69,1620,9659,6304,470,1177,163,714,8839,4231,277,692,292,288,5784,1541,65,185,290,68,2146,279,9,23,175,20,508,30747,2121,4029,1046,23378,61321,23,3,0,0,5347,5375,526,53,17,7,5208,5807,6477,438,356,27,5618,12916,6909,730,961,78,2642,11312,6320,716,1582,251,1405,10275,5953,541,1799,707,619,9613,3397,287,1054,1087,225,6052,958,64,277,1153,60,2509,156,5,46,706,21,933,30712,2834,6085,4010,21140,64792,35,4,3,0,11040,11084,749,68,21,10,10765,11615,11386,688,559,40,12156,24833,13772,1251,1610,104,5523,22262,12697,1218,2666,323,3019,19928,12252,1008,2975,877,1332,18450,7632,566,1744,1378,517,11839,2500,128,463,1441,129,4663,430,20,62,888,41,1445,61464,4957,10117,5060,44521,126110
CED126,7,3,0,0,4629,4648,83,0,8,0,3864,3955,2572,76,88,4,4464,7203,7002,224,451,20,2247,9948,7511,393,1036,42,1635,10622,6117,308,1120,106,943,8608,5259,194,824,272,428,6978,3073,74,293,424,154,4023,884,16,83,559,41,1587,32512,1294,3905,1432,18410,57557,10,0,0,0,4211,4228,167,3,3,3,3385,3559,3581,104,157,7,3768,7613,7748,344,702,36,1980,10802,7655,481,1599,176,1453,11359,5970,357,1720,400,745,9187,4889,194,1343,1022,339,7786,2154,55,542,1826,122,4701,503,19,203,2192,106,3011,32672,1552,6262,5654,16104,62246,23,3,0,0,8844,8871,252,6,5,3,7249,7513,6148,177,245,17,8227,14813,14748,567,1150,52,4232,20754,15167,870,2637,220,3081,21976,12092,664,2836,510,1689,17794,10147,389,2164,1292,767,14760,5223,128,841,2250,273,8722,1385,34,281,2750,149,4599,65181,2847,10166,7091,34508,119796
CED127,9,0,0,0,4801,4815,155,4,5,4,3930,4094,2730,97,133,8,4395,7362,5253,305,531,24,2458,8574,6229,457,1130,67,1979,9859,6327,383,1348,152,1225,9436,4893,254,981,332,626,7097,2097,104,290,359,207,3054,462,19,52,337,54,926,28165,1622,4463,1280,19679,55213,9,0,0,0,4524,4536,253,9,5,3,3653,3923,3540,193,186,12,3719,7652,5720,419,856,45,2177,9216,6570,575,1645,188,1695,10670,6096,476,1985,499,1092,10151,4306,262,1543,1124,507,7748,1452,97,512,1405,227,3688,251,7,128,1255,75,1717,28189,2041,6865,4537,17660,59296,16,0,0,3,9326,9351,409,17,13,8,7581,8018,6267,290,318,26,8107,15014,10976,723,1389,68,4636,17789,12799,1031,2769,261,3676,20530,12426,857,3332,656,2315,19585,9197,519,2529,1458,1135,14838,3547,200,803,1764,430,6747,715,35,180,1594,125,2641,56355,3663,11328,5825,37339,114511
CED128,16,0,5,0,5503,5522,319,10,11,7,5944,6285,5115,256,234,15,6667,12296,7356,502,682,30,2640,11207,6998,544,1067,73,1627,10310,6467,454,1077,159,915,9075,4539,268,646,289,321,6066,2158,86,209,363,130,2949,551,22,29,284,32,934,33535,2148,3961,1221,23779,64641,43,6,4,3,5219,5270,790,28,34,8,4964,5823,6766,456,474,40,4923,12664,7413,705,1029,93,2007,11248,6885,710,1604,314,1286,10812,5972,470,1460,815,704,9421,3695,253,763,1325,274,6306,1402,63,247,1697,103,3515,267,16,69,1204,41,1592,33228,2715,5680,5494,19527,66645,58,6,8,3,10719,10787,1113,44,39,13,10907,12107,11881,716,711,58,11593,24954,14772,1207,1714,120,4644,22459,13887,1262,2673,391,2920,21122,12442,922,2537,978,1618,18494,8236,525,1407,1615,595,12374,3556,147,455,2063,233,6462,818,40,98,1492,80,2522,66760,4858,9642,6715,43309,131291
CED129,14,0,0,0,5267,5278,76,3,0,0,4603,4686,3543,62,100,0,4337,8044,9303,248,370,18,1555,11497,8672,284,724,52,831,10567,6846,215,649,91,368,8169,5241,155,421,207,152,6176,2203,62,126,331,47,2765,489,7,19,289,22,822,36378,1040,2411,990,17179,57999,15,0,0,0,5077,5099,143,3,5,3,4117,4266,5075,127,178,7,3473,8856,10187,397,709,49,1348,12692,8477,415,1180,149,743,10969,6588,276,1178,416,419,8889,4633,134,781,1065,187,6802,1486,29,227,1266,63,3065,239,6,54,1043,32,1379,36836,1383,4322,3998,15472,62013,28,0,3,0,10343,10379,222,5,9,3,8717,8954,8613,188,283,7,7811,16898,19487,639,1082,68,2900,24184,17148,700,1902,206,1578,21531,13428,494,1826,508,792,17049,9870,293,1199,1269,341,12973,3687,88,345,1592,111,5830,725,17,76,1332,54,2203,73211,2422,6734,4987,32652,120008
CED130,17,5,7,3,5082,5112,152,17,5,6,4250,4431,2880,183,127,15,5070,8273,4705,386,522,26,2630,8271,5616,530,1165,57,2163,9530,6397,559,1627,226,1460,10273,5872,351,1244,477,692,8637,3102,129,368,626,248,4469,729,19,63,443,65,1327,29478,2171,5115,1889,21661,60318,11,3,0,0,4872,4893,291,29,9,8,4159,4493,3612,316,227,25,4492,8675,5131,508,718,86,2438,8881,6026,670,1563,214,1688,10162,6566,588,1871,612,990,10628,5204,271,1264,1563,366,8661,2257,74,421,2323,198,5279,366,12,97,1888,108,2464,29469,2478,6175,6717,19310,64141,29,5,5,4,9958,10006,442,45,15,12,8405,8919,6492,497,355,40,9568,16951,9839,899,1241,119,5060,17156,11648,1208,2730,273,3847,19694,12965,1142,3498,839,2454,20899,11077,619,2509,2037,1062,17303,5356,204,786,2955,441,9745,1097,31,155,2333,171,3784,58943,4645,11289,8599,40974,124455
CED131,9,0,5,0,4486,4501,134,14,8,0,6635,6801,3412,178,164,14,8188,11952,5414,416,605,32,3336,9795,5218,502,1255,77,2560,9619,5175,431,1511,179,1559,8862,3914,226,1041,303,585,6069,2004,66,363,462,232,3133,683,10,66,498,56,1316,25959,1856,5005,1568,27642,62033,8,0,0,0,4300,4310,257,21,3,5,6472,6765,4225,215,253,18,6784,11502,5740,514,939,67,2860,10121,5397,638,1750,217,1931,9942,4956,441,2136,535,1085,9162,3449,184,1340,1066,421,6464,1560,41,494,1793,178,4070,398,16,131,2003,94,2647,25992,2069,7060,5713,24128,64966,14,0,4,4,8784,8805,394,35,14,5,13112,13563,7633,395,417,36,14977,23451,11150,927,1545,99,6191,19916,10622,1138,3009,300,4491,19552,10129,873,3653,716,2651,18016,7366,414,2377,1369,1007,12538,3568,109,849,2256,411,7197,1080,28,201,2498,153,3958,51951,3923,12061,7288,51776,127000
CED132,8,0,0,4,4254,4274,92,6,5,0,4087,4183,4938,104,157,9,8705,13909,8529,289,621,12,3636,13084,6900,404,915,50,1863,10135,5333,271,1048,117,1117,7883,4256,192,770,202,625,6044,2096,58,290,255,246,2941,715,25,62,399,91,1288,32864,1350,3865,1039,24629,63743,15,0,3,0,3343,3361,234,7,3,3,4422,4663,6192,169,285,10,8698,15345,8869,382,974,57,3727,14008,7016,443,1515,130,1910,11017,5316,319,1715,378,1233,8953,3791,203,1298,879,659,6833,1438,69,504,1345,373,3729,392,15,167,1655,228,2459,33255,1605,6461,4453,24601,70382,23,0,4,4,7602,7635,326,10,9,3,8507,8855,11122,274,437,18,17401,29260,17394,669,1594,69,7366,27089,13913,850,2434,175,3779,21153,10649,588,2758,494,2350,16834,8049,396,2071,1081,1280,12884,3532,126,790,1601,625,6673,1115,33,231,2057,323,3750,66115,2949,10324,5495,49236,134124
