CED_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
CED330,843,12,3,3,0,854,464,3,3,3,0,470,380,4,0,3,0,387,754,6,0,8,4,771,994,15,4,9,3,1027,3179,31,9,16,6,3242,3810,45,4,23,19,3897,5672,32,7,21,12,5742,2872,3,4,7,15,2897,1798,6,0,5,3,1813,781,0,0,4,7,794,1153,6,4,12,3,1174,22689,156,32,102,71,23057
CED394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED401,774,215,68,8,0,1068,321,103,40,0,0,463,235,79,35,0,0,345,474,173,77,0,0,725,555,203,104,0,0,863,1528,635,380,6,12,2560,1762,723,345,3,12,2853,2421,927,260,0,15,3629,1259,331,97,4,6,1695,1378,280,56,0,3,1726,1238,176,52,7,8,1476,441,105,44,0,3,595,12405,3957,1556,30,60,18007
CED402,1151,30,3,3,14,1208,844,30,12,3,0,889,833,35,4,10,5,890,1707,77,15,3,13,1816,2317,65,22,8,9,2416,4595,81,10,22,12,4716,2974,26,5,9,12,3025,1780,16,3,11,14,1823,480,0,3,3,3,489,336,5,0,10,0,351,255,7,0,3,0,270,753,9,3,3,3,773,18032,384,88,84,89,18671
CED403,1026,115,21,0,3,1168,457,61,10,0,0,539,400,52,16,4,0,480,724,112,25,0,0,860,932,124,56,0,0,1113,2545,378,132,3,4,3060,3024,437,113,4,10,3583,4220,457,54,3,13,4750,1970,173,6,6,3,2152,1579,104,4,0,3,1694,862,69,4,0,3,941,591,60,8,0,0,661,18332,2144,463,17,39,20997
CED404,1007,61,4,11,14,1090,779,86,5,9,6,883,768,82,5,0,3,863,1366,190,7,13,10,1586,1596,195,4,6,8,1818,3305,279,12,11,23,3633,2350,88,5,9,9,2453,1605,52,7,12,9,1683,490,9,0,0,3,505,329,10,0,3,0,350,161,9,0,6,0,173,616,39,6,7,3,663,14371,1104,53,89,83,15709
CED405,716,223,71,0,5,1012,335,99,49,0,3,487,309,88,45,0,0,445,518,144,88,0,0,754,647,216,145,0,0,1008,1669,569,407,5,11,2664,1892,707,269,0,9,2873,2893,777,152,6,20,3840,1529,355,40,0,8,1937,1163,252,37,3,10,1465,632,171,20,0,7,829,415,110,50,0,0,571,12712,3722,1365,17,78,17886
CED406,1078,50,4,0,3,1138,807,32,8,0,0,852,719,38,6,0,0,761,1289,47,13,0,0,1353,1754,77,16,3,3,1853,5059,251,45,7,9,5376,5677,167,24,0,4,5875,4262,70,16,0,9,4361,1072,9,13,0,3,1101,529,6,5,0,3,543,242,4,3,0,0,249,750,17,4,0,0,774,23249,785,163,15,37,24242
CED407,981,50,14,3,0,1046,683,27,11,0,0,725,601,28,12,0,0,641,1164,67,32,0,0,1263,1514,97,31,0,0,1643,4304,288,145,4,3,4738,5261,285,93,3,15,5651,4408,226,24,0,9,4669,1320,46,3,0,3,1374,803,28,6,0,0,839,330,12,0,0,0,348,706,28,5,0,0,749,22077,1186,384,10,29,23689
