CED_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
CED330,0,0,7,15,0,0,0,0,0,24,4592,10775,8235,13729,7977,6675,4852,1897,496,59225,0,0,3,34,0,3,0,0,0,40,0,0,0,3,5,4,3,0,0,18,0,0,0,17,9,6,0,0,0,31,4,13,17,26,25,21,15,7,3,124,0,0,0,13,3,3,3,0,0,22,0,3,35,34,12,11,11,3,0,101,0,0,0,0,9,16,10,8,0,54,0,3,0,3,3,3,7,0,0,22,11,149,201,491,825,745,789,330,89,3632,0,6,8,34,15,15,3,3,0,78,0,0,12,11,17,15,15,0,0,68,0,0,8,41,55,50,118,75,9,364,0,0,0,4,0,3,0,0,0,11,0,8,22,21,8,6,6,0,0,69,0,8,14,136,29,19,12,3,3,230,0,5,11,14,3,7,4,4,0,48,0,0,0,7,3,3,7,0,0,16,0,0,3,12,7,0,0,0,0,31
CED394,0,0,0,0,0,0,0,0,0,0,136,190,384,1276,620,736,690,141,12,4186,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,3,0,0,0,29,0,0,0,3,4,0,0,0,0,7,0,4,16,16,3,0,0,0,0,39,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,67,82,54,67,112,12,3,411,0,0,0,3,3,4,0,0,0,12,0,0,11,31,3,0,0,0,0,44,0,0,8,13,4,4,13,7,0,51,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,9,0,0,8,18,3,3,0,0,0,33,0,0,3,3,3,0,0,0,0,13,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
CED397,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,6,8,4,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED401,7,66,344,594,153,87,24,0,3,1287,3793,6193,7217,14114,6526,5818,3560,1478,715,49420,5,33,28,174,21,3,3,0,0,269,0,0,3,31,18,20,13,3,0,88,3,0,11,53,46,30,17,8,3,172,7,7,25,81,19,22,7,0,0,169,3,3,0,22,3,3,5,0,0,47,26,87,1570,1298,133,98,55,19,11,3304,0,0,4,22,16,31,32,31,15,153,0,8,8,26,5,3,17,9,0,81,20,111,127,525,666,722,589,257,118,3132,0,0,3,24,11,11,9,3,0,62,3,9,17,53,21,9,17,3,0,132,0,3,15,71,55,40,154,39,25,396,0,4,3,33,49,154,226,321,142,940,4,19,330,169,22,27,23,3,0,588,84,320,364,2195,189,61,52,21,8,3291,0,7,37,57,3,9,4,3,0,121,9,60,71,289,33,22,7,8,8,508,4,18,21,57,38,19,5,0,0,164
CED402,0,8,56,187,86,26,3,0,0,369,3916,8824,7489,13625,8541,8616,6746,3171,1105,62026,0,4,0,20,3,0,0,0,0,26,0,0,0,3,0,3,0,5,0,12,0,0,3,8,8,0,3,0,0,22,0,3,5,17,7,9,3,0,0,35,0,0,0,0,0,0,0,0,0,0,4,16,40,145,36,15,3,0,0,258,0,0,0,0,8,10,23,20,3,67,0,0,0,4,0,0,0,0,0,11,4,35,34,166,371,471,539,289,79,1986,0,6,0,8,11,3,0,0,0,28,0,0,0,11,3,9,4,3,0,35,0,3,4,19,24,50,127,54,25,307,0,0,0,12,11,35,54,61,33,201,0,0,12,15,0,4,0,0,0,40,5,28,19,187,49,35,23,6,0,351,0,0,0,8,0,0,3,3,0,17,0,3,3,12,3,0,0,0,0,20,0,0,0,9,0,0,0,0,0,11
CED403,3,5,14,31,4,3,0,0,0,59,3764,7045,7429,11898,6273,6232,4588,2142,1041,50414,3,14,3,57,10,3,5,3,0,89,0,0,3,20,10,16,9,3,0,64,3,5,0,24,11,8,3,0,0,59,0,9,6,61,24,37,14,8,0,177,0,0,0,7,3,4,0,0,0,21,16,70,278,570,84,73,50,16,3,1157,0,0,0,8,8,15,22,29,4,84,3,3,0,15,0,15,16,6,7,63,25,309,346,659,1134,907,846,481,199,4894,0,0,8,14,10,7,4,3,0,47,0,6,7,20,21,12,6,3,0,75,0,10,4,49,51,62,147,68,55,446,0,3,3,15,18,74,105,119,23,353,0,8,38,48,15,20,9,10,0,151,10,81,82,517,121,56,31,26,7,942,20,28,12,109,16,10,12,4,3,201,4,34,33,162,58,42,26,12,0,367,3,4,3,24,4,3,0,0,0,46
CED404,0,0,0,3,0,0,0,0,0,10,3994,8238,7143,13699,8184,8429,6422,2936,927,59977,0,4,0,21,3,0,0,0,0,36,0,0,0,4,3,3,3,3,0,15,0,0,0,0,3,0,0,0,0,3,0,3,3,11,0,4,6,0,3,33,0,0,0,3,7,0,3,0,0,16,3,0,0,22,3,5,3,0,0,39,0,0,0,3,9,17,45,37,9,116,0,0,0,0,0,0,5,0,0,11,0,20,26,125,502,706,636,389,103,2502,0,0,0,16,3,9,0,0,0,32,0,3,7,8,9,3,13,3,0,42,0,0,0,4,26,70,109,69,24,309,0,0,0,3,9,23,44,35,9,121,0,0,3,3,0,5,0,0,0,9,8,24,8,155,14,9,10,8,5,237,0,4,3,9,4,3,0,0,0,22,0,0,0,5,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
CED405,0,8,48,60,16,7,3,0,0,145,3648,6081,6958,12968,6921,5976,4175,2253,1099,50079,6,20,7,88,12,0,0,0,0,133,0,0,16,51,39,50,13,17,0,182,0,3,9,30,42,29,7,3,4,114,7,9,11,48,22,19,8,0,0,123,0,4,3,11,3,4,9,0,0,30,10,37,501,669,104,66,56,35,13,1484,0,0,6,30,22,38,35,50,17,205,3,19,11,58,8,20,39,10,9,172,22,147,184,570,677,623,517,308,157,3200,0,6,5,12,9,5,3,0,0,48,0,4,12,32,16,7,10,0,3,84,3,11,14,42,40,55,177,52,26,421,0,9,18,39,70,174,291,343,83,1038,5,0,86,83,18,18,15,4,0,226,71,178,242,1526,131,68,46,19,20,2298,12,20,7,58,0,3,6,0,0,110,5,16,28,153,47,15,14,0,0,280,0,3,16,39,16,10,0,3,0,87
CED406,0,0,3,0,3,0,0,0,0,3,4595,8332,7551,14860,6014,5488,3958,1393,477,52658,0,0,0,3,0,0,0,0,0,10,0,0,3,13,10,6,3,0,0,32,0,0,0,3,0,0,0,0,0,4,0,4,7,27,18,13,16,5,0,88,0,0,4,6,6,3,11,9,0,36,8,15,52,126,30,26,17,6,0,270,0,0,0,15,20,24,19,15,4,97,0,0,16,19,13,18,15,11,0,95,31,428,541,1095,1698,1420,1251,806,280,7547,0,3,4,23,12,11,7,0,0,63,0,0,0,11,8,15,3,3,0,46,0,3,11,43,54,81,175,85,45,499,0,0,0,4,11,24,31,37,3,116,0,0,3,12,0,8,3,3,0,32,9,46,30,244,61,28,33,18,8,475,0,4,7,19,5,9,3,7,3,56,0,10,7,55,20,13,9,6,0,128,0,0,5,11,0,9,3,0,0,28
CED407,3,29,206,248,63,29,8,0,0,589,4335,7954,7821,14043,6355,4785,3727,1460,429,50908,8,23,3,101,12,3,0,0,0,155,0,0,5,55,22,29,10,3,0,133,0,4,3,43,24,23,7,3,0,107,0,6,9,21,12,7,4,3,0,69,0,0,0,16,8,5,7,7,0,42,10,24,223,454,87,58,46,8,3,915,0,0,7,29,22,33,47,45,0,191,3,11,3,27,3,11,5,11,0,74,6,104,218,540,1291,1364,1151,895,304,5876,0,3,3,31,15,9,3,3,0,68,0,0,0,7,13,5,9,0,0,29,0,10,13,35,34,78,197,86,50,499,0,0,0,6,8,52,70,45,13,195,0,5,102,70,6,12,12,0,0,210,16,157,169,1028,164,52,49,23,8,1673,0,10,10,37,6,5,4,10,6,87,7,32,57,140,30,20,8,5,3,306,0,28,38,89,27,7,7,0,0,198
