CED_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
CED602,2644,13625,13344,4879,2424,36913,1543,38452
CED603,4317,16408,12752,3832,1825,39127,1358,40488
CED604,1903,13214,15358,5302,2762,38539,1181,39726
CED605,1725,11945,14221,6207,3873,37980,1645,39625
CED694,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0
CED701,4797,8765,8009,3236,2003,26805,1795,28604
CED702,2187,11971,14528,4535,2151,35371,1620,36987
CED794,0,0,0,0,0,0,0,0
CED797,0,0,0,0,0,0,0,0
CED801,3991,26192,27285,7955,3824,69246,1773,71018
CED802,3874,27096,28760,7714,3257,70693,1779,72475
CED894,0,0,0,0,0,0,0,0
CED897,0,0,0,0,0,0,0,0
CED994,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0
