CED_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
CED127,0,4,15,61,119,67,119,117,9,0,7,3,0,3,4,537,0,0,7,18,17,19,6,3,0,0,0,3,3,3,3,98,0,0,0,11,11,34,46,29,7,0,16,15,26,7,9,210,0,7,14,36,4,8,4,4,0,0,3,0,0,0,7,81,0,0,0,10,4,4,3,0,0,0,0,0,0,0,3,27,52,512,1438,2525,1091,783,685,381,62,70,45,36,30,21,243,7970,0,11,36,140,68,69,114,62,18,25,6,9,16,6,17,586,0,0,3,5,29,17,8,27,10,4,8,22,34,25,4,189,0,0,3,8,18,11,7,3,0,0,0,0,0,0,0,60,17,194,320,680,380,331,333,132,36,40,33,36,61,50,82,2731,114,1566,2912,4828,2963,2571,2430,1324,246,279,212,246,326,208,655,20874
CED128,0,0,4,27,92,71,100,44,11,4,3,3,3,0,4,360,0,0,0,35,65,229,233,125,30,42,23,11,8,7,27,837,0,3,0,5,76,127,130,106,15,13,25,15,4,9,24,547,0,0,12,134,27,36,21,3,0,0,0,5,3,3,8,259,0,0,0,293,170,227,176,97,14,10,16,19,15,3,33,1073,19,151,552,751,299,179,112,64,6,21,13,14,8,0,88,2287,0,0,4,15,23,35,33,40,9,6,3,9,13,8,3,195,0,0,0,21,1892,2079,744,489,101,95,113,124,95,46,204,6001,0,0,0,0,3,3,24,22,3,9,0,0,0,0,3,71,9,167,280,1792,2187,2992,3511,1904,335,418,565,656,735,493,492,16521,71,1660,3348,6845,8038,12819,13832,9431,1808,2121,3227,2450,2147,1557,2226,71577
CED129,0,4,3,49,171,250,708,547,91,91,78,103,82,55,43,2277,0,3,19,101,160,809,608,353,70,43,41,46,19,15,35,2316,0,0,0,4,27,47,95,81,7,9,17,16,23,17,14,364,0,0,3,28,4,6,3,0,0,0,0,0,0,0,0,41,0,0,3,93,49,60,43,7,5,3,7,0,0,0,11,290,24,307,696,1123,616,613,762,616,116,187,89,125,95,59,119,5547,0,4,10,57,51,67,130,119,56,18,43,82,114,88,23,861,0,0,0,12,311,129,46,27,15,7,12,7,14,3,18,585,0,0,0,5,14,12,111,35,12,6,0,8,3,3,0,211,3,166,256,881,796,1495,1439,681,143,121,146,155,158,169,141,6758,68,1294,2217,4408,5192,11218,13283,8000,1429,1489,1401,1420,1422,907,1300,55059
CED130,0,0,15,13,29,24,115,74,25,20,3,13,14,8,18,362,0,0,3,3,10,11,10,33,13,11,20,11,7,6,0,131,0,0,0,0,9,11,21,27,7,4,4,5,3,3,11,108,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,0,3,13,29,304,622,849,279,196,236,156,33,29,44,30,27,22,145,3002,0,12,22,59,43,37,128,55,7,9,21,13,13,7,16,453,0,0,0,4,8,4,11,27,7,15,11,12,44,26,14,188,0,0,0,0,16,11,20,13,0,3,7,4,3,3,5,87,9,51,97,183,87,121,185,344,65,85,88,149,282,115,123,1977,60,683,1108,1542,1023,954,1324,1489,336,448,494,551,802,409,615,11851
CED131,0,0,13,19,62,59,149,78,13,15,10,3,18,7,0,442,0,0,7,5,19,48,34,55,13,11,10,8,19,5,9,233,0,0,0,3,7,33,51,65,14,15,18,23,14,7,23,267,0,20,147,314,52,60,21,17,0,0,0,3,0,0,33,668,0,0,0,10,5,3,10,6,0,0,0,0,0,3,3,34,54,267,617,777,463,351,435,367,78,108,105,80,85,51,143,3988,0,4,9,50,55,56,117,106,20,28,36,22,51,21,22,596,0,0,0,5,80,34,27,47,15,24,41,35,39,21,28,382,0,0,4,0,6,11,34,20,8,20,3,11,25,13,0,159,9,162,135,490,230,330,537,596,147,188,196,330,259,293,198,4108,80,1142,1696,2452,1937,1992,2693,2790,665,924,904,1134,1248,865,961,21483
CED132,0,8,47,73,270,344,557,289,61,48,42,61,48,53,59,1964,0,3,16,48,68,119,86,54,10,9,17,12,23,13,12,490,0,0,3,22,37,110,249,244,43,59,72,50,56,20,30,992,0,3,29,43,5,19,16,9,0,0,4,0,0,4,0,127,0,0,9,54,42,26,27,30,6,6,5,3,13,3,0,221,52,358,699,1187,922,1067,1713,1278,344,335,287,297,316,162,238,9247,10,12,33,111,138,213,312,295,65,87,92,109,172,101,66,1819,0,0,8,22,282,83,49,75,11,23,17,25,28,23,16,653,0,0,9,12,21,32,50,49,8,6,3,6,0,8,0,199,54,269,383,807,711,1361,1559,1639,336,450,494,553,632,433,332,10020,234,1358,2574,4534,5843,9499,11746,9322,2218,2449,2565,2834,3348,2040,1870,62439
CED133,0,3,28,37,65,47,101,76,26,9,7,5,22,0,6,430,0,3,5,9,6,11,4,8,3,0,0,0,3,0,3,69,0,0,0,3,13,18,34,33,4,10,11,5,8,3,11,151,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,47,491,1078,1377,456,357,355,242,52,42,44,27,24,4,180,4787,0,10,26,90,60,52,70,52,18,11,14,13,6,13,7,438,0,0,0,3,4,5,3,15,6,9,4,6,3,14,18,88,0,0,5,3,12,21,24,16,0,4,0,0,0,0,4,101,9,100,164,349,210,164,190,197,30,55,61,53,78,37,115,1819,100,1183,1881,2656,1783,1474,1546,1410,274,277,294,273,285,178,641,14246
CED134,0,0,6,10,22,19,72,90,13,23,15,3,14,0,5,303,0,0,0,0,4,13,22,75,19,19,16,13,17,0,3,201,0,0,0,0,9,4,14,25,3,3,4,0,13,3,4,83,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,3,3,3,0,0,0,0,0,0,0,15,15,224,348,474,154,122,100,88,29,18,39,28,20,12,99,1772,0,3,29,23,29,26,37,32,9,14,7,0,5,8,4,225,0,0,0,0,16,4,12,17,4,3,7,5,5,4,5,81,0,0,0,3,7,0,19,50,9,3,6,0,10,5,3,118,4,43,110,224,78,81,127,327,47,62,53,40,53,51,81,1379,38,559,776,1079,689,714,927,1497,310,389,361,307,300,178,406,8530
CED135,0,0,3,19,72,81,119,83,11,11,5,17,10,7,14,454,0,0,13,42,117,744,984,741,152,444,174,140,157,75,108,3901,0,0,0,5,43,91,128,126,19,23,29,35,30,8,29,570,0,0,3,32,3,14,17,6,0,0,5,0,0,0,3,86,0,0,0,303,156,198,177,48,15,9,11,4,8,3,33,954,15,165,417,607,274,250,212,156,45,41,47,47,41,25,98,2441,0,0,9,24,21,37,65,60,26,34,29,36,38,33,15,436,0,0,0,34,667,379,149,113,22,28,30,28,48,24,60,1570,0,0,0,0,5,11,46,80,16,11,7,3,7,8,0,194,5,147,181,893,878,1962,3232,2870,481,549,783,732,736,532,470,14462,58,947,1950,4736,5766,13279,19499,19662,3648,4549,5706,6098,6281,4260,3163,99602
CED136,0,4,8,29,58,44,109,187,20,38,27,19,13,3,7,547,0,3,3,3,3,7,3,12,4,0,3,5,3,0,7,54,0,0,0,0,14,19,52,39,3,10,17,17,3,6,11,187,0,0,6,12,3,0,0,0,3,0,0,0,0,0,0,23,0,0,3,8,3,3,6,0,0,0,3,0,0,0,5,26,36,555,893,1310,590,382,427,440,74,45,64,39,26,16,169,5077,4,3,11,26,34,27,74,51,9,18,13,15,21,5,6,322,0,0,0,3,12,12,13,19,0,8,10,10,3,0,3,97,0,0,0,0,11,7,33,68,5,7,5,0,4,4,0,144,3,112,141,318,208,150,214,162,28,45,44,55,57,15,79,1629,69,1360,1683,2377,1670,1386,1696,1784,346,332,300,295,239,130,518,14198
CED137,0,0,6,48,106,104,207,106,23,16,17,23,20,21,21,730,0,0,3,83,209,760,444,249,47,148,85,31,40,8,38,2147,0,0,0,8,57,95,211,201,37,39,57,78,71,46,64,965,0,0,3,49,7,13,11,0,0,4,0,0,0,0,11,106,0,0,0,217,103,117,74,54,15,7,0,9,6,3,24,635,20,162,386,575,368,428,598,482,129,126,124,102,111,42,132,3794,0,5,15,39,44,70,106,105,22,38,18,37,54,31,18,591,0,0,3,44,1620,535,184,185,34,70,79,106,77,54,150,3143,0,0,4,0,13,10,41,20,3,4,3,6,7,7,0,109,17,202,311,1083,884,1279,1439,2333,291,464,797,1023,997,690,562,12370,119,1811,4261,5605,7318,11985,15154,14889,3008,3889,4604,5177,5452,3221,3651,90141
CED138,3,5,30,71,100,91,153,104,7,21,8,0,5,8,27,630,0,0,6,19,13,9,4,8,0,0,0,3,0,0,3,65,0,0,0,4,14,26,79,86,6,10,16,10,15,7,18,288,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,10,0,7,5,0,0,0,0,0,0,0,0,28,58,714,1537,2073,816,675,938,575,106,99,101,53,72,41,372,8234,0,8,37,113,106,110,167,100,26,14,13,29,15,17,32,791,0,0,0,4,11,15,9,13,6,6,3,3,3,0,3,78,0,0,6,4,24,17,21,10,3,0,4,0,0,0,0,107,17,133,251,499,268,294,417,359,97,97,119,98,91,52,127,2917,136,1530,2613,3742,2724,2488,3275,2358,473,508,475,425,394,244,1079,22455
CED139,0,0,10,17,29,17,105,110,7,38,10,4,15,3,3,369,0,3,0,3,4,10,16,38,12,51,14,6,7,0,11,176,0,0,0,0,3,3,23,13,9,6,4,3,8,4,12,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,5,3,3,4,4,0,0,0,0,0,0,3,20,33,330,545,737,177,148,178,136,18,27,41,26,36,17,121,2565,0,5,3,30,20,23,58,25,17,0,9,5,6,3,5,216,0,0,0,3,15,21,10,23,3,3,0,11,3,5,20,116,0,0,0,0,17,3,30,26,6,12,8,0,0,3,3,108,0,88,102,173,111,132,285,327,79,116,130,96,109,67,104,1913,61,831,1024,1330,768,814,1392,1536,354,631,507,433,423,226,612,10935
CED140,0,0,26,68,124,108,313,195,37,11,16,16,28,12,23,974,0,0,12,26,17,23,17,16,0,4,0,0,0,3,4,131,0,0,0,4,6,28,88,76,14,6,14,20,15,6,25,314,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,18,6,8,13,3,0,0,0,0,0,0,0,62,55,589,1365,2051,979,995,1239,951,173,170,151,101,110,43,265,9227,0,3,16,83,51,81,115,92,34,36,8,16,18,16,19,604,0,0,0,11,34,24,18,17,5,9,12,8,4,3,19,159,0,0,0,3,21,10,40,38,3,0,7,7,3,4,0,142,12,129,274,672,387,398,513,386,63,65,43,69,59,30,82,3196,129,1453,2541,4016,2914,3052,3992,2983,549,550,493,441,422,251,810,24599
CED141,0,3,18,21,60,54,119,70,17,19,5,0,11,13,5,411,0,0,4,5,10,25,20,8,3,12,0,0,0,0,4,87,0,0,0,3,5,12,37,47,9,4,17,19,13,3,9,175,0,8,63,106,14,12,5,3,0,0,0,0,0,0,11,222,0,0,0,4,3,9,3,3,0,0,0,0,0,0,0,20,42,500,961,1334,504,371,447,371,80,71,51,38,45,20,179,5024,3,4,18,34,36,47,78,50,7,28,0,5,6,4,10,342,0,0,0,3,30,10,14,12,4,0,6,0,3,0,7,94,0,0,3,0,14,3,16,19,0,0,3,5,4,0,0,65,3,179,172,369,170,203,232,174,48,37,25,21,27,19,64,1736,77,1503,1900,2591,1637,1507,1768,1354,290,298,221,210,223,130,531,14236
CED142,0,6,20,45,138,205,319,146,22,28,45,44,61,42,30,1138,0,0,8,26,34,100,85,48,7,13,12,20,23,16,4,399,0,0,3,12,52,215,885,1420,258,436,637,895,874,438,561,6674,0,0,5,43,14,43,11,4,0,4,3,3,3,3,0,140,0,0,0,80,32,35,56,71,14,29,11,19,31,20,21,437,14,178,485,926,701,993,1580,1472,500,569,611,781,909,506,260,10478,0,7,18,103,114,233,335,321,106,158,179,233,294,292,147,2548,0,0,0,41,547,374,146,279,70,85,114,148,143,88,61,2092,0,0,0,7,19,17,42,13,4,5,3,7,6,4,0,128,18,148,243,900,957,1971,2017,1997,628,768,1042,1463,2141,1561,789,16632,63,742,1759,3729,5319,9507,13401,13834,3920,5144,6384,8709,11531,7812,4629,96500
CED143,0,3,29,85,271,307,636,432,80,93,115,85,58,45,58,2307,3,3,17,31,35,50,17,30,3,3,4,0,3,4,3,204,0,0,0,10,22,61,137,114,16,13,28,31,16,16,29,499,0,0,3,5,3,22,30,4,0,0,3,3,0,0,0,80,0,0,3,49,21,26,19,15,14,10,3,0,15,6,4,181,57,395,856,1554,1159,1515,3172,2570,609,649,605,570,538,234,320,14794,0,9,35,114,130,219,412,366,101,85,139,166,166,120,57,2131,0,0,0,12,96,46,34,24,3,9,8,16,23,10,12,293,0,0,3,10,33,36,67,41,8,9,9,4,3,3,3,227,35,187,273,644,504,889,1521,1620,366,426,496,582,718,416,259,8953,169,1228,2385,4065,4268,6032,9577,7715,1842,1894,2085,2200,2238,1287,1291,48270
CED144,0,0,6,32,61,36,89,26,0,4,4,0,0,3,3,276,0,0,10,39,66,265,115,86,7,22,14,18,15,8,11,686,0,0,0,9,48,112,187,125,19,28,31,60,58,15,35,721,0,0,26,135,39,53,27,9,0,0,4,0,0,0,21,311,0,0,4,116,65,64,48,18,3,9,7,3,5,6,8,354,19,80,210,366,161,155,183,129,19,27,22,8,29,13,59,1485,0,3,3,20,16,30,78,40,9,17,4,12,19,9,9,265,0,0,4,50,1654,1546,688,522,110,118,169,148,135,94,157,5400,0,0,0,0,4,3,25,20,7,0,0,0,0,0,0,55,9,187,328,1669,1370,2461,4061,4297,623,917,1511,1237,1284,845,675,21471,75,1287,4085,8400,8623,14490,15795,12628,2134,2806,3580,3483,3571,2117,3057,86140
CED145,4,5,52,98,749,1429,1794,471,144,96,73,83,92,52,71,5217,0,4,9,24,34,43,17,13,0,0,3,6,5,0,3,159,0,0,10,9,27,48,109,123,15,23,23,25,20,11,23,472,0,0,0,11,6,15,10,3,0,0,0,0,9,0,0,58,0,3,6,33,16,13,23,20,3,3,6,6,9,0,9,154,37,341,610,1032,805,1008,1932,1810,572,575,641,631,646,307,301,11245,5,16,30,110,151,202,373,389,84,113,128,173,226,104,62,2162,0,0,3,16,87,41,30,39,3,13,8,13,10,3,11,279,0,0,3,9,37,43,58,27,5,0,0,4,3,3,4,196,78,730,883,1102,1341,1588,1614,1527,375,461,612,777,1149,784,511,13528,317,2007,2826,3926,5060,6753,8839,6796,1915,1991,2339,2590,3002,1850,1633,51845
CED146,0,0,9,28,88,79,115,32,4,13,3,10,0,0,12,390,0,0,4,30,38,152,108,84,22,14,5,3,0,0,13,472,0,0,0,3,117,255,115,77,10,16,17,22,18,8,18,669,0,0,25,341,107,189,156,17,3,6,7,3,5,7,10,869,0,0,3,144,82,121,114,63,3,7,3,17,7,6,12,584,3,118,445,594,254,152,103,74,15,32,19,23,15,11,60,1938,0,0,3,15,18,31,64,46,6,7,6,9,14,13,6,245,0,0,0,25,2074,2573,943,590,118,151,120,122,78,76,250,7121,0,0,0,3,4,5,141,139,19,4,10,9,9,3,3,352,5,97,227,2305,3442,4960,4001,1802,278,277,327,332,296,232,523,19104,30,1049,2313,6163,9660,17723,15958,8641,1409,1283,1536,1314,1157,791,1879,70918
CED147,0,3,12,41,67,35,110,90,18,20,16,3,19,8,8,459,0,3,10,4,9,19,18,14,0,3,3,3,3,0,0,90,0,0,0,3,9,26,65,52,6,11,7,6,13,0,15,229,0,0,102,915,208,162,81,46,0,8,4,3,8,0,70,1595,0,0,0,107,34,55,27,10,0,3,4,0,4,0,18,267,37,862,2061,3706,968,477,470,329,39,56,51,61,21,8,356,9507,0,3,10,70,42,43,74,55,5,6,10,4,10,14,8,363,0,0,0,0,118,46,28,31,8,8,10,11,4,17,14,292,0,0,0,4,9,10,36,13,0,3,0,0,0,0,3,81,14,174,813,1388,487,492,338,350,39,42,74,95,50,72,187,4610,80,2062,4721,7543,2896,2326,2159,1783,247,331,329,366,299,266,1096,26501
CED194,0,0,0,5,8,10,12,5,0,0,0,0,4,16,11,77,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,3,3,4,0,0,3,8,4,8,4,39,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,4,9,0,0,0,0,0,0,3,3,18,0,31,60,107,45,32,32,21,7,7,9,28,86,93,46,595,0,0,0,3,3,5,13,0,3,4,3,6,22,15,13,82,0,0,0,0,11,15,6,8,0,0,0,3,8,10,8,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,10,6,44,31,48,45,45,16,5,21,38,106,140,111,664,0,67,119,212,197,265,250,221,57,63,77,169,383,501,425,3012
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,3,0,0,0,0,0,0,4,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,3,0,0,0,0,0,0,0,3,19,0,15,13,28,16,14,10,8,6,5,0,4,3,0,22,142
CED201,0,0,9,45,225,202,251,153,22,34,5,20,22,6,13,1005,0,4,43,253,204,719,776,672,96,79,63,58,39,32,50,3082,0,0,0,7,33,51,74,71,5,13,14,11,14,15,10,321,0,0,13,30,3,6,3,0,0,0,0,0,0,0,4,53,0,0,3,55,17,16,12,4,0,0,0,0,0,0,3,112,18,454,1118,1717,792,551,396,267,66,49,40,43,28,15,171,5725,0,0,3,31,26,36,85,65,16,10,10,9,15,7,7,331,0,0,3,10,494,364,127,107,17,9,11,13,19,9,33,1215,0,0,5,4,20,3,25,21,4,4,6,5,6,0,0,104,28,246,374,823,942,1100,952,491,95,107,78,89,62,43,123,5552,78,1549,3116,4714,4651,7118,7845,7106,1203,1187,990,1050,854,476,1071,43023
CED202,0,3,10,16,40,27,114,72,14,14,7,4,9,9,8,350,0,4,3,14,11,17,14,43,10,19,12,11,10,4,3,171,0,0,0,6,5,14,39,41,7,8,6,5,14,8,6,155,0,5,3,26,0,0,3,0,0,0,0,0,0,0,3,48,0,0,3,5,3,0,3,4,0,0,0,0,0,0,0,27,28,488,1031,1377,536,328,405,338,64,60,46,39,33,8,203,4984,0,4,14,52,40,42,83,53,12,20,11,13,14,0,7,375,0,0,0,3,20,17,8,36,3,3,13,12,4,3,6,142,0,0,0,3,9,7,24,24,8,3,0,0,3,0,0,83,4,124,190,355,203,169,295,333,35,54,33,43,70,54,78,2052,44,1470,2147,2585,1491,1245,1955,2194,361,447,397,361,395,301,651,16031
CED203,0,0,6,9,67,74,91,63,14,7,6,18,15,15,12,386,0,3,20,35,50,169,116,162,19,48,56,80,65,60,28,909,0,0,0,0,23,51,84,82,19,20,41,25,49,31,29,443,0,51,142,617,147,200,58,14,4,3,16,0,15,0,43,1306,0,3,3,91,37,44,29,20,3,4,8,6,3,5,9,262,12,169,439,662,425,420,580,488,110,117,113,128,96,51,141,3952,0,3,3,55,60,88,122,102,34,28,31,28,40,27,39,669,0,0,0,20,779,660,265,273,63,118,106,197,215,144,92,2926,0,0,3,0,10,8,18,36,7,0,3,3,3,3,0,93,4,166,264,782,634,801,1145,1305,267,382,531,759,743,511,281,8590,65,2543,6393,6399,3864,5362,6065,7344,1456,1929,2403,2896,2868,1880,1957,53408
CED204,0,0,9,22,37,32,107,74,21,8,15,7,4,4,3,344,0,4,11,22,14,18,39,46,8,15,3,5,4,7,12,214,0,0,0,0,9,8,28,177,34,19,38,45,24,20,27,434,0,0,3,9,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,4,0,3,3,3,0,0,0,0,0,0,5,20,33,439,903,1124,453,333,444,256,41,28,27,35,16,7,202,4345,0,7,7,74,41,34,65,30,7,10,7,3,10,5,14,320,0,0,0,3,10,9,13,23,3,3,5,4,4,9,61,146,0,0,0,0,3,15,11,10,3,0,0,3,0,3,0,50,8,92,142,225,132,107,223,451,67,75,122,98,121,54,176,2084,60,1074,1641,1988,1233,1081,1733,2009,334,320,430,351,375,220,885,13731
CED205,0,3,10,34,153,121,183,106,17,22,3,7,13,18,3,693,0,9,83,369,346,1392,1330,1930,319,689,409,336,417,234,154,8020,0,3,0,11,55,91,94,159,15,36,27,42,43,25,20,619,0,0,11,86,35,55,36,13,0,0,3,0,3,0,11,258,0,3,3,189,143,120,62,23,0,0,3,3,3,0,13,561,31,332,705,910,396,257,248,193,25,56,32,28,26,6,115,3364,0,3,3,24,24,22,71,43,21,15,24,21,16,10,13,323,0,0,0,31,1466,1548,545,506,91,92,121,110,113,50,152,4820,0,0,0,3,5,4,31,52,6,6,3,3,5,7,3,127,10,194,471,1555,1575,2656,3456,2454,622,942,910,644,597,417,482,16984,82,1685,4116,6394,6882,12438,14247,14898,2855,4086,4200,4025,3895,2366,2511,84691
CED206,0,0,4,14,38,29,52,26,4,0,0,12,8,0,3,195,0,3,17,152,98,592,417,561,73,132,67,90,54,57,66,2372,0,0,0,3,10,52,67,60,9,15,25,8,17,12,16,293,0,9,52,687,124,122,56,25,4,5,12,3,6,3,32,1144,0,3,10,1537,914,1284,908,355,88,59,57,46,51,39,204,5558,5,180,522,625,192,156,136,132,30,22,28,15,15,10,83,2144,0,0,3,24,20,32,50,45,10,14,10,13,11,7,5,242,0,0,0,12,742,787,219,157,36,45,35,46,26,27,69,2203,0,0,0,0,5,7,12,30,3,0,3,6,6,0,0,71,3,171,430,1647,1164,1797,1764,1270,293,306,383,481,519,369,436,11039,27,1869,4579,8909,5818,9456,10171,9056,1785,1809,2746,2161,1953,1441,2282,64053
CED207,0,0,9,46,160,93,186,154,16,6,14,19,14,8,15,733,3,4,21,73,16,56,50,57,0,14,9,11,5,14,7,352,0,0,0,7,13,20,42,74,8,14,10,8,7,18,10,238,0,0,9,17,5,7,0,0,0,0,0,0,0,0,3,49,0,0,0,12,7,8,3,0,0,0,0,0,0,0,0,27,23,573,1741,2912,1056,678,663,432,62,50,52,46,36,9,274,8611,0,5,20,58,38,47,101,62,13,13,11,13,3,3,4,394,0,0,0,3,34,39,22,29,10,0,4,3,7,7,10,172,0,0,5,3,6,11,12,31,0,3,0,3,5,0,0,87,5,128,277,366,277,327,451,620,96,143,170,103,113,50,105,3228,79,1816,3590,4635,2629,2327,2817,2733,428,496,468,419,355,212,780,23775
CED208,0,5,12,43,105,99,240,136,19,21,24,10,14,20,15,765,0,10,64,183,178,590,627,704,111,196,239,256,332,302,91,3872,0,0,6,13,37,62,138,107,24,21,37,39,38,27,33,574,0,12,10,36,6,9,4,0,0,3,0,0,0,0,4,82,0,3,4,30,12,6,10,6,0,3,0,6,12,5,0,95,41,400,648,791,428,305,452,288,82,53,81,59,47,67,121,3873,0,4,14,53,33,78,134,71,15,23,24,35,34,22,17,562,0,3,4,35,979,414,151,218,48,81,75,98,142,92,62,2392,0,0,3,3,13,12,45,51,12,8,8,6,10,10,3,162,13,260,418,682,766,1147,1257,932,218,253,323,406,460,388,259,7777,115,1791,4261,4451,4781,8221,11483,11895,2548,3185,3952,5070,6243,4194,2800,74980
CED209,0,0,8,48,58,53,130,126,20,14,0,6,17,11,3,504,0,0,5,14,8,26,33,64,6,18,0,12,20,20,6,237,0,0,0,4,4,11,31,43,4,8,12,4,3,0,8,136,0,5,17,35,3,11,3,0,0,0,0,0,0,0,0,74,0,0,0,13,5,3,3,0,0,0,0,0,3,0,0,34,45,636,1283,1489,629,487,633,642,142,73,119,75,66,19,236,6558,0,3,8,59,55,52,86,89,17,9,27,22,13,7,20,458,0,0,0,8,33,15,8,21,11,6,8,8,14,9,12,157,0,0,7,3,9,9,30,36,3,0,6,3,0,0,0,110,13,202,231,300,136,163,283,336,76,95,105,101,84,43,98,2271,84,1789,2438,2666,1551,1581,2313,2814,587,541,593,582,615,353,742,19263
