CED_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
CED117,0,3,21,55,146,149,199,96,16,18,23,16,14,17,14,778,0,3,10,40,33,75,47,33,11,9,0,3,9,5,9,283,0,0,0,10,54,112,276,237,48,67,87,100,105,50,66,1206,0,0,26,95,17,29,7,9,0,0,0,3,0,0,0,193,0,0,3,97,38,39,51,39,3,7,14,11,14,10,21,344,11,175,550,1104,839,1092,1715,1184,296,247,296,233,239,120,225,8325,0,3,30,102,97,190,219,217,54,50,50,71,103,68,34,1287,0,0,0,18,745,478,246,213,40,66,74,65,89,66,101,2202,0,0,5,3,25,13,27,10,7,3,0,3,3,0,0,97,6,148,334,1465,1028,1200,1157,1607,272,313,425,570,645,506,380,10063,55,1150,3457,5732,5358,7038,7865,6461,1411,1613,1885,1975,2166,1419,1901,49480
CED118,0,0,10,38,91,220,433,254,27,30,40,36,38,31,42,1272,0,0,12,65,83,876,1344,1035,164,436,250,98,103,58,85,4601,0,0,0,3,21,54,92,47,11,14,16,16,12,9,14,311,0,0,0,34,13,6,10,3,0,0,0,0,0,0,7,62,0,0,0,143,95,146,153,48,11,6,9,13,9,3,23,661,4,216,501,938,463,369,387,370,100,62,99,45,42,25,105,3726,0,3,3,29,31,48,102,110,28,35,25,36,35,60,17,557,0,0,0,4,163,100,42,30,3,7,4,11,8,3,29,415,0,0,0,3,9,8,122,45,11,7,7,4,6,4,0,230,8,128,226,1013,816,1880,3043,1768,270,269,251,326,264,237,325,10829,27,1164,2045,4285,4515,11544,17782,13920,1845,2355,2289,2234,2030,1453,2023,69511
CED119,0,0,9,48,162,151,261,116,6,19,11,17,8,5,10,837,0,0,3,25,25,77,40,30,3,3,11,7,3,0,6,225,0,0,0,5,18,46,84,56,13,21,13,11,12,9,11,294,0,0,33,254,37,72,50,21,0,0,0,0,0,0,5,474,0,0,0,19,16,22,20,5,3,3,0,0,0,4,0,93,47,367,831,1289,605,584,838,585,86,75,113,52,52,17,167,5701,0,4,16,64,27,72,112,66,14,11,10,16,22,8,12,460,0,0,0,15,224,181,76,69,4,11,11,10,22,14,22,648,0,0,0,3,3,8,38,22,7,4,0,0,3,0,0,94,3,122,254,981,558,879,1019,678,95,96,107,97,99,51,124,5159,81,1102,2310,4264,3251,5191,5671,3448,539,579,626,469,417,244,788,28969
CED120,0,3,12,25,67,45,137,104,15,4,8,14,8,0,12,465,0,4,9,13,8,14,17,23,0,4,3,8,0,3,4,102,0,0,0,3,9,31,35,42,10,7,7,10,9,3,12,170,0,0,7,35,5,14,7,3,0,0,0,0,0,0,0,75,0,0,0,7,10,7,8,3,0,0,0,0,0,0,0,33,33,424,1168,2049,863,635,438,305,64,50,44,37,43,17,288,6451,0,8,14,64,31,36,85,56,15,12,12,6,13,6,8,367,0,0,0,6,39,26,7,22,6,3,3,0,3,3,25,143,0,0,10,3,5,8,42,32,3,0,0,7,7,3,0,120,12,126,218,673,412,427,359,244,42,57,45,38,62,27,147,2892,61,1220,2367,3894,2405,2368,2122,1508,339,305,270,284,324,175,931,18573
CED121,0,6,4,37,53,39,146,186,15,24,10,3,3,3,10,538,0,0,5,3,5,16,12,47,5,0,0,7,7,0,4,112,0,0,0,3,5,20,54,45,11,15,11,23,7,10,10,219,0,0,9,17,3,5,3,0,0,0,0,0,0,0,3,41,0,0,0,8,0,0,10,5,0,0,0,0,0,0,3,24,43,508,832,1228,475,335,306,219,56,39,41,21,31,17,255,4416,3,12,8,38,27,42,79,57,16,11,7,13,9,11,21,342,0,0,0,0,17,6,14,16,0,5,6,5,6,3,19,102,0,0,0,5,14,7,45,32,9,0,9,0,0,0,4,117,12,135,139,338,188,224,223,208,28,55,42,39,36,20,134,1822,92,1320,1501,2329,1546,1546,1697,1602,334,348,277,254,211,130,840,14039
CED122,0,0,14,57,185,289,725,281,50,42,42,29,33,38,22,1804,0,0,6,17,47,111,53,45,5,23,16,17,20,17,8,391,0,0,0,20,54,153,239,230,32,59,47,66,68,49,59,1072,0,0,14,31,3,16,10,0,0,0,0,0,0,0,10,87,0,0,3,190,87,100,73,31,7,0,9,0,3,4,19,527,12,193,507,1053,649,769,1381,1186,332,422,402,360,371,166,236,8048,0,3,5,61,70,110,194,172,51,89,66,67,64,70,46,1067,0,0,0,37,273,104,91,109,26,43,47,52,70,45,70,981,0,0,0,3,20,17,50,43,3,3,7,5,9,7,3,167,17,270,517,1752,1751,2663,2537,2063,491,572,693,755,1195,748,599,16624,129,1562,3494,5996,6219,9681,11606,9715,2520,3172,3686,4482,5620,4081,2983,74958
CED123,0,0,3,41,122,134,145,71,9,11,10,16,19,8,4,587,0,0,14,29,51,126,139,141,11,42,15,20,10,21,10,636,0,0,0,7,19,54,97,71,16,7,13,14,9,12,28,347,0,3,3,58,10,5,8,0,0,0,0,0,0,0,10,100,0,0,0,45,19,19,21,9,0,0,0,0,0,0,3,129,24,377,1159,2297,1081,631,417,268,38,83,58,40,47,17,224,6764,0,3,4,39,34,43,59,48,7,16,12,14,7,9,11,304,0,0,0,3,60,53,27,55,16,14,11,10,12,8,56,334,0,0,0,0,11,3,96,70,11,5,9,0,4,7,9,235,6,125,271,997,559,925,1271,965,120,128,188,153,122,78,264,6171,51,1504,2876,5424,3697,5224,5766,4639,786,939,927,818,679,421,1426,35156
CED124,0,4,16,29,59,39,84,62,3,6,9,5,7,0,6,326,0,0,3,11,7,10,9,3,3,0,0,0,0,0,3,47,0,0,0,0,9,20,30,31,3,6,3,7,4,3,10,123,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,9,43,663,1233,1646,607,320,430,211,40,25,19,32,25,7,243,5544,0,14,15,70,37,27,60,41,13,9,4,5,3,5,11,314,0,0,0,0,8,4,3,6,0,3,3,3,3,0,3,40,0,0,6,11,16,10,17,8,0,0,0,3,5,0,0,73,15,140,196,348,169,102,117,108,15,16,16,16,11,5,76,1351,96,1520,2112,2836,1603,1060,1258,816,168,159,135,130,115,74,593,12675
CED125,0,0,11,48,232,255,250,105,8,11,18,7,13,5,11,971,0,0,5,18,32,145,71,95,18,25,19,28,56,15,20,550,0,0,0,6,57,149,122,84,12,11,15,11,28,8,27,527,0,0,9,91,21,36,20,7,0,0,0,7,0,0,11,196,0,0,0,27,3,19,11,6,0,0,3,0,0,0,0,83,18,271,1041,1943,789,514,257,190,40,51,54,43,26,12,164,5403,0,3,3,35,27,35,75,48,6,7,7,19,17,16,8,317,0,0,0,4,226,184,72,89,17,20,18,12,14,11,24,686,0,0,3,0,3,7,71,76,19,7,0,3,7,6,9,203,4,100,246,1369,1687,2730,2808,1723,302,272,348,237,271,173,342,12620,38,938,2283,5312,5209,8881,9006,6145,1063,1034,1216,960,1014,598,1327,45029
CED126,8,3,41,64,217,235,605,410,74,55,32,60,49,23,29,1915,0,3,9,21,3,22,14,4,0,0,3,0,3,0,4,94,0,0,0,3,35,65,121,107,14,13,11,20,17,9,11,416,0,0,0,11,0,7,7,0,0,0,0,0,0,0,0,34,0,0,6,38,25,28,14,8,5,0,3,0,0,0,0,129,59,572,1175,1990,1152,1509,2545,1647,311,326,291,206,150,70,331,12327,0,17,40,127,117,185,249,160,15,39,41,29,28,18,24,1096,0,0,0,8,73,57,37,29,4,7,7,8,13,7,9,257,0,0,4,3,29,28,59,31,3,3,3,3,0,3,3,178,27,191,333,891,566,977,1301,1079,185,248,258,261,319,147,194,6979,170,1672,2953,4959,3876,5668,7941,5367,963,1011,1052,1157,991,556,1169,39510
