CED_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
CED207,0,3,16,56,13,9,4,0,0,100,0,0,3,12,14,24,10,11,8,79,0,0,3,15,7,7,0,0,0,43,5,32,51,254,167,129,110,84,31,862,169,348,376,1008,638,566,513,304,207,4133,4368,8899,8639,18827,10398,9334,7104,3404,1586,72559,0,0,0,0,0,0,0,0,0,3,8589,16784,15622,29553,14804,12562,8355,3298,1310,110869,0,0,0,8,0,0,0,0,0,17,0,0,5,15,9,7,5,0,0,33,0,3,3,41,16,12,7,0,0,87,4,5,8,66,32,26,16,5,0,177,0,0,0,31,19,12,10,0,0,71,8,42,105,389,140,100,48,21,3,861,0,0,0,4,20,27,33,21,4,114,0,0,0,11,4,8,19,8,3,59,6,122,198,797,1477,1693,1714,1000,345,7339,0,0,4,21,24,23,3,5,3,87,0,6,4,26,26,18,17,6,0,108,0,6,23,83,127,171,305,201,76,991
CED208,5,23,173,440,240,256,114,42,18,1315,0,0,3,5,11,3,6,5,0,38,0,6,17,38,9,5,7,0,0,87,28,125,231,722,323,275,297,258,122,2389,202,308,593,1140,464,441,393,389,303,4236,4077,8192,14706,23482,10556,8469,6631,5446,2942,84500,0,4,23,63,24,14,6,0,0,133,7210,12969,13870,17165,10396,7573,5152,4273,2563,81169,15,38,99,273,44,20,7,0,0,501,0,0,7,26,18,7,6,9,0,77,0,3,37,97,53,69,33,18,0,307,4,24,33,98,44,36,11,5,5,259,3,10,3,61,36,25,40,9,3,189,184,741,7340,9306,2523,1749,801,498,169,23318,0,0,0,13,32,36,38,86,22,221,3,16,14,48,43,55,85,63,35,357,47,164,228,532,561,499,528,360,207,3127,0,3,24,106,64,43,20,19,5,289,3,21,18,72,33,22,21,12,7,210,0,21,32,93,72,55,142,122,56,586
CED209,0,3,13,39,12,11,0,0,0,77,0,0,0,11,11,14,20,11,6,66,0,7,3,20,10,8,5,0,0,50,4,39,54,265,124,105,110,73,53,826,198,410,435,1034,663,687,647,435,235,4751,4581,9752,8656,19014,10360,10128,8273,4483,2588,77827,0,8,30,33,3,3,0,0,0,76,9045,18267,15652,29736,15733,15374,11616,5737,2915,124062,0,11,9,41,13,0,0,0,0,66,0,0,0,8,18,9,0,0,0,39,0,0,4,11,3,0,0,0,0,12,13,19,22,96,43,17,14,5,3,230,0,0,0,8,3,4,7,3,0,32,16,47,123,425,96,72,28,10,3,822,0,0,0,13,48,47,36,35,10,181,0,6,13,26,4,20,17,0,0,85,31,249,240,823,898,1031,1121,675,262,5333,0,0,6,20,17,9,0,0,0,62,0,3,12,57,10,8,6,0,4,108,0,8,22,90,52,97,261,118,60,705
CED210,0,7,17,101,41,17,7,0,3,194,0,7,4,10,16,21,28,9,9,100,0,5,3,27,6,0,0,0,0,35,20,64,100,329,152,198,225,199,105,1399,217,435,590,1263,807,841,712,539,340,5748,4368,8448,9406,19147,10253,10027,8124,4885,2467,77125,9,61,153,186,56,13,8,0,0,485,8229,15226,15967,29119,14892,13357,9370,4773,2182,113114,0,3,3,14,3,0,0,0,0,25,0,0,21,97,92,94,46,45,7,410,0,0,3,13,7,17,3,0,0,44,0,11,16,60,34,23,9,6,0,174,0,0,0,12,7,13,9,3,0,37,11,61,186,315,77,82,44,17,15,806,0,3,20,113,165,219,329,309,60,1216,0,4,3,17,4,18,28,12,0,77,22,161,133,590,824,1073,1137,695,294,4922,0,3,4,46,15,9,3,4,0,86,0,4,7,39,17,9,16,12,0,100,0,10,15,58,50,143,390,170,118,947
CED211,0,13,37,251,155,162,80,29,4,732,0,0,0,9,13,17,14,6,4,64,0,3,4,26,13,10,3,0,0,64,13,88,87,463,215,215,214,163,97,1559,156,223,279,914,405,355,401,375,321,3427,4520,8484,8170,21359,10018,8375,7339,4898,2841,76001,0,0,0,32,17,11,3,7,0,65,8434,14550,12617,23143,12308,9479,7811,4907,2620,95876,0,7,12,60,19,10,4,0,0,111,0,3,4,33,10,24,7,5,3,96,0,0,14,124,104,91,42,23,7,399,0,18,26,101,39,35,20,5,0,244,0,3,4,33,33,14,28,11,0,123,84,373,947,4254,1210,925,460,202,55,8517,0,0,0,14,22,45,50,43,15,197,3,18,12,63,27,48,46,35,11,271,22,191,195,741,858,829,983,696,377,4889,0,3,15,66,39,45,25,13,0,199,3,6,4,54,17,19,21,4,9,136,3,19,23,82,75,107,222,151,62,745
CED212,0,4,11,52,13,11,5,0,0,89,0,4,11,35,32,26,35,20,6,172,0,5,8,34,18,11,7,5,0,82,12,80,113,464,235,229,233,142,63,1565,206,441,500,1236,746,660,663,456,202,5109,4229,8530,8536,18776,10605,9569,8324,4822,2323,75708,0,0,12,26,15,14,0,3,0,64,8191,15175,14097,26996,13748,11695,9054,4587,2147,105691,0,0,0,15,3,0,0,0,0,19,0,0,11,48,43,64,13,18,3,201,0,0,3,27,11,5,4,0,0,54,5,16,22,106,43,32,28,11,3,261,0,0,7,38,34,27,26,11,0,139,9,47,244,325,133,102,39,28,10,930,0,0,3,37,58,64,41,51,12,269,0,12,3,11,16,37,51,17,11,159,49,494,473,1404,1962,1892,2082,1455,583,10402,0,3,18,54,37,17,12,3,3,144,0,10,9,30,30,25,24,7,3,139,0,28,50,98,134,141,264,169,61,933
CED213,0,0,0,28,11,3,0,0,0,49,0,3,7,17,21,30,16,6,7,115,0,0,3,14,4,5,3,0,0,34,4,17,35,216,144,156,157,88,58,880,212,429,464,1165,810,929,898,625,390,5921,3984,9027,7608,16835,10851,11300,10547,5618,2671,78445,0,0,0,8,0,0,0,0,0,12,7765,16748,14263,26287,15511,15476,12941,6427,2739,118160,0,0,0,7,0,0,0,0,0,7,0,0,0,11,9,0,8,0,0,23,0,0,10,32,12,0,3,3,0,70,3,20,5,73,39,42,22,14,10,226,0,0,0,15,22,17,17,3,0,76,0,10,25,84,54,33,32,7,0,251,0,0,0,15,26,48,63,66,14,230,0,4,0,9,12,36,56,37,13,160,34,330,373,1012,1727,1747,2277,1418,504,9427,0,3,4,24,8,12,11,7,0,72,0,4,8,31,16,12,24,15,3,116,3,14,15,71,84,124,308,186,55,862
CED214,20,91,467,1932,975,963,320,168,56,4987,0,0,3,19,17,12,3,8,3,60,0,0,5,26,4,3,0,0,0,44,54,141,356,1382,525,411,334,295,155,3652,352,457,575,1854,744,628,508,408,293,5824,5605,8541,9185,28050,10861,8513,5942,4224,2230,83151,5,18,66,183,32,3,0,0,0,299,10227,14333,13158,29560,12101,8089,3946,2061,1296,94764,19,28,85,649,26,9,3,0,0,818,0,3,8,86,44,60,52,42,4,307,0,0,4,56,43,39,20,11,6,183,5,11,23,183,46,28,9,3,3,311,0,4,7,106,61,45,53,15,9,300,12,53,437,1058,340,238,107,103,40,2386,3,3,3,84,109,154,261,242,56,914,3,12,20,34,23,40,80,45,18,281,46,195,140,1413,861,733,542,280,135,4334,0,10,12,117,61,42,19,10,0,270,3,0,17,122,27,9,20,13,4,211,7,18,32,186,89,62,283,101,47,817
CED215,0,0,4,59,15,14,0,0,0,93,0,0,3,4,15,15,12,5,3,60,0,0,3,8,14,5,3,3,0,30,3,42,46,155,101,91,113,69,29,649,266,532,646,1409,965,1076,935,626,348,6811,3899,8297,7569,15927,9759,10866,8911,4900,2213,72339,0,0,0,3,0,0,0,0,0,4,7441,15293,13608,25389,14932,16121,12376,6003,2315,113472,0,5,0,36,10,4,0,0,0,51,0,0,0,3,0,0,3,7,3,13,0,0,8,16,3,0,0,0,0,29,3,11,10,45,27,26,21,7,3,154,0,0,0,14,7,9,10,0,0,44,3,14,72,148,58,38,12,6,0,352,0,0,0,6,19,22,33,29,7,114,0,6,0,23,3,18,16,14,0,73,11,67,69,311,611,914,1333,783,261,4353,0,0,11,29,11,27,4,4,0,88,0,3,8,10,6,14,10,12,0,63,0,6,3,38,52,107,331,166,63,767
CED216,3,9,16,124,38,31,10,3,3,235,0,9,0,15,21,11,16,8,9,94,0,0,3,28,13,9,4,0,0,68,24,166,184,1165,682,601,551,355,192,3918,159,346,349,930,605,523,443,313,302,3961,3933,9804,8349,18222,12289,9521,7200,4299,3387,76996,0,0,3,7,3,3,0,0,0,17,7043,16178,13091,19819,14341,11448,7625,3929,3041,96516,0,0,4,32,9,3,0,0,0,45,0,0,3,30,14,10,9,6,3,73,0,0,0,32,18,5,3,3,0,59,17,60,46,155,113,52,24,7,3,474,0,3,5,48,38,16,11,4,0,128,48,274,865,1543,750,429,171,107,39,4227,0,0,3,22,51,39,53,41,8,216,0,3,8,21,44,60,98,47,34,316,114,767,512,1596,1612,1082,976,518,304,7478,0,0,3,31,36,17,6,0,0,93,11,72,52,153,85,35,60,14,9,493,4,41,64,176,189,97,270,158,100,1097
